Hotel ID,Hotel Name,Total Rating,Overall Customers
249713,Holiday Inn Univ of Memphis,17.09090909090909,11
105190,SpringHill Suites Memphis East / Galleria,12.166666666666666,6
105192,Sleep Inn at Court Square,17.457142857142856,70
225338,La Quinta Inn & Suites Memphis East-Sycamore View,17.125,8
111855,Embassy Suites Memphis,15.853658536585366,41
672520,Hyatt Place Memphis Primacy Parkway,20.24,25
105281,Comfort Inn Downtown,16.904,125
114850,The Peabody Memphis,12.923076923076923,143
98031,La Quinta Inn & Suites Memphis Airport Graceland,4.4,5
105236,BEST WESTERN Galleria Inn and Suites,13.8,5
105151,La Quinta Inn & Suites Memphis Primacy Parkway,18.227272727272727,22
645386,The Westin Memphis Beale Street,21.807692307692307,26
223886,SpringHill Suites Memphis Downtown,18.862745098039216,51
223752,Days Inn Memphis at Graceland,15.96875,64
775880,River Inn of Harbor Town,28.625,8
105247,Extended Stay America - Memphis - Mt. Moriah,8.0,2
105177,Hampton Inn Memphis - Southwind,18.333333333333332,3
98019,Motel 6 Memphis - Graceland,6.1,10
98077,Residence Inn Memphis East,7.454545454545454,11
105184,Fairfield Inn & Suites Memphis,19.0,9
105256,Courtyard by Marriott Memphis East/Lenox Corporate Park,12.333333333333334,3
105194,Econo Lodge,4.666666666666667,3
239950,BEST WESTERN Executive Inn,12.733333333333333,15
656552,Value Place Memphis,28.0,1
122499,Americas Best Value Inn & Suites - Memphis / Graceland,15.333333333333334,3
239353,Colonial Inn & Suites,2.3333333333333335,6
224184,Extended Stay America - Memphis - Apple Tree,10.714285714285714,7
105160,Hampton Inn Memphis-Walnut Grove/Baptist Hospital East,14.875,8
73886,BEST WESTERN Suites,5.0,2
98037,Airport Inn,4.722222222222222,18
223104,Extended Stay Deluxe - Memphis - Wolfchase Galleria,8.142857142857142,7
98036,Hampton Inn Memphis-Poplar,18.636363636363637,11
98058,Memphis Marriott,16.5,20
98034,Holiday Inn Express - Medical Center Midtown,10.842105263157896,19
239352,Super 8 Memphis Airport East,9.5,2
105198,Guest Inn,3.8,5
122561,Motel 6 Memphis East,6.5,4
243751,Super 7 Inn Memphis Graceland,18.0,1
122494,American Inn Memphis,1.0,1
98057,Studio 6 Memphis,10.375,8
98032,Americas Best Value Inn Memphis,10.625,8
98075,Americas Best Value Inn/Memphis Airport,3.5,2
98018,Motel 6,6.222222222222222,9
293232,Econo Lodge,5.666666666666667,3
98071,Motel 6 Memphis Downtown,13.5,4
98023,Knights Inn Airport,7.875,8
224185,Extended Stay America - Memphis - Sycamore View,7.5,4
98055,Quality Inn Memphis,10.75,4
98048,Artisan Hotel Memphis,8.790322580645162,62
122567,Homestead Studio Suites - Memphis - Airport,5.666666666666667,3
122584,Comfort Suites I-240 East-Airport,12.066666666666666,15
73880,BEST WESTERN Travelers Inn,3.0,2
122502,Travelers Inn Motel,6.0,1
122542,Alberts Cabins,4.5,2
223744,Baymont Inn & Suites Memphis East,10.9375,16
98050,Executive Inn,10.0,1
105207,Days Inn IH 40 & Sycamore View,11.0,3
98045,Memphis Marriott East,14.227272727272727,22
223770,Sleep Inn - Memphis / Old Austin Peay Hwy,10.76923076923077,13
576374,Scottish Inn And Suite Memphis,19.22222222222222,9
105272,Comfort Inn Memphis,18.5,4
122583,Budgetel Inn & Suites,14.333333333333334,3
105241,Fairfield Inn Memphis I-240 & Perkins,15.333333333333334,6
105222,Super 8 Memphis / Downtown / Graceland Area,7.173913043478261,23
146517,DoubleTree by Hilton Hotel Memphis,11.18421052631579,38
105191,Sleep Inn - Memphis / American Way,15.0,3
248601,Holiday Inn Express American Way/Airport,17.26923076923077,26
111860,Homestead Studio Suites - Memphis - Poplar Avenue,18.0,3
223758,Drury Inn & Suites Memphis Northeast,16.233333333333334,30
98021,Courtyard by Marriott Memphis East/Park Avenue,15.5,4
98073,Red Roof Inn Memphis East,15.176470588235293,17
105156,Super 8 Memphis/East/Macon Cove,8.666666666666666,3
98020,Courtyard by Marriott Memphis Airport,16.476190476190474,21
1485414,Vista Inn Motel Downtown Memphis,13.545454545454545,11
258813,Homewood Suites Memphis - Hacks Cross,14.777777777777779,9
614758,BEST WESTERN PLUS Gen X Inn,18.761904761904763,21
105170,Memphis-I-240 at Thousand Oaks Hotel,15.166666666666666,6
295791,Hilton Memphis,15.461538461538462,52
268694,Holiday Inn Express Memphis Southwind,16.0,3
220079,Holiday Inn Select Memphis - Downtown (Beale Street),15.142857142857142,49
98062,DoubleTree by Hilton Memphis Downtown,15.818181818181818,11
224306,Homewood Suites by Hilton Memphis-Poplar,15.6,10
105188,Crowne Plaza Hotel Memphis,14.2,5
122581,Fairfield Inn & Suites Memphis East,18.071428571428573,14
105180,Hampton Inn & Suites Memphis-Shady Grove Road,18.5,14
125626,Elvis Presley's Heartbreak Hotel,14.771929824561404,228
1022627,Hyatt Place Wolfchase Galleria,17.0,2
105238,Staybridge Suites Memphis - Poplar Ave East,11.789473684210526,19
223774,Madison Hotel,14.255813953488373,86
98039,Memphis Marriott Downtown,16.24137931034483,58
310409,Residence Inn Memphis Downtown,20.13157894736842,76
223103,Hampton Inn & Suites Memphis - Beale Street,18.539473684210527,76
