Hotel ID,Hotel Name,Total Rating,Overall Customers
249713,Holiday Inn Univ of Memphis,17.866666666666667,15
105190,SpringHill Suites Memphis East / Galleria,16.3,10
105192,Sleep Inn at Court Square,18.233766233766232,77
225338,La Quinta Inn & Suites Memphis East-Sycamore View,19.1,10
111855,Embassy Suites Memphis,17.22,50
672520,Hyatt Place Memphis Primacy Parkway,21.878048780487806,41
105281,Comfort Inn Downtown,17.99310344827586,145
114850,The Peabody Memphis,14.514285714285714,175
98031,La Quinta Inn & Suites Memphis Airport Graceland,4.4,5
105236,BEST WESTERN Galleria Inn and Suites,13.8,5
105151,La Quinta Inn & Suites Memphis Primacy Parkway,20.366666666666667,30
645386,The Westin Memphis Beale Street,22.872340425531913,47
223886,SpringHill Suites Memphis Downtown,19.328125,64
223752,Days Inn Memphis at Graceland,17.525,80
775880,River Inn of Harbor Town,27.0,12
105247,Extended Stay America - Memphis - Mt. Moriah,8.0,2
105177,Hampton Inn Memphis - Southwind,19.2,5
98019,Motel 6 Memphis - Graceland,6.6923076923076925,13
98077,Residence Inn Memphis East,8.307692307692308,13
105184,Fairfield Inn & Suites Memphis,20.692307692307693,13
105256,Courtyard by Marriott Memphis East/Lenox Corporate Park,12.333333333333334,3
105194,Econo Lodge,5.5,4
239950,BEST WESTERN Executive Inn,13.1875,16
656552,Value Place Memphis,28.0,1
239353,Colonial Inn & Suites,6.625,8
122499,Americas Best Value Inn & Suites - Memphis / Graceland,15.333333333333334,3
224184,Extended Stay America - Memphis - Apple Tree,9.88888888888889,9
105160,Hampton Inn Memphis-Walnut Grove/Baptist Hospital East,16.0,9
286985,Scottish Inns Memphis,8.0,1
73886,BEST WESTERN Suites,5.0,2
223104,Extended Stay Deluxe - Memphis - Wolfchase Galleria,13.0,9
98037,Airport Inn,4.7272727272727275,22
98036,Hampton Inn Memphis-Poplar,19.666666666666668,15
98058,Memphis Marriott,15.916666666666666,24
98034,Holiday Inn Express - Medical Center Midtown,10.45,20
239352,Super 8 Memphis Airport East,9.5,2
105198,Guest Inn,3.3333333333333335,6
122561,Motel 6 Memphis East,6.5,4
243751,Super 7 Inn Memphis Graceland,13.0,2
122494,American Inn Memphis,1.0,1
1146051,Value Place Memphis Getwell,26.0,1
98057,Studio 6 Memphis,9.7,10
98018,Motel 6,8.923076923076923,13
98032,Americas Best Value Inn Memphis,11.7,10
98075,Americas Best Value Inn/Memphis Airport,3.5,2
98048,Artisan Hotel Memphis,8.946666666666667,75
98023,Knights Inn Airport,8.88888888888889,9
293232,Econo Lodge,5.5,4
98071,Motel 6 Memphis Downtown,12.6,5
98055,Quality Inn Memphis,11.2,5
224185,Extended Stay America - Memphis - Sycamore View,7.5,4
122584,Comfort Suites I-240 East-Airport,13.333333333333334,21
122567,Homestead Studio Suites - Memphis - Airport,6.0,4
73880,BEST WESTERN Travelers Inn,3.0,2
122502,Travelers Inn Motel,6.0,1
122542,Alberts Cabins,4.5,2
105207,Days Inn IH 40 & Sycamore View,11.666666666666666,6
223744,Baymont Inn & Suites Memphis East,11.444444444444445,18
275455,Scottish Inn Memphis Airport,11.5,2
98050,Executive Inn,16.5,2
146517,DoubleTree by Hilton Hotel Memphis,12.674418604651162,43
98045,Memphis Marriott East,15.076923076923077,26
223770,Sleep Inn - Memphis / Old Austin Peay Hwy,11.5625,16
576374,Scottish Inn And Suite Memphis,18.384615384615383,13
122583,Budgetel Inn & Suites,16.5,6
105222,Super 8 Memphis / Downtown / Graceland Area,7.366666666666666,30
105272,Comfort Inn Memphis,18.0,5
105241,Fairfield Inn Memphis I-240 & Perkins,17.625,8
98021,Courtyard by Marriott Memphis East/Park Avenue,18.0,8
248601,Holiday Inn Express American Way/Airport,16.774193548387096,31
105191,Sleep Inn - Memphis / American Way,17.6,5
111860,Homestead Studio Suites - Memphis - Poplar Avenue,22.2,5
223758,Drury Inn & Suites Memphis Northeast,16.72972972972973,37
98020,Courtyard by Marriott Memphis Airport,18.074074074074073,27
98073,Red Roof Inn Memphis East,15.045454545454545,22
105156,Super 8 Memphis/East/Macon Cove,9.2,5
1485414,Vista Inn Motel Downtown Memphis,18.45,20
258813,Homewood Suites Memphis - Hacks Cross,16.1,10
614758,BEST WESTERN PLUS Gen X Inn,19.379310344827587,29
295791,Hilton Memphis,16.80952380952381,63
105170,Memphis-I-240 at Thousand Oaks Hotel,12.375,8
220079,Holiday Inn Select Memphis - Downtown (Beale Street),16.55223880597015,67
268694,Holiday Inn Express Memphis Southwind,17.5,4
98062,DoubleTree by Hilton Memphis Downtown,17.263157894736842,38
105188,Crowne Plaza Hotel Memphis,17.791666666666668,24
125626,Elvis Presley's Heartbreak Hotel,15.397212543554007,287
224306,Homewood Suites by Hilton Memphis-Poplar,16.615384615384617,13
122581,Fairfield Inn & Suites Memphis East,19.4375,16
105180,Hampton Inn & Suites Memphis-Shady Grove Road,19.647058823529413,17
1147150,Rodeway Inn Memphis,26.0,2
1022627,Hyatt Place Wolfchase Galleria,24.571428571428573,7
105238,Staybridge Suites Memphis - Poplar Ave East,14.391304347826088,23
223774,Madison Hotel,15.01063829787234,94
98039,Memphis Marriott Downtown,17.43661971830986,71
310409,Residence Inn Memphis Downtown,21.0,95
223103,Hampton Inn & Suites Memphis - Beale Street,19.186046511627907,86
