Hotel ID,Hotel Name,Total Rating,Overall Customers
249713,Holiday Inn Univ of Memphis,17.928571428571427,14
105190,SpringHill Suites Memphis East / Galleria,15.375,8
105192,Sleep Inn at Court Square,18.19736842105263,76
225338,La Quinta Inn & Suites Memphis East-Sycamore View,17.88888888888889,9
111855,Embassy Suites Memphis,16.456521739130434,46
672520,Hyatt Place Memphis Primacy Parkway,22.0,39
105281,Comfort Inn Downtown,17.741007194244606,139
114850,The Peabody Memphis,14.126506024096386,166
98031,La Quinta Inn & Suites Memphis Airport Graceland,4.4,5
105236,BEST WESTERN Galleria Inn and Suites,13.8,5
105151,La Quinta Inn & Suites Memphis Primacy Parkway,19.814814814814813,27
645386,The Westin Memphis Beale Street,22.853658536585368,41
223886,SpringHill Suites Memphis Downtown,18.89830508474576,59
223752,Days Inn Memphis at Graceland,17.430379746835442,79
775880,River Inn of Harbor Town,27.0,12
105247,Extended Stay America - Memphis - Mt. Moriah,8.0,2
105177,Hampton Inn Memphis - Southwind,19.2,5
98019,Motel 6 Memphis - Graceland,7.083333333333333,12
98077,Residence Inn Memphis East,7.583333333333333,12
105184,Fairfield Inn & Suites Memphis,20.636363636363637,11
105256,Courtyard by Marriott Memphis East/Lenox Corporate Park,12.333333333333334,3
105194,Econo Lodge,5.5,4
239950,BEST WESTERN Executive Inn,13.1875,16
656552,Value Place Memphis,28.0,1
239353,Colonial Inn & Suites,6.625,8
122499,Americas Best Value Inn & Suites - Memphis / Graceland,15.333333333333334,3
224184,Extended Stay America - Memphis - Apple Tree,9.88888888888889,9
105160,Hampton Inn Memphis-Walnut Grove/Baptist Hospital East,16.0,9
73886,BEST WESTERN Suites,5.0,2
98037,Airport Inn,4.85,20
98036,Hampton Inn Memphis-Poplar,19.666666666666668,15
223104,Extended Stay Deluxe - Memphis - Wolfchase Galleria,8.142857142857142,7
98058,Memphis Marriott,16.454545454545453,22
98034,Holiday Inn Express - Medical Center Midtown,10.45,20
239352,Super 8 Memphis Airport East,9.5,2
105198,Guest Inn,3.3333333333333335,6
122561,Motel 6 Memphis East,6.5,4
243751,Super 7 Inn Memphis Graceland,13.0,2
122494,American Inn Memphis,1.0,1
98057,Studio 6 Memphis,9.7,10
98018,Motel 6,7.25,12
98032,Americas Best Value Inn Memphis,10.777777777777779,9
98075,Americas Best Value Inn/Memphis Airport,3.5,2
98048,Artisan Hotel Memphis,8.808219178082192,73
98023,Knights Inn Airport,8.88888888888889,9
293232,Econo Lodge,5.5,4
98071,Motel 6 Memphis Downtown,12.6,5
98055,Quality Inn Memphis,11.2,5
224185,Extended Stay America - Memphis - Sycamore View,7.5,4
122584,Comfort Suites I-240 East-Airport,13.333333333333334,21
122567,Homestead Studio Suites - Memphis - Airport,5.666666666666667,3
73880,BEST WESTERN Travelers Inn,3.0,2
122502,Travelers Inn Motel,6.0,1
122542,Alberts Cabins,4.5,2
223744,Baymont Inn & Suites Memphis East,11.444444444444445,18
98050,Executive Inn,10.0,1
105207,Days Inn IH 40 & Sycamore View,9.5,4
98045,Memphis Marriott East,15.076923076923077,26
223770,Sleep Inn - Memphis / Old Austin Peay Hwy,11.5625,16
576374,Scottish Inn And Suite Memphis,18.384615384615383,13
122583,Budgetel Inn & Suites,16.25,4
105272,Comfort Inn Memphis,18.0,5
105241,Fairfield Inn Memphis I-240 & Perkins,15.333333333333334,6
105222,Super 8 Memphis / Downtown / Graceland Area,7.428571428571429,28
146517,DoubleTree by Hilton Hotel Memphis,11.6,40
248601,Holiday Inn Express American Way/Airport,17.103448275862068,29
105191,Sleep Inn - Memphis / American Way,17.6,5
223758,Drury Inn & Suites Memphis Northeast,16.583333333333332,36
111860,Homestead Studio Suites - Memphis - Poplar Avenue,18.0,3
98021,Courtyard by Marriott Memphis East/Park Avenue,18.4,5
98073,Red Roof Inn Memphis East,14.789473684210526,19
105156,Super 8 Memphis/East/Macon Cove,9.5,4
98020,Courtyard by Marriott Memphis Airport,18.2,25
1485414,Vista Inn Motel Downtown Memphis,16.1875,16
258813,Homewood Suites Memphis - Hacks Cross,16.1,10
614758,BEST WESTERN PLUS Gen X Inn,19.11111111111111,27
105170,Memphis-I-240 at Thousand Oaks Hotel,13.428571428571429,7
295791,Hilton Memphis,16.362068965517242,58
268694,Holiday Inn Express Memphis Southwind,17.5,4
220079,Holiday Inn Select Memphis - Downtown (Beale Street),16.016393442622952,61
98062,DoubleTree by Hilton Memphis Downtown,17.029411764705884,34
105188,Crowne Plaza Hotel Memphis,16.22222222222222,18
224306,Homewood Suites by Hilton Memphis-Poplar,17.333333333333332,12
125626,Elvis Presley's Heartbreak Hotel,14.988721804511279,266
122581,Fairfield Inn & Suites Memphis East,18.733333333333334,15
105180,Hampton Inn & Suites Memphis-Shady Grove Road,19.647058823529413,17
1022627,Hyatt Place Wolfchase Galleria,22.5,4
105238,Staybridge Suites Memphis - Poplar Ave East,14.391304347826088,23
223774,Madison Hotel,14.782608695652174,92
98039,Memphis Marriott Downtown,17.441176470588236,68
310409,Residence Inn Memphis Downtown,20.858695652173914,92
223103,Hampton Inn & Suites Memphis - Beale Street,19.30952380952381,84
