Hotel ID,Hotel Name,Total Rating,Overall Customers
107956,Extended Stay America - Houston - Northwest,25.0,2
108038,Hilton University of Houston,14.4,10
239853,BEST WESTERN PLUS Downtown Inn & Suites Houston,17.866666666666667,15
107915,Drury Inn & Suites Houston Near The Galleria,22.1,10
559491,Holiday Inn Express Houston East,17.0,2
266158,Super 8 Houston/Hobby Airport/I-45,23.0,1
223137,La Quinta Inn Houston Northwest,13.666666666666666,3
108057,Residence Inn Houston Clear Lake,19.166666666666668,6
107924,Courtyard by Marriott Houston Westchase,8.6,5
223151,Hampton Inn and Suites Houston Medical Center - Reliant Park,20.666666666666668,3
98920,Houston Marriott Westchase,17.40909090909091,22
283873,"Hotel Icon, Autograph Collection",17.52857142857143,70
258634,Scottish Inn & Suites Reliant Park/Six Flags,5.0,1
107863,Extended Stay America - Houston - Westchase - Westheimer,8.5,2
99081,Crowne Plaza Houston - Brookhollow,14.444444444444445,9
98952,Four Seasons Hotel Houston,13.56,25
223164,Homewood Suites by Hilton Houston - Clear Lake,19.857142857142858,7
585164,Residence Inn Houston West/Energy Corridor,26.0,1
108149,Drury Inn & Suites Houston Hobby,20.2,10
223154,Hampton Inn Houston - Near The Galleria,19.0,11
99106,La Quinta Inn Houston Medical / Reliant Center,14.285714285714286,14
596014,Staybridge Suites Houston West / Energy Corridor,30.0,2
256700,Sun Suites of Hobby / Clearlake,14.0,3
223141,Comfort Suites Westchase,16.75,8
108020,BEST WESTERN Heritage Inn,20.8,5
223179,Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft,18.333333333333332,3
223149,Hampton Inn Houston Hobby Airport,20.333333333333332,3
558146,Star Inn & Suites,14.0,2
266326,Super 8 Houston/Downtown/I-610,1.0,1
486939,Hampton Inn & Suites Houston-Westchase,24.333333333333332,3
107884,Americas Best Value Inn & Suites - Houston/Northwest,8.5,6
595438,Extended Stay America - Houston - Katy Freeway - Energy Corridor,23.0,1
223148,Baymont Inn & Suites Houston,15.714285714285714,7
98989,DoubleTree by Hilton Houston Hobby Airport,18.272727272727273,11
98940,Houston Inn and Suites,4.0,2
107846,Montecito Apartment Suites,20.0,1
99132,Hilton Houston Westchase,18.727272727272727,11
223156,Comfort Inn Houston,13.142857142857142,7
107802,Econo Lodge,16.0,1
98976,Hotel Preet Northwest,3.6666666666666665,3
266125,Hobby Inn and Suites,8.5,4
107713,Ramada Houston Southwest,14.0,2
223135,Travelodge Houston - Intercontinental,6.666666666666667,3
107769,Fairfield Inn & Suites Houston I-45 North,5.0,2
142353,Econo Lodge Medical Center,12.0,3
223183,InTown Suites Houston Northwest / Cy-Fair (XHW) - Houston,10.0,1
223184,InTown Suites Highway 290,7.0,1
107999,Quality Inn & Suites West - Energy Corridor,22.0,2
244313,Motel 6 Houston - Westchase,18.0,1
99031,America's Inn,8.0,2
73463,Downtowner Inn and Suites,19.75,4
98972,Ramada Inn North Houston,2.0,1
239857,Studio 6 Houston - Spring,4.0,2
240481,Super 8 Motel - Houston/I-10W@Hwy6,6.333333333333333,3
247110,Quality Suites Bush/IAH Airport West,8.5,2
98934,Knights Inn Houston,7.642857142857143,14
109734,Quality Inn & Suites Galleria/Westchase,13.5,2
277895,Howard Johnson Clearlake,6.5,4
141902,Days Inn West Houston,7.5,4
98962,Holiday Inn Houston Near The Galleria,2.0,1
73470,Greenway Inn & Suites,6.636363636363637,11
107903,Howard Johnson Express Inn - Houston,4.333333333333333,3
141893,Hampton Inn & Suites,9.625,8
108006,Quality Inn Houston,25.0,1
99013,Baymont Inn Houston Hobby Airport,13.333333333333334,6
240435,Red Carpet Inn Houston,6.666666666666667,3
244314,Motel 6 Houston Reliant Park,10.0,1
107911,Hotel 31 Houston Near the Galleria,12.066666666666666,15
254040,Moonlight Inn and Suites,6.0,2
223182,InTown Suites Houston Intercontinental,2.0,1
239848,Americas Best Value Inn & Suites-Houston North,5.0,1
649739,Camelot Inn & Suites,27.0,1
217739,Wellesley Suites Memorial,2.0,3
108029,Houston Days Inn Downtown / Medical Center,5.0,1
558038,Regency Inn & Suites,17.0,2
603138,Scottish Inn & Suites Houston - Eastex Freeway,6.0,1
98970,Brentwood Inn,9.0,5
223138,Americas Best Value Classic Inn & Suites- Downtown,4.5,2
223194,Scottish Inn & Suites,12.5,2
292556,Holiday Inn Express Houston - Hobby Airport,13.333333333333334,9
258635,Sun Suites Of Greenspoint,3.0,1
98981,Holiday Inn Houston Southwest-Hwy 59S @ Beltway 8,7.0,1
99101,Sheraton North Houston at George Bush Intercontinental,13.535714285714286,28
98964,Holiday Inn Houston Hobby Airport,19.0,1
108145,Hotel Marquis,14.714285714285714,7
252340,Super 8 Houston /I-10 & 610,18.0,1
223180,Comfort Inn Hwy. 290/NW,30.0,2
108047,Rodeway Inn & Suites Hwy 290 NW,13.333333333333334,3
98936,Courtyard by Marriott Houston Brookhollow,19.285714285714285,7
99017,La Quinta Inn Houston East,10.0,1
1514581,"Park Inn by Radisson, Houston North",19.0,1
223157,Holiday Inn Express Northwest / Brookhollow,5.0,1
559409,Regency Suites Bush Airport,19.0,7
240441,Red Carpet Inn Hobby Airport,10.0,1
108060,Candlewood Suites Houston/Clear Lake,14.0,2
223176,Residence Inn Intercontinental Airport at Greenspoint,8.5,4
258875,Comfort Suites,16.333333333333332,3
99073,Comfort Inn & Suites Greenway Plaza/SW Freeway,9.2,5
223140,Comfort Suites,23.0,1
107930,Candlewood Suites Houston by the Galleria,15.666666666666666,6
107867,Residence Inn Houston Westchase,12.4,5
99041,La Quinta Inn Houston Wilcrest,1.0,1
107812,BEST WESTERN Windsor Suites,19.75,4
217741,Red Roof Inn Houston IAH Airport,8.666666666666666,6
256702,Sun Suites Of Westchase,4.5,2
108150,Courtyard by Marriott Houston Hobby Airport,13.333333333333334,9
240483,Super 8 Houston / Brookhollow / NW,20.8,5
223136,La Quinta Inn & Suites Houston Southwest,10.0,3
239356,Americas Best Value Inn & Suites Houston FM 1960/I-45,30.0,1
223169,Microtel Inn & Suites by Wyndham Houston,8.625,8
109748,Residence Inn Houston Medical Center/Reliant Park,16.0,14
99015,La Quinta Inn Houston Cy-Fair,15.5,2
116265,Best Western Plus - North Houston Inn & Suites,18.0,2
99014,Days Inn Houston,11.6,5
109742,Hampton Inn Houston Northwest,13.0,2
240437,Country Inn & Suites Houston Hobby Airport,13.333333333333334,3
107859,Comfort Suites - Near the Galleria,13.0,4
223144,Courtyard by Marriott Houston Northwest,22.5,2
98999,Courtyard Houston I-10 West/Energy Corridor,17.4,5
223150,"Hampton Inn Houston - I-10W, Energy Cor",12.5,6
223143,Courtyard Houston Intercontinental Airport,14.0,3
107957,TownePlace Suites Central/Northwest Freeway,20.333333333333332,3
107834,Hyatt Place Houston/Greenspoint/IAH Airport,13.833333333333334,6
107990,Extended Stay America - Houston - Greenway Plaza,13.8,5
108148,Holiday Inn Houston Intercontinental Airport,8.0,1
217746,Extended Stay America - Houston - Galleria - Uptown,17.5,2
109751,Hampton Inn - Brookhollow,19.5,4
223192,Extended Stay America - Houston - Med. Ctr. - Reliant Pk. - Braeswood Blvd.,11.0,1
107844,Residence Inn Houston by The Galleria,21.0,8
98997,Hilton Houston Southwest,13.31578947368421,19
223153,Hampton Inn & Suites Houston-Cypress Station,17.666666666666668,3
223152,Hampton Inn Houston - Willowbrook Mall,28.0,1
223165,Homewood Suites by Hilton Houston - Westchase,17.2,5
107783,Comfort Suites Bush Intercontinental Airport,13.777777777777779,9
98959,Holiday Inn Houston Reliant Park Area,15.666666666666666,15
99120,BEST WESTERN Plaza Hotel & Suites at Medical Center Houston,18.142857142857142,7
