Hotel ID,Hotel Name,Total Rating,Overall Customers
107956,Extended Stay America - Houston - Northwest,26.666666666666668,3
108038,Hilton University of Houston,14.0,12
239853,BEST WESTERN PLUS Downtown Inn & Suites Houston,19.176470588235293,17
107915,Drury Inn & Suites Houston Near The Galleria,22.692307692307693,13
559491,Holiday Inn Express Houston East,17.0,2
266158,Super 8 Houston/Hobby Airport/I-45,23.0,1
108057,Residence Inn Houston Clear Lake,17.428571428571427,7
223137,La Quinta Inn Houston Northwest,16.25,4
107924,Courtyard by Marriott Houston Westchase,10.0,8
223151,Hampton Inn and Suites Houston Medical Center - Reliant Park,20.857142857142858,7
98920,Houston Marriott Westchase,17.82608695652174,23
283873,"Hotel Icon, Autograph Collection",18.744444444444444,90
98952,Four Seasons Hotel Houston,16.736842105263158,38
258634,Scottish Inn & Suites Reliant Park/Six Flags,20.25,4
107863,Extended Stay America - Houston - Westchase - Westheimer,8.5,2
99081,Crowne Plaza Houston - Brookhollow,16.8125,16
223164,Homewood Suites by Hilton Houston - Clear Lake,19.857142857142858,7
585164,Residence Inn Houston West/Energy Corridor,22.666666666666668,3
108149,Drury Inn & Suites Houston Hobby,20.5,14
99067,"Four Points by Sheraton Houston, Memorial City",24.0,3
223154,Hampton Inn Houston - Near The Galleria,19.352941176470587,17
99106,La Quinta Inn Houston Medical / Reliant Center,14.285714285714286,14
650546,Symphony Inn & Suites,19.0,1
596014,Staybridge Suites Houston West / Energy Corridor,30.0,2
256700,Sun Suites of Hobby / Clearlake,14.0,3
223141,Comfort Suites Westchase,16.75,8
108020,BEST WESTERN Heritage Inn,20.8,5
223179,Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft,18.333333333333332,3
223149,Hampton Inn Houston Hobby Airport,20.333333333333332,3
108150,Courtyard by Marriott Houston Hobby Airport,14.928571428571429,14
558146,Star Inn & Suites,14.0,2
266326,Super 8 Houston/Downtown/I-610,1.0,1
486939,Hampton Inn & Suites Houston-Westchase,24.333333333333332,3
107884,Americas Best Value Inn & Suites - Houston/Northwest,8.5,6
595438,Extended Stay America - Houston - Katy Freeway - Energy Corridor,23.0,1
223148,Baymont Inn & Suites Houston,14.0,10
98989,DoubleTree by Hilton Houston Hobby Airport,18.133333333333333,15
99132,Hilton Houston Westchase,20.0,15
98940,Houston Inn and Suites,9.333333333333334,3
107846,Montecito Apartment Suites,20.0,1
223156,Comfort Inn Houston,12.8,10
239859,Studio 6 Houston Northwest,9.0,1
107802,Econo Lodge,16.0,1
98976,Hotel Preet Northwest,4.5,4
266125,Hobby Inn and Suites,8.5,4
107713,Ramada Houston Southwest,12.5,4
223135,Travelodge Houston - Intercontinental,6.666666666666667,3
107769,Fairfield Inn & Suites Houston I-45 North,10.666666666666666,3
142353,Econo Lodge Medical Center,12.0,3
223183,InTown Suites Houston Northwest / Cy-Fair (XHW) - Houston,10.0,1
223184,InTown Suites Highway 290,7.0,1
239858,Studio 6 Houston-Hobby,30.0,1
107999,Quality Inn & Suites West - Energy Corridor,18.333333333333332,3
244313,Motel 6 Houston - Westchase,18.0,1
239355,Super 8 Houston/I-10/Federal Road,18.0,1
99031,America's Inn,8.0,2
73463,Downtowner Inn and Suites,19.75,4
99051,Motel 6 Houston West - Katy,13.666666666666666,3
98972,Ramada Inn North Houston,9.333333333333334,3
239857,Studio 6 Houston - Spring,4.0,2
240481,Super 8 Motel - Houston/I-10W@Hwy6,6.333333333333333,3
247110,Quality Suites Bush/IAH Airport West,10.333333333333334,3
98934,Knights Inn Houston,8.052631578947368,19
109734,Quality Inn & Suites Galleria/Westchase,13.5,2
277895,Howard Johnson Clearlake,6.5,4
141902,Days Inn West Houston,9.0,5
98962,Holiday Inn Houston Near The Galleria,2.0,1
141893,Hampton Inn & Suites,10.636363636363637,11
73470,Greenway Inn & Suites,7.538461538461538,13
107903,Howard Johnson Express Inn - Houston,4.8,5
108006,Quality Inn Houston,21.0,2
99013,Baymont Inn Houston Hobby Airport,12.333333333333334,9
244196,Preet Inn,14.0,1
240435,Red Carpet Inn Houston,6.5,4
244314,Motel 6 Houston Reliant Park,10.0,1
107911,Hotel 31 Houston Near the Galleria,11.875,16
254040,Moonlight Inn and Suites,6.0,2
223182,InTown Suites Houston Intercontinental,2.0,1
239848,Americas Best Value Inn & Suites-Houston North,5.0,1
649739,Camelot Inn & Suites,27.0,1
98986,Hospitality Inn,20.0,1
