Hotel ID,Hotel Name,Total Rating,Overall Customers
107956,Extended Stay America - Houston - Northwest,28.583333333333332,12
108038,Hilton University of Houston,18.166666666666668,24
239853,BEST WESTERN PLUS Downtown Inn & Suites Houston,24.625,40
1158926,Hilton Garden Inn Houston Energy Corridor,28.0625,64
1966350,The Westin Houston Memorial City,25.9,10
107915,Drury Inn & Suites Houston Near The Galleria,25.054054054054053,37
1200103,Hotel Sorella CITYCENTRE,29.485148514851485,101
1218737,La Quinta Inn & Suites Houston - Normandy,29.166666666666668,6
1630591,Crowne Plaza,28.75,4
559491,Holiday Inn Express Houston East,24.125,8
1236706,Super 8 Houston Hobby Airport South,6.0,1
283873,"Hotel Icon, Autograph Collection",21.964102564102564,195
266158,Super 8 Houston/Hobby Airport/I-45,20.0,4
108057,Residence Inn Houston Clear Lake,18.823529411764707,17
223137,La Quinta Inn Houston Northwest,18.875,8
98952,Four Seasons Hotel Houston,21.425,120
107924,Courtyard by Marriott Houston Westchase,18.6,20
98920,Houston Marriott Westchase,21.59259259259259,54
99081,Crowne Plaza Houston - Brookhollow,23.043478260869566,69
223151,Hampton Inn and Suites Houston Medical Center - Reliant Park,22.142857142857142,28
240436,Carefree Inn Medical Center,25.85185185185185,54
223158,Quality Inn & Suites West Chase,18.75,4
258634,Scottish Inn & Suites Reliant Park/Six Flags,20.25,4
107863,Extended Stay America - Houston - Westchase - Westheimer,8.5,2
1773009,Holiday Inn Express Hotel & Suites Houston NW-Beltway 8-West Road,27.6,5
223164,Homewood Suites by Hilton Houston - Clear Lake,24.0,15
108149,Drury Inn & Suites Houston Hobby,22.705882352941178,34
585164,Residence Inn Houston West/Energy Corridor,26.75,8
99067,"Four Points by Sheraton Houston, Memorial City",24.75,24
223154,Hampton Inn Houston - Near The Galleria,20.452380952380953,42
107834,Hyatt Place Houston/Greenspoint/IAH Airport,22.462962962962962,54
99106,La Quinta Inn Houston Medical / Reliant Center,15.538461538461538,26
108148,Holiday Inn Houston Intercontinental Airport,25.21818181818182,55
815515,Scottish Inns & Suites - Willowbrook,34.0,1
650546,Symphony Inn & Suites,20.333333333333332,3
596014,Staybridge Suites Houston West / Energy Corridor,28.1,10
256700,Sun Suites of Hobby / Clearlake,15.142857142857142,14
223160,Days Inn And Suites Houston IAH Airport,5.0,1
223141,Comfort Suites Westchase,20.125,16
223179,Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft,14.727272727272727,11
108020,BEST WESTERN Heritage Inn,21.8,15
99004,Americas Best Value Inn-Texas Medical Center/Reliant Park,28.333333333333332,12
256702,Sun Suites Of Westchase,14.176470588235293,17
108150,Courtyard by Marriott Houston Hobby Airport,14.9375,32
223149,Hampton Inn Houston Hobby Airport,18.454545454545453,11
558146,Star Inn & Suites,14.0,2
266326,Super 8 Houston/Downtown/I-610,15.333333333333334,3
486939,Hampton Inn & Suites Houston-Westchase,25.2,5
258635,Sun Suites Of Greenspoint,21.428571428571427,7
223148,Baymont Inn & Suites Houston,18.04,25
99132,Hilton Houston Westchase,22.325581395348838,43
107884,Americas Best Value Inn & Suites - Houston/Northwest,9.375,8
98989,DoubleTree by Hilton Houston Hobby Airport,20.263157894736842,38
