Hotel ID,Hotel Name,Total Rating,Overall Customers
107956,Extended Stay America - Houston - Northwest,28.583333333333332,12
108038,Hilton University of Houston,18.130434782608695,23
239853,BEST WESTERN PLUS Downtown Inn & Suites Houston,24.625,40
1158926,Hilton Garden Inn Houston Energy Corridor,28.338983050847457,59
1966350,The Westin Houston Memorial City,26.22222222222222,9
107915,Drury Inn & Suites Houston Near The Galleria,25.17142857142857,35
1200103,Hotel Sorella CITYCENTRE,29.581632653061224,98
1218737,La Quinta Inn & Suites Houston - Normandy,31.25,4
1630591,Crowne Plaza,28.75,4
559491,Holiday Inn Express Houston East,27.0,7
1236706,Super 8 Houston Hobby Airport South,6.0,1
283873,"Hotel Icon, Autograph Collection",21.973118279569892,186
266158,Super 8 Houston/Hobby Airport/I-45,20.0,4
108057,Residence Inn Houston Clear Lake,18.6875,16
223137,La Quinta Inn Houston Northwest,18.875,8
98952,Four Seasons Hotel Houston,21.336283185840706,113
107924,Courtyard by Marriott Houston Westchase,18.6,20
98920,Houston Marriott Westchase,21.53846153846154,52
99081,Crowne Plaza Houston - Brookhollow,23.063492063492063,63
223151,Hampton Inn and Suites Houston Medical Center - Reliant Park,22.22222222222222,27
240436,Carefree Inn Medical Center,25.979166666666668,48
223158,Quality Inn & Suites West Chase,18.75,4
258634,Scottish Inn & Suites Reliant Park/Six Flags,20.25,4
107863,Extended Stay America - Houston - Westchase - Westheimer,8.5,2
1773009,Holiday Inn Express Hotel & Suites Houston NW-Beltway 8-West Road,30.5,4
223164,Homewood Suites by Hilton Houston - Clear Lake,24.846153846153847,13
108149,Drury Inn & Suites Houston Hobby,22.71875,32
585164,Residence Inn Houston West/Energy Corridor,26.75,8
99067,"Four Points by Sheraton Houston, Memorial City",24.82608695652174,23
223154,Hampton Inn Houston - Near The Galleria,20.526315789473685,38
107834,Hyatt Place Houston/Greenspoint/IAH Airport,23.03921568627451,51
99106,La Quinta Inn Houston Medical / Reliant Center,15.538461538461538,26
815515,Scottish Inns & Suites - Willowbrook,34.0,1
650546,Symphony Inn & Suites,20.333333333333332,3
596014,Staybridge Suites Houston West / Energy Corridor,28.1,10
256700,Sun Suites of Hobby / Clearlake,16.75,12
223141,Comfort Suites Westchase,20.125,16
223179,Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft,14.727272727272727,11
108020,BEST WESTERN Heritage Inn,21.571428571428573,14
99004,Americas Best Value Inn-Texas Medical Center/Reliant Park,29.6,10
256702,Sun Suites Of Westchase,14.1875,16
108150,Courtyard by Marriott Houston Hobby Airport,14.9375,32
223149,Hampton Inn Houston Hobby Airport,18.454545454545453,11
558146,Star Inn & Suites,14.0,2
266326,Super 8 Houston/Downtown/I-610,15.333333333333334,3
486939,Hampton Inn & Suites Houston-Westchase,25.2,5
258635,Sun Suites Of Greenspoint,21.428571428571427,7
99132,Hilton Houston Westchase,22.325581395348838,43
107884,Americas Best Value Inn & Suites - Houston/Northwest,9.375,8
223148,Baymont Inn & Suites Houston,18.761904761904763,21
98989,DoubleTree by Hilton Houston Hobby Airport,20.555555555555557,36
595438,Extended Stay America - Houston - Katy Freeway - Energy Corridor,19.666666666666668,6
488773,Airport Inn And Suites,30.0,1
108136,Best Value Inn & Suites Houston,30.0,1
98940,Houston Inn and Suites,11.5,6
98962,Holiday Inn Houston Near The Galleria,16.0,17
239859,Studio 6 Houston Northwest,12.333333333333334,3
107846,Montecito Apartment Suites,20.0,1
223156,Comfort Inn Houston,12.8,10
107802,Econo Lodge,20.0,3
226728,Interstate Motor Lodge,28.5,2
107903,Howard Johnson Express Inn - Houston,8.846153846153847,13
98976,Hotel Preet Northwest,4.8,5
596446,Texan Inn & Suites,26.0,1
266125,Hobby Inn and Suites,14.833333333333334,6
142353,Econo Lodge Medical Center,13.1,10
122746,Londale Hotel,24.75,4
107713,Ramada Houston Southwest,14.375,8
226721,Studio 6 Houston - Westchase,18.0,3
107769,Fairfield Inn & Suites Houston I-45 North,12.25,4
223135,Travelodge Houston - Intercontinental,14.6,5
223184,InTown Suites Highway 290,6.666666666666667,3
223183,InTown Suites Houston Northwest / Cy-Fair (XHW) - Houston,12.5,2
239858,Studio 6 Houston-Hobby,20.25,4
107999,Quality Inn & Suites West - Energy Corridor,13.666666666666666,6
1146238,Value Place Airtex,31.333333333333332,3
98937,Astro Inn,5.5,2
244313,Motel 6 Houston - Westchase,15.25,4
239355,Super 8 Houston/I-10/Federal Road,9.0,6
73463,Downtowner Inn and Suites,21.8,10
99051,Motel 6 Houston West - Katy,14.0,9
98972,Ramada Inn North Houston,11.764705882352942,17
99031,America's Inn,11.2,5
107757,Americas Best Value Inn & Suites - Bush Int'l Airport Wes,9.0,1
1382899,Value Place I-10 West,10.5,2
239857,Studio 6 Houston - Spring,6.0,5
240481,Super 8 Motel - Houston/I-10W@Hwy6,5.333333333333333,6
247110,Quality Suites Bush/IAH Airport West,11.8,5
99101,Sheraton North Houston at George Bush Intercontinental,17.415730337078653,89
109734,Quality Inn & Suites Galleria/Westchase,13.5,8
98934,Knights Inn Houston,8.884615384615385,26
73470,Greenway Inn & Suites,8.68421052631579,19
99013,Baymont Inn Houston Hobby Airport,15.653846153846153,26
277895,Howard Johnson Clearlake,13.0,12
244316,Studio 6 Houston West,29.5,2
244314,Motel 6 Houston Reliant Park,18.25,12
141902,Days Inn West Houston,9.5,14
141893,Hampton Inn & Suites,11.352941176470589,17
108006,Quality Inn Houston,18.666666666666668,6
99024,Venetian Inn & Suites Houston Airport,14.357142857142858,14
107911,Hotel 31 Houston Near the Galleria,13.576923076923077,26
244196,Preet Inn,10.0,2
240435,Red Carpet Inn Houston,6.5,4
651629,Symphony Inn Houston,9.0,1
292556,Holiday Inn Express Houston - Hobby Airport,17.68421052631579,19
254040,Moonlight Inn and Suites,13.25,4
223182,InTown Suites Houston Intercontinental,2.0,1
239848,Americas Best Value Inn & Suites-Houston North,5.0,1
649739,Camelot Inn & Suites,23.5,2
98986,Hospitality Inn,20.0,1
217739,Wellesley Suites Memorial,2.0,3
108029,Houston Days Inn Downtown / Medical Center,5.0,1
558038,Regency Inn & Suites,17.75,4
603138,Scottish Inn & Suites Houston - Eastex Freeway,6.0,1
98970,Brentwood Inn,9.0,5
107751,Knights Inn Houston Raceway/Bush Airport,13.5,4
240440,Passport Inn & Suites Houston,7.0,2
223138,Americas Best Value Classic Inn & Suites- Downtown,10.0,4
1751874,Executive Inn & Suites Houston,16.0,1
223194,Scottish Inn & Suites,13.25,4
98981,Holiday Inn Houston Southwest-Hwy 59S @ Beltway 8,19.25,8
1155392,Athens Hotel Suites,25.11904761904762,42
98936,Courtyard by Marriott Houston Brookhollow,21.7,20
98964,Holiday Inn Houston Hobby Airport,22.6,15
1514581,"Park Inn by Radisson, Houston North",19.428571428571427,21
1858908,Americas Best Value Inn & Suites-Houston/FM 249,35.0,1
223180,Comfort Inn Hwy. 290/NW,24.272727272727273,11
108145,Hotel Marquis,13.615384615384615,13
1484167,Palace Inn Sam Houston Parkway North,28.5,2
653244,Galleria Garden Hotel/Apartments,12.0,4
503400,BEST WESTERN PLUS Sam Houston Inn & Suites,21.8,5
252340,Super 8 Houston /I-10 & 610,16.5,4
107952,Candlewood Suites Houston-At Citycentre-Energy Corridor,25.0,4
108151,Econo Lodge Houston Lobby,28.0,1
99017,La Quinta Inn Houston East,11.714285714285714,7
108047,Rodeway Inn & Suites Hwy 290 NW,16.4,5
223175,Red Roof Inn - Houston Northwest,19.76923076923077,13
107930,Candlewood Suites Houston by the Galleria,17.8,25
99082,Super 8 Houston/I-45 North,6.0,2
223157,Holiday Inn Express Northwest / Brookhollow,21.0,3
559409,Regency Suites Bush Airport,13.294117647058824,17
244310,Motel 6 Houston Hobby Airport,14.75,4
1138042,Candlewood Suites Houston West,30.0,1
98955,Baymont Inn & Suites Houston East,23.2,5
240483,Super 8 Houston / Brookhollow / NW,17.77777777777778,18
108060,Candlewood Suites Houston/Clear Lake,18.22222222222222,9
1577352,Baymont Inn and Suites Houston I-45 North,12.818181818181818,11
240441,Red Carpet Inn Hobby Airport,8.5,2
223176,Residence Inn Intercontinental Airport at Greenspoint,16.285714285714285,7
258875,Comfort Suites,16.571428571428573,7
107867,Residence Inn Houston Westchase,16.8,10
223140,Comfort Suites,23.2,5
107812,BEST WESTERN Windsor Suites,19.77777777777778,9
99041,La Quinta Inn Houston Wilcrest,21.0,12
99073,Comfort Inn & Suites Greenway Plaza/SW Freeway,13.166666666666666,6
217741,Red Roof Inn Houston IAH Airport,8.666666666666666,6
109748,Residence Inn Houston Medical Center/Reliant Park,17.8,35
223136,La Quinta Inn & Suites Houston Southwest,14.615384615384615,13
223177,Quality Inn & Suites Reliant Park/Medical Center,19.2,10
239356,Americas Best Value Inn & Suites Houston FM 1960/I-45,27.571428571428573,7
1526288,Scottish Inns & Suites Timber,27.333333333333332,6
223169,Microtel Inn & Suites by Wyndham Houston,9.5625,16
99015,La Quinta Inn Houston Cy-Fair,16.846153846153847,13
107718,America's Inn,9.222222222222221,9
116265,Best Western Plus - North Houston Inn & Suites,23.375,8
1485278,Quality Inn & Suites North,26.0,3
1212489,Candlewood Suites Houston Medical Center,24.90909090909091,11
109742,Hampton Inn Houston Northwest,23.444444444444443,9
99014,Days Inn Houston,18.0,11
107859,Comfort Suites - Near the Galleria,20.933333333333334,15
108010,Comfort Inn East,22.571428571428573,7
1642905,Scotts Inn & Suite,12.0,2
1583951,Comfort Suites West Energy Corridor,18.0,3
240437,Country Inn & Suites Houston Hobby Airport,20.583333333333332,12
1146180,Days Inn Houston,20.2,5
223172,Red Roof Inn Houston West,24.5,12
107994,Crossland Economy Studios - Houston - Northwest,19.25,4
107913,Extended Stay America - Houston - Galleria - Westheimer,13.75,4
107993,Crossland Economy Studios - Houston - West Oaks,7.0,2
108148,Holiday Inn Houston Intercontinental Airport,25.245283018867923,53
108066,Crowne Plaza Hotel Houston- Medical Center,19.641025641025642,39
223150,"Hampton Inn Houston - I-10W, Energy Cor",19.3125,16
124460,Comfort Suites Willowbrook / Technology Corridor,16.5,2
223144,Courtyard by Marriott Houston Northwest,22.8,10
223143,Courtyard Houston Intercontinental Airport,18.6,10
98999,Courtyard Houston I-10 West/Energy Corridor,20.692307692307693,13
257022,BEST WESTERN Fountainview Inn & Suites Near Galleria,20.333333333333332,6
1724101,Howard Johnson Houston,21.8,10
223192,Extended Stay America - Houston - Med. Ctr. - Reliant Pk. - Braeswood Blvd.,16.61904761904762,21
98997,Hilton Houston Southwest,17.181818181818183,55
107957,TownePlace Suites Central/Northwest Freeway,20.333333333333332,3
73481,Holiday Inn Express - Houston,25.5,2
217746,Extended Stay America - Houston - Galleria - Uptown,18.25,24
107990,Extended Stay America - Houston - Greenway Plaza,20.0,12
1416435,TownePlace Suites Houston Intercontinental Airport,26.25,16
107844,Residence Inn Houston by The Galleria,22.586206896551722,29
109751,Hampton Inn - Brookhollow,19.583333333333332,12
1549134,Houston Marriott South at Hobby Airport,23.46153846153846,13
1733514,Candlewood Suites Houston IAH / Beltway 8,31.666666666666668,3
98959,Holiday Inn Houston Reliant Park Area,20.80851063829787,47
223153,Hampton Inn & Suites Houston-Cypress Station,21.0,6
223152,Hampton Inn Houston - Willowbrook Mall,24.857142857142858,7
223165,Homewood Suites by Hilton Houston - Westchase,22.105263157894736,19
98987,Marriott Houston Airport at George Bush Intercontinental,19.92982456140351,114
107783,Comfort Suites Bush Intercontinental Airport,15.916666666666666,24
108002,HYATT house Houston/Energy Corridor,26.0,27
99120,BEST WESTERN Plaza Hotel & Suites at Medical Center Houston,23.26923076923077,26
257507,Four Points by Sheraton Houston Southwest,18.096774193548388,62
240439,Hilton Garden Inn Houston / Bush Intercontinental Airport,20.225806451612904,31
268149,Courtyard by Marriott Houston Downtown,19.35135135135135,37
98996,Hilton Houston Plaza/Medical Center,19.923076923076923,39
107929,Candlewood Suites Houston Westchase,24.11111111111111,9
107776,Quality Suites North,25.0,4
1197126,Holiday Inn Express Hotel & Suites Houston West-Energy Corridor,18.727272727272727,11
107711,Extended Stay America - Houston - Willowbrook - HWY 249,19.8,5
108142,John F. Kennedy Inn and Suites,23.4468085106383,47
223171,Super 8 Houston,18.0,2
123943,Days Inn Houston - Galleria Mall,20.727272727272727,11
1236696,Super 8 IAH West / Greenspoint,27.04,50
107947,La Quinta Inn & Suites Houston West Park 10,24.0,3
223139,HYATT house Houston/Galleria,19.11111111111111,54
268145,Holiday Inn Express Houston - Memorial Park Area,17.625,8
223142,Country Inn & Suites Intercontinental Airport,14.911764705882353,34
1645644,Fairfield Inn & Suites Houston Intercontinental Airport,34.666666666666664,3
258636,Alden-Houston,21.87837837837838,148
111618,Renaissance Houston Hotel Greenway Plaza,21.597014925373134,67
223159,Holiday Inn Express Houston-Downtown Convention Center,21.61904761904762,42
223155,La Quinta Inn & Suites Willowbrook,22.0,3
99103,Sheraton Suites Houston Near The Galleria,21.739583333333332,96
124937,La Quinta Inn Houston Greenway Plaza,23.20689655172414,29
98954,DoubleTree Suites by Hilton Houston by the Galleria,20.87323943661972,71
107908,Fairfield Inn Houston / Westchase,25.4,5
107954,TownePlace Suites Houston I-10 West/Energy Corridor,17.833333333333332,6
657890,Homewood Suites by Hilton Houston West-Energy Corridor,29.4,5
223228,Holiday Inn Express Houston-NW (Highway 290 and FM 1960),10.833333333333334,6
878451,MainStay Suites Texas Medical Center/Reliant Park,24.724137931034484,29
1103488,Sheraton Houston West,25.791666666666668,24
223166,Homewood Suites by Hilton Houston - Willowbrook Mall,21.352941176470587,17
99114,Westin Galleria Houston Hotel,20.480263157894736,152
98944,Hilton Houston Post Oak,22.519736842105264,152
223193,Wingate by Wyndham Houston / Willowbrook,21.666666666666668,18
1649109,Houston Marriott Energy Corridor,27.0,11
99066,Springhill Suites Houston Medical Center/Reliant Park,21.454545454545453,33
1657341,Courtyard Houston Medical Center,21.533333333333335,15
98991,Houston Marriott Medical Center,23.2625,80
98943,Doubletree Hotel Houston Downtown,22.091954022988507,87
645215,La Quinta Inn & Suites Houston 1960,17.666666666666668,3
108061,SpringHill Suites Houston Brookhollow,21.0,13
288460,Courtyard Houston-West University,20.892857142857142,28
223189,Crestwood Suites Houston 290-Galleria,23.870967741935484,31
223147,Fairfield Inn & Suites Houston I-10 West / Energy Corridor,19.428571428571427,7
108004,Houston Days Inn & Suites,19.0,3
1575212,Holiday Inn Houston West Energy Corridor,24.0,7
665163,Courtyard by Marriott Houston by the Galleria,25.520833333333332,48
223134,SpringHill Suites Houston Hobby Airport,22.11111111111111,18
107982,Holiday Inn Houston Northwest Willowbrook,19.7,10
107826,Houston Marriott North,19.672131147540984,61
99058,Hilton Houston NASA Clear Lake,23.17808219178082,73
1440365,Sleep Inn & Suites,21.2,5
99007,Doubletree Houston Intercontinental Airport,25.265625,64
99010,JW Marriott Houston,20.58267716535433,127
671200,La Quinta Inn & Suites Houston Hobby Airport,18.0,8
277894,Homewood Suites by Hilton HOU Intercontinental Airport,18.636363636363637,11
609502,Staybridge Suites Houston-Willowbrook,31.0,2
99135,Westin Oaks Houston at the Galleria,19.883928571428573,112
220094,Sonesta ES Suites Houston,21.470588235294116,17
1866401,Holiday Inn Hotel-Houston Westchase,25.0,1
107991,Drury Inn & Suites Houston West,23.863636363636363,22
1026192,Comfort Suites Hobby Airport Houston,28.0,11
