Hotel ID,Hotel Name,Total Rating,Overall Customers
108038,Hilton University of Houston,24.653061224489797,49
239853,BEST WESTERN PLUS Downtown Inn & Suites Houston,27.080645161290324,62
1158926,Hilton Garden Inn Houston Energy Corridor,27.962616822429908,107
107956,Extended Stay America - Houston - Northwest,30.38888888888889,18
1200103,Hotel Sorella CITYCENTRE,29.181318681318682,182
1966350,The Westin Houston Memorial City,27.821428571428573,56
98952,Four Seasons Hotel Houston,25.737037037037037,270
283873,"Hotel Icon, Autograph Collection",24.21602787456446,287
282699,Hilton Americas - Houston,28.585106382978722,188
107915,Drury Inn & Suites Houston Near The Galleria,26.80952380952381,63
99081,Crowne Plaza Houston - Brookhollow,26.285,200
1218737,La Quinta Inn & Suites Houston - Normandy,30.77777777777778,18
1866401,Holiday Inn Hotel-Houston Westchase,30.045454545454547,22
665163,Courtyard by Marriott Houston by the Galleria,25.161616161616163,99
559491,Holiday Inn Express Houston East,26.75,12
1630591,Crowne Plaza,30.0,5
108057,Residence Inn Houston Clear Lake,23.151515151515152,33
1236706,Super 8 Houston Hobby Airport South,26.166666666666668,6
266158,Super 8 Houston/Hobby Airport/I-45,27.583333333333332,12
240436,Carefree Inn Medical Center,25.541984732824428,131
223137,La Quinta Inn Houston Northwest,25.566666666666666,30
258636,Alden-Houston,23.94360902255639,266
98920,Houston Marriott Westchase,22.98095238095238,105
223151,Hampton Inn and Suites Houston Medical Center - Reliant Park,24.571428571428573,63
107924,Courtyard by Marriott Houston Westchase,22.233333333333334,30
99114,Westin Galleria Houston Hotel,23.110320284697508,281
111618,Renaissance Houston Hotel Greenway Plaza,23.37837837837838,111
223158,Quality Inn & Suites West Chase,24.0,8
108054,TownePlace Suites Houston Clear Lake,27.5625,16
258634,Scottish Inn & Suites Reliant Park/Six Flags,25.571428571428573,7
223164,Homewood Suites by Hilton Houston - Clear Lake,25.107142857142858,28
1773009,Holiday Inn Express Hotel & Suites Houston NW-Beltway 8-West Road,27.133333333333333,15
107863,Extended Stay America - Houston - Westchase - Westheimer,21.0,4
108149,Drury Inn & Suites Houston Hobby,23.51063829787234,47
223154,Hampton Inn Houston - Near The Galleria,22.54794520547945,73
107834,Hyatt Place Houston/Greenspoint/IAH Airport,22.869565217391305,92
98987,Marriott Houston Airport at George Bush Intercontinental,22.857142857142858,224
585164,Residence Inn Houston West/Energy Corridor,27.571428571428573,14
99067,"Four Points by Sheraton Houston, Memorial City",26.15909090909091,44
108148,Holiday Inn Houston Intercontinental Airport,25.066666666666666,105
99106,La Quinta Inn Houston Medical / Reliant Center,21.50877192982456,57
242394,Royal Sonesta Hotel Houston,25.736842105263158,19
142023,Ramada Houston Intercontinental Airport South,28.63157894736842,19
650546,Symphony Inn & Suites,23.8,5
2712053,Staybridge Suites Houston Iah - Beltway 8,28.0,1
256702,Sun Suites Of Westchase,18.9,40
815515,Scottish Inns & Suites - Willowbrook,33.5,2
