Hotel ID,Hotel Name,Total Rating,Overall Customers
115754,SpringHill Suites Seattle Downtown/South Lake Union,1.5,2
224833,Commodore Hotel,1.0,4
100506,Hotel Seattle,1.0,1
72586,BEST WESTERN PLUS Executive Inn,4.0,1
124269,Clarion Hotel Seattle Airport,1.0,1
100584,Seattle Pacific Hotel,1.0,1
122998,The College Inn,5.0,1
100508,Kings Inn,3.0,1
100560,Hilton Seattle,2.0,1
100561,Quality Inn & Suites Seattle,2.5,2
123004,Holiday Inn Express Seattle City Center,5.0,1
100574,Travelodge Seattle by the Space Needle,2.0,1
100586,W Seattle,2.0,2
100537,Inn at Queen Anne,4.0,1
100547,Executive Hotel Pacific,2.6,5
100564,Sixth Avenue Inn,1.0,1
100540,MarQueen Hotel,1.5,2
100589,Roosevelt Hotel,4.333333333333333,3
100509,Ace Hotel,3.5,2
258824,Mediterranean Inn,3.0,1
115755,"Hotel Deca, Seattle",4.0,1
100544,Moore Hotel,4.0,1
100570,The Westin Seattle,4.0,1
224783,Grand Hyatt Seattle,5.0,2
112412,Alexis Hotel - a Kimpton Hotel,5.0,2
100542,Mayflower Park,5.0,1
100504,Hotel Monaco Seattle - a Kimpton Hotel,4.0,1
281828,The Fairmont Olympic Seattle,5.0,2
100562,Sheraton Seattle Hotel,5.0,1
100507,Inn at the Market,4.5,2
