Hotel ID,Hotel Name,Total Rating,Overall Customers
115754,SpringHill Suites Seattle Downtown/South Lake Union,9.19047619047619,21
100610,Marriott Seattle Sea-Tac Airport,7.571428571428571,7
123036,Hampton Inn & Suites Seattle Downtown,10.285714285714286,7
122985,La Hacienda Motel,1.0,1
122994,Everspring Inn,3.0,2
290883,Panama Hotel,5.0,1
100513,Continental Plaza Seattle,4.0,1
224833,Commodore Hotel,1.5,10
100531,Executive Extended Stay Suites and Hotel,2.4,5
253306,Jet Motel,14.0,1
123032,Marco Polo Motel,18.0,1
100617,Hilton Seattle Airport & Conference Center,8.454545454545455,11
100506,Hotel Seattle,5.428571428571429,7
72586,BEST WESTERN PLUS Executive Inn,9.8,15
557193,Ramada Limited Tukwila/SeaTac,5.5,4
124269,Clarion Hotel Seattle Airport,2.875,8
224835,Days Inn Town Center Hotel Seattle,6.636363636363637,11
100584,Seattle Pacific Hotel,3.9285714285714284,14
112434,Eighth Avenue Inn,2.1666666666666665,6
124270,Days Inn South Seattle,16.666666666666668,3
126402,BEST WESTERN Airport Executel,9.6,5
100508,Kings Inn,3.5714285714285716,14
122998,The College Inn,6.4,5
224860,Travelodge Sea-Tac Airport North,4.0,4
223217,Holiday Inn Express Hotel & Suites North Seattle - Shoreline,16.666666666666668,3
100577,Travelodge Seattle University,3.0,2
100538,Inn at Virginia Mason,13.75,4
223938,Courtyard by Marriott Seattle Downtown / Lake Union,11.5,6
100537,Inn at Queen Anne,6.304347826086956,23
100554,Renaissance Seattle Hotel,8.703703703703704,27
100505,Warwick Seattle Hotel,10.827586206896552,29
123037,Georgetown Inn,7.0,1
100560,Hilton Seattle,5.0,16
123004,Holiday Inn Express Seattle City Center,6.782608695652174,23
100561,Quality Inn & Suites Seattle,4.266666666666667,15
100597,Doubletree by Hilton Seattle Airport,9.952380952380953,21
100586,W Seattle,9.073170731707316,41
100574,Travelodge Seattle by the Space Needle,5.3076923076923075,13
100602,Embassy Suites Seattle - Tacoma International Airport,3.5,4
217795,Coast Gateway Hotel,14.714285714285714,7
217798,Red Roof Inn Seattle Airport - SEATAC,2.0,3
223219,Holiday Inn Seattle,8.2,5
72579,BEST WESTERN Loyal Inn,9.5,2
100619,Radisson Hotel Seattle Airport,5.3,10
100547,Executive Hotel Pacific,7.3,40
224843,La Quinta Inn & Suites Seattle Sea-Tac,4.8,5
100564,Sixth Avenue Inn,6.473684210526316,19
123003,Homewood Suites Seattle-Downtown,6.153846153846154,26
239892,Homewood Suites Seattle - Tacoma Airport / Tukwila,11.5,6
123039,DoubleTree Suites by Hilton Hotel Seattle Airport - Southcenter,3.6666666666666665,3
112437,Red Lion Hotel Seattle Airport,3.125,8
275251,Red Lion Hotel on Fifth Avenue Seattle,10.266666666666667,15
100540,MarQueen Hotel,7.814814814814815,27
123021,Silver Cloud Inn - University,10.666666666666666,6
258824,Mediterranean Inn,10.375,40
100589,Roosevelt Hotel,7.6,20
100509,Ace Hotel,4.523809523809524,21
268228,Marriott Waterfront Seattle,9.179487179487179,39
217807,La Quinta Inn & Suites Seattle Downtown,10.142857142857142,7
281658,Silver Cloud Hotel - Broadway,9.333333333333334,12
100527,Crowne Plaza Seattle Downtown Area,10.482758620689655,29
224856,Residence Inn Seattle Downtown/Lake Union,13.25,8
100544,Moore Hotel,11.285714285714286,49
252350,Watertown Hotel Seattle,14.557692307692308,52
100581,University Inn Seattle,10.11111111111111,9
112429,The Paramount Hotel,6.642857142857143,14
115755,"Hotel Deca, Seattle",10.925925925925926,27
72572,BEST WESTERN PLUS Pioneer Square Hotel,5.583333333333333,12
123022,Silver Cloud Inn - Lake Union,10.783783783783784,37
100585,Hotel Vintage Park - a Kimpton Hotel,7.648648648648648,37
100569,The Sorrento Hotel,11.916666666666666,12
100570,The Westin Seattle,9.042553191489361,47
224783,Grand Hyatt Seattle,11.30952380952381,42
112412,Alexis Hotel - a Kimpton Hotel,9.8,30
100567,The Edgewater Hotel Seattle,7.9523809523809526,21
100542,Mayflower Park,7.5,28
100565,Hotel Andra,10.871794871794872,39
100504,Hotel Monaco Seattle - a Kimpton Hotel,10.875,32
281828,The Fairmont Olympic Seattle,11.0,23
100562,Sheraton Seattle Hotel,8.142857142857142,42
100507,Inn at the Market,12.952380952380953,21
