Hotel ID,Hotel Name,Total Rating,Overall Customers
115754,SpringHill Suites Seattle Downtown/South Lake Union,16.047619047619047,63
100610,Marriott Seattle Sea-Tac Airport,15.838709677419354,31
123036,Hampton Inn & Suites Seattle Downtown,19.842105263157894,38
122985,La Hacienda Motel,8.0,3
290883,Panama Hotel,11.666666666666666,6
122994,Everspring Inn,3.0,2
100513,Continental Plaza Seattle,4.0,1
606357,Admiral Bed and Breakfast,25.5,2
224833,Commodore Hotel,2.272727272727273,11
100531,Executive Extended Stay Suites and Hotel,2.4,5
253306,Jet Motel,10.0,5
224835,Days Inn Town Center Hotel Seattle,10.911764705882353,34
123032,Marco Polo Motel,21.5,2
100617,Hilton Seattle Airport & Conference Center,14.675,40
243759,Motel 6 Seattle Sea-Tac Airport South,16.5,2
100506,Hotel Seattle,7.285714285714286,14
72586,BEST WESTERN PLUS Executive Inn,13.78125,32
100584,Seattle Pacific Hotel,6.611111111111111,36
124269,Clarion Hotel Seattle Airport,7.782608695652174,23
216847,Days Inn Seattle North,6.666666666666667,6
557193,Ramada Limited Tukwila/SeaTac,7.8,15
112434,Eighth Avenue Inn,10.64,25
100600,Econo Lodge SeaTac Airport,26.0,1
126402,BEST WESTERN Airport Executel,15.0,32
124270,Days Inn South Seattle,13.789473684210526,19
100508,Kings Inn,6.444444444444445,27
123029,Motel 6 Seattle South,18.0,1
244041,Motel 6 Seattle Airport,7.0,1
122998,The College Inn,11.384615384615385,13
224860,Travelodge Sea-Tac Airport North,8.222222222222221,9
223217,Holiday Inn Express Hotel & Suites North Seattle - Shoreline,21.529411764705884,17
100577,Travelodge Seattle University,8.6,10
100538,Inn at Virginia Mason,11.875,8
223938,Courtyard by Marriott Seattle Downtown / Lake Union,14.555555555555555,27
124044,Hotel Nexus Seattle,14.384615384615385,13
100537,Inn at Queen Anne,11.677966101694915,59
100554,Renaissance Seattle Hotel,13.373333333333333,75
100505,Warwick Seattle Hotel,14.977777777777778,90
217798,Red Roof Inn Seattle Airport - SEATAC,11.545454545454545,22
100560,Hilton Seattle,10.026315789473685,38
123004,Holiday Inn Express Seattle City Center,14.543859649122806,57
100586,W Seattle,16.125,136
123037,Georgetown Inn,6.0,2
100597,Doubletree by Hilton Seattle Airport,15.107692307692307,65
100561,Quality Inn & Suites Seattle,11.454545454545455,55
578306,Inn at El Gaucho,20.9,40
100574,Travelodge Seattle by the Space Needle,11.606060606060606,33
217795,Coast Gateway Hotel,12.833333333333334,18
100602,Embassy Suites Seattle - Tacoma International Airport,14.7,10
100587,Hotel Max,18.358490566037737,106
123013,University Motel Suites,10.0,3
223219,Holiday Inn Seattle,13.476190476190476,21
72579,BEST WESTERN Loyal Inn,19.11764705882353,17
100619,Radisson Hotel Seattle Airport,14.307692307692308,39
100547,Executive Hotel Pacific,10.7012987012987,77
224843,La Quinta Inn & Suites Seattle Sea-Tac,15.421052631578947,19
100564,Sixth Avenue Inn,10.772727272727273,66
123003,Homewood Suites Seattle-Downtown,10.318181818181818,44
239892,Homewood Suites Seattle - Tacoma Airport / Tukwila,19.68421052631579,19
275251,Red Lion Hotel on Fifth Avenue Seattle,16.516666666666666,60
123039,DoubleTree Suites by Hilton Hotel Seattle Airport - Southcenter,16.666666666666668,15
112437,Red Lion Hotel Seattle Airport,12.666666666666666,33
100540,MarQueen Hotel,13.761904761904763,63
258824,Mediterranean Inn,16.744,125
582371,Silver Cloud Hotel Stadium,23.05,20
100589,Roosevelt Hotel,13.081632653061224,49
123021,Silver Cloud Inn - University,16.833333333333332,12
100544,Moore Hotel,15.144827586206896,145
100509,Ace Hotel,13.404761904761905,42
268228,Marriott Waterfront Seattle,16.0873786407767,103
100527,Crowne Plaza Seattle Downtown Area,16.789473684210527,95
281658,Silver Cloud Hotel - Broadway,17.743589743589745,39
217807,La Quinta Inn & Suites Seattle Downtown,15.342857142857143,35
224856,Residence Inn Seattle Downtown/Lake Union,19.97222222222222,36
100570,The Westin Seattle,14.33125,160
252350,Watertown Hotel Seattle,18.018987341772153,158
115755,"Hotel Deca, Seattle",15.930555555555555,72
100581,University Inn Seattle,20.738095238095237,42
112429,The Paramount Hotel,11.12,25
123022,Silver Cloud Inn - Lake Union,17.96551724137931,116
72572,BEST WESTERN PLUS Pioneer Square Hotel,14.05,40
100585,Hotel Vintage Park - a Kimpton Hotel,16.25263157894737,95
100569,The Sorrento Hotel,16.325581395348838,43
224783,Grand Hyatt Seattle,18.446969696969695,132
112412,Alexis Hotel - a Kimpton Hotel,13.107692307692307,65
100567,The Edgewater Hotel Seattle,14.701492537313433,67
613399,Hotel 1000,22.452380952380953,42
100542,Mayflower Park,16.30952380952381,84
100565,Hotel Andra,16.381818181818183,110
100504,Hotel Monaco Seattle - a Kimpton Hotel,17.1010101010101,99
281828,The Fairmont Olympic Seattle,18.173333333333332,75
614244,Pan Pacific Seattle,21.40740740740741,27
100562,Sheraton Seattle Hotel,16.278145695364238,151
100507,Inn at the Market,18.857142857142858,84
