Hotel ID,Hotel Name,Total Rating,Overall Customers
115754,SpringHill Suites Seattle Downtown/South Lake Union,20.034246575342465,146
1101223,Belltown Inn,24.610169491525422,59
100610,Marriott Seattle Sea-Tac Airport,19.789473684210527,95
123036,Hampton Inn & Suites Seattle Downtown,22.282828282828284,99
72586,BEST WESTERN PLUS Executive Inn,19.345454545454544,110
100617,Hilton Seattle Airport & Conference Center,20.514285714285716,140
122985,La Hacienda Motel,10.75,12
290883,Panama Hotel,16.61111111111111,18
122994,Everspring Inn,11.571428571428571,7
216847,Days Inn Seattle North,12.071428571428571,14
100584,Seattle Pacific Hotel,9.916666666666666,96
224835,Days Inn Town Center Hotel Seattle,13.092592592592593,54
100513,Continental Plaza Seattle,12.5,2
606357,Admiral Bed and Breakfast,20.0,3
224833,Commodore Hotel,2.5833333333333335,12
253306,Jet Motel,14.166666666666666,12
100531,Executive Extended Stay Suites and Hotel,12.0,8
112434,Eighth Avenue Inn,11.132075471698114,53
1130160,Baroness Hotel,13.666666666666666,6
126402,BEST WESTERN Airport Executel,21.20138888888889,144
123032,Marco Polo Motel,19.307692307692307,13
100600,Econo Lodge SeaTac Airport,9.428571428571429,14
243759,Motel 6 Seattle Sea-Tac Airport South,17.363636363636363,11
100506,Hotel Seattle,9.439024390243903,41
124269,Clarion Hotel Seattle Airport,14.491228070175438,57
72598,Comfort Inn & Suites Seattle,18.42105263157895,19
557193,Ramada Limited Tukwila/SeaTac,12.241379310344827,29
124270,Days Inn South Seattle,15.571428571428571,42
100508,Kings Inn,9.381818181818181,55
100554,Renaissance Seattle Hotel,18.995238095238093,210
100505,Warwick Seattle Hotel,18.3625,240
224860,Travelodge Sea-Tac Airport North,11.131578947368421,38
123029,Motel 6 Seattle South,18.4,5
122998,The College Inn,13.884615384615385,26
244041,Motel 6 Seattle Airport,17.076923076923077,13
223217,Holiday Inn Express Hotel & Suites North Seattle - Shoreline,22.073170731707318,41
100538,Inn at Virginia Mason,18.041666666666668,24
100586,W Seattle,20.00597014925373,335
100577,Travelodge Seattle University,16.923076923076923,39
100587,Hotel Max,22.014150943396228,424
223938,Courtyard by Marriott Seattle Downtown / Lake Union,16.522727272727273,44
100537,Inn at Queen Anne,14.586206896551724,145
124044,Hotel Nexus Seattle,18.733333333333334,60
100597,Doubletree by Hilton Seattle Airport,21.566523605150216,233
123004,Holiday Inn Express Seattle City Center,19.642857142857142,154
217798,Red Roof Inn Seattle Airport - SEATAC,19.155555555555555,90
100561,Quality Inn & Suites Seattle,16.664556962025316,158
100560,Hilton Seattle,18.321428571428573,112
100574,Travelodge Seattle by the Space Needle,15.571428571428571,77
100564,Sixth Avenue Inn,17.903225806451612,186
123037,Georgetown Inn,15.333333333333334,9
578306,Inn at El Gaucho,20.82857142857143,70
100547,Executive Hotel Pacific,16.46696035242291,227
100602,Embassy Suites Seattle - Tacoma International Airport,20.044444444444444,45
217795,Coast Gateway Hotel,18.313725490196077,51
223219,Holiday Inn Seattle,18.792207792207794,77
72579,BEST WESTERN Loyal Inn,19.216216216216218,74
100619,Radisson Hotel Seattle Airport,20.675213675213676,117
123013,University Motel Suites,18.5,8
258824,Mediterranean Inn,19.541033434650455,329
224843,La Quinta Inn & Suites Seattle Sea-Tac,17.0,47
100570,The Westin Seattle,21.22824302134647,609
123003,Homewood Suites Seattle-Downtown,19.517543859649123,114
275251,Red Lion Hotel on Fifth Avenue Seattle,20.454054054054055,185
239892,Homewood Suites Seattle - Tacoma Airport / Tukwila,19.95744680851064,47
112437,Red Lion Hotel Seattle Airport,20.3,90
123039,DoubleTree Suites by Hilton Hotel Seattle Airport - Southcenter,18.19047619047619,42
1724250,Courtyard Seattle Downtown/Pioneer Square,32.0,14
100540,MarQueen Hotel,18.236363636363638,110
100527,Crowne Plaza Seattle Downtown Area,20.061135371179038,229
582371,Silver Cloud Hotel Stadium,24.476190476190474,126
100544,Moore Hotel,19.288194444444443,288
100589,Roosevelt Hotel,18.347826086956523,115
268228,Marriott Waterfront Seattle,20.622222222222224,225
123021,Silver Cloud Inn - University,19.264705882352942,34
100509,Ace Hotel,19.12264150943396,106
224856,Residence Inn Seattle Downtown/Lake Union,24.655629139072847,151
281658,Silver Cloud Hotel - Broadway,21.679611650485437,103
217807,La Quinta Inn & Suites Seattle Downtown,18.818181818181817,88
1174533,Homewood Suites Seattle Convention Center Pike Street,28.314285714285713,105
252350,Watertown Hotel Seattle,21.093333333333334,300
115755,"Hotel Deca, Seattle",19.40449438202247,178
72572,BEST WESTERN PLUS Pioneer Square Hotel,23.658536585365855,205
100581,University Inn Seattle,24.714285714285715,126
1755673,Hyatt Place Seattle/Downtown,29.0,22
123022,Silver Cloud Inn - Lake Union,22.431372549019606,255
112429,The Paramount Hotel,19.50515463917526,97
677260,The Arctic Club Seattle - a DoubleTree by Hilton Hotel,26.611570247933884,121
100585,Hotel Vintage Park - a Kimpton Hotel,21.978070175438596,228
224783,Grand Hyatt Seattle,23.277008310249307,361
1200603,Hyatt At Olive 8,28.343915343915345,189
1152288,Four Seasons Hotel Seattle,28.1,90
100569,The Sorrento Hotel,20.085714285714285,105
100562,Sheraton Seattle Hotel,21.955357142857142,560
100565,Hotel Andra,22.524475524475523,286
112412,Alexis Hotel - a Kimpton Hotel,23.53937007874016,254
100567,The Edgewater Hotel Seattle,19.143835616438356,292
613399,Hotel 1000,26.523297491039425,279
100542,Mayflower Park,22.885375494071145,253
1723585,The Maxwell Hotel Seattle,30.833333333333332,96
614244,Pan Pacific Seattle,26.487935656836463,373
100504,Hotel Monaco Seattle - a Kimpton Hotel,23.73448275862069,290
1199588,Cedarbrook Lodge,32.76923076923077,156
281828,The Fairmont Olympic Seattle,23.57377049180328,244
100507,Inn at the Market,25.375375375375377,333
