Hotel ID,Hotel Name,Total Rating,Overall Customers
115754,SpringHill Suites Seattle Downtown/South Lake Union,20.58974358974359,156
1101223,Belltown Inn,25.064935064935064,77
100610,Marriott Seattle Sea-Tac Airport,21.347826086956523,115
123036,Hampton Inn & Suites Seattle Downtown,22.866071428571427,112
124264,Four Points by Sheraton Downtown Seattle Center,4.0,1
72586,BEST WESTERN PLUS Executive Inn,21.215827338129497,139
100617,Hilton Seattle Airport & Conference Center,21.412121212121214,165
126402,BEST WESTERN Airport Executel,22.36263736263736,182
1648642,Star Motel,28.0,1
122985,La Hacienda Motel,11.411764705882353,17
290883,Panama Hotel,17.61904761904762,21
122994,Everspring Inn,13.75,8
216847,Days Inn Seattle North,13.105263157894736,19
100584,Seattle Pacific Hotel,9.848484848484848,99
224835,Days Inn Town Center Hotel Seattle,13.092592592592593,54
100513,Continental Plaza Seattle,12.5,2
606357,Admiral Bed and Breakfast,20.0,3
224833,Commodore Hotel,2.5833333333333335,12
253306,Jet Motel,14.166666666666666,12
100531,Executive Extended Stay Suites and Hotel,11.444444444444445,9
123032,Marco Polo Motel,19.5,14
112434,Eighth Avenue Inn,11.132075471698114,53
1130160,Baroness Hotel,13.666666666666666,6
100600,Econo Lodge SeaTac Airport,10.647058823529411,17
243759,Motel 6 Seattle Sea-Tac Airport South,20.214285714285715,14
72598,Comfort Inn & Suites Seattle,18.71875,32
100506,Hotel Seattle,9.638297872340425,47
124269,Clarion Hotel Seattle Airport,14.704918032786885,61
100554,Renaissance Seattle Hotel,20.599236641221374,262
557193,Ramada Limited Tukwila/SeaTac,13.17142857142857,35
100505,Warwick Seattle Hotel,19.385454545454547,275
124270,Days Inn South Seattle,15.916666666666666,48
100508,Kings Inn,9.868852459016393,61
100587,Hotel Max,23.21359223300971,515
224860,Travelodge Sea-Tac Airport North,11.25,44
123029,Motel 6 Seattle South,16.0,7
100586,W Seattle,20.870324189526183,401
122998,The College Inn,14.290322580645162,31
244041,Motel 6 Seattle Airport,18.666666666666668,15
223217,Holiday Inn Express Hotel & Suites North Seattle - Shoreline,23.24074074074074,54
100538,Inn at Virginia Mason,17.14814814814815,27
100577,Travelodge Seattle University,18.148936170212767,47
223938,Courtyard by Marriott Seattle Downtown / Lake Union,18.666666666666668,57
100597,Doubletree by Hilton Seattle Airport,22.462962962962962,270
124044,Hotel Nexus Seattle,20.68831168831169,77
100537,Inn at Queen Anne,15.283018867924529,159
123004,Holiday Inn Express Seattle City Center,20.059782608695652,184
217798,Red Roof Inn Seattle Airport - SEATAC,21.072727272727274,110
100561,Quality Inn & Suites Seattle,17.666666666666668,189
100560,Hilton Seattle,19.48854961832061,131
100564,Sixth Avenue Inn,19.408256880733944,218
100574,Travelodge Seattle by the Space Needle,17.23404255319149,94
123037,Georgetown Inn,19.692307692307693,13
578306,Inn at El Gaucho,21.0625,80
100547,Executive Hotel Pacific,18.543130990415335,313
100602,Embassy Suites Seattle - Tacoma International Airport,21.163636363636364,55
217795,Coast Gateway Hotel,19.37878787878788,66
72579,BEST WESTERN Loyal Inn,20.83,100
223219,Holiday Inn Seattle,20.03157894736842,95
100619,Radisson Hotel Seattle Airport,21.251748251748253,143
100570,The Westin Seattle,22.023097826086957,736
123013,University Motel Suites,18.5,8
258824,Mediterranean Inn,20.083783783783783,370
224843,La Quinta Inn & Suites Seattle Sea-Tac,18.0188679245283,53
123003,Homewood Suites Seattle-Downtown,20.253968253968253,126
275251,Red Lion Hotel on Fifth Avenue Seattle,22.026905829596412,223
239892,Homewood Suites Seattle - Tacoma Airport / Tukwila,20.963636363636365,55
112437,Red Lion Hotel Seattle Airport,22.5,118
123039,DoubleTree Suites by Hilton Hotel Seattle Airport - Southcenter,20.8,55
124048,Hotel Five Seattle,19.5,2
1724250,Courtyard Seattle Downtown/Pioneer Square,28.658536585365855,41
100527,Crowne Plaza Seattle Downtown Area,21.12639405204461,269
100540,MarQueen Hotel,20.106060606060606,132
582371,Silver Cloud Hotel Stadium,25.061728395061728,162
100544,Moore Hotel,19.727564102564102,312
100589,Roosevelt Hotel,19.477272727272727,132
268228,Marriott Waterfront Seattle,21.407692307692308,260
123021,Silver Cloud Inn - University,20.302325581395348,43
100509,Ace Hotel,19.234234234234233,111
281658,Silver Cloud Hotel - Broadway,22.51145038167939,131
224856,Residence Inn Seattle Downtown/Lake Union,25.267857142857142,168
217807,La Quinta Inn & Suites Seattle Downtown,19.415841584158414,101
1174533,Homewood Suites Seattle Convention Center Pike Street,28.86,150
252350,Watertown Hotel Seattle,21.57097791798107,317
115755,"Hotel Deca, Seattle",22.421259842519685,254
100567,The Edgewater Hotel Seattle,21.497584541062803,414
72572,BEST WESTERN PLUS Pioneer Square Hotel,24.868852459016395,244
100581,University Inn Seattle,24.884892086330936,139
1755673,Hyatt Place Seattle/Downtown,29.559322033898304,59
112429,The Paramount Hotel,21.137931034482758,116
677260,The Arctic Club Seattle - a DoubleTree by Hilton Hotel,27.69277108433735,166
123022,Silver Cloud Inn - Lake Union,23.302405498281786,291
100585,Hotel Vintage Park - a Kimpton Hotel,23.929328621908127,283
224783,Grand Hyatt Seattle,23.958637469586375,411
1200603,Hyatt At Olive 8,28.909448818897637,254
100562,Sheraton Seattle Hotel,22.812596006144393,651
1152288,Four Seasons Hotel Seattle,29.026086956521738,115
100569,The Sorrento Hotel,22.13953488372093,129
100565,Hotel Andra,23.424242424242426,330
112412,Alexis Hotel - a Kimpton Hotel,25.244648318042813,327
613399,Hotel 1000,27.40173410404624,346
100542,Mayflower Park,24.364779874213838,318
1723585,The Maxwell Hotel Seattle,31.103825136612024,183
1199588,Cedarbrook Lodge,31.76923076923077,338
614244,Pan Pacific Seattle,27.295194508009153,437
100504,Hotel Monaco Seattle - a Kimpton Hotel,25.703896103896103,385
281828,The Fairmont Olympic Seattle,24.51877133105802,293
100507,Inn at the Market,27.22888888888889,450
