Hotel ID,Hotel Name,Total Rating,Overall Customers
123037,Georgetown Inn,27.987179487179485,78
123036,Hampton Inn & Suites Seattle Downtown,25.802768166089965,289
100570,The Westin Seattle,23.887931034482758,1392
115754,SpringHill Suites Seattle Downtown/South Lake Union,23.04982206405694,281
126402,BEST WESTERN Airport Executel,24.146017699115045,452
100554,Renaissance Seattle Hotel,23.5804311774461,603
224865,"The Grove, West Seattle Inn",26.625,40
1101223,Belltown Inn,24.574660633484164,221
100617,Hilton Seattle Airport & Conference Center,24.05449591280654,367
100505,Warwick Seattle Hotel,23.020186335403725,644
100610,Marriott Seattle Sea-Tac Airport,23.714828897338403,263
100587,Hotel Max,23.67989756722151,781
124264,Four Points by Sheraton Downtown Seattle Center,27.4031007751938,129
72586,BEST WESTERN PLUS Executive Inn,23.062730627306273,271
100597,Doubletree by Hilton Seattle Airport,23.717425431711145,637
100586,W Seattle,22.515625,704
216847,Days Inn Seattle North,17.73846153846154,65
124269,Clarion Hotel Seattle Airport,18.189393939393938,132
290883,Panama Hotel,18.692307692307693,39
1648642,Star Motel,17.333333333333332,3
122985,La Hacienda Motel,10.434782608695652,23
100508,Kings Inn,11.353535353535353,99
100584,Seattle Pacific Hotel,10.236641221374045,131
100506,Hotel Seattle,11.318181818181818,88
122994,Everspring Inn,11.666666666666666,15
224835,Days Inn Town Center Hotel Seattle,13.092592592592593,54
100513,Continental Plaza Seattle,12.5,2
606357,Admiral Bed and Breakfast,20.0,3
224833,Commodore Hotel,2.5833333333333335,12
1130160,Baroness Hotel,17.1875,16
253306,Jet Motel,14.588235294117647,17
224860,Travelodge Sea-Tac Airport North,12.80952380952381,84
3291041,Crown Inn,16.0,1
100600,Econo Lodge SeaTac Airport,14.15625,32
557193,Ramada Limited Tukwila/SeaTac,16.824742268041238,97
123032,Marco Polo Motel,19.956521739130434,23
100531,Executive Extended Stay Suites and Hotel,12.727272727272727,11
72598,Comfort Inn & Suites Seattle,19.508196721311474,61
243759,Motel 6 Seattle Sea-Tac Airport South,17.666666666666668,30
2095177,Columbus Motor Inn,12.5,4
112434,Eighth Avenue Inn,11.132075471698114,53
124270,Days Inn South Seattle,18.900990099009903,101
281526,Extended Stay America - Seattle - Northgate,28.09090909090909,11
100547,Executive Hotel Pacific,20.33800350262697,571
100574,Travelodge Seattle by the Space Needle,21.41368078175896,307
1630840,Sunhill Motel,27.5,2
100577,Travelodge Seattle University,21.353846153846153,130
244041,Motel 6 Seattle Airport,20.607142857142858,28
123029,Motel 6 Seattle South,16.916666666666668,12
122998,The College Inn,16.74468085106383,47
123004,Holiday Inn Express Seattle City Center,21.644012944983817,309
100538,Inn at Virginia Mason,20.159420289855074,69
100560,Hilton Seattle,21.422535211267604,284
100564,Sixth Avenue Inn,21.035353535353536,396
100537,Inn at Queen Anne,18.549407114624508,253
217798,Red Roof Inn Seattle Airport - SEATAC,21.843373493975903,249
124044,Hotel Nexus Seattle,21.617283950617285,162
223217,Holiday Inn Express Hotel & Suites North Seattle - Shoreline,22.80952380952381,84
223938,Courtyard by Marriott Seattle Downtown / Lake Union,22.33076923076923,130
100561,Quality Inn & Suites Seattle,19.87278106508876,338
275251,Red Lion Hotel on Fifth Avenue Seattle,24.31285988483685,521
258824,Mediterranean Inn,21.58564437194127,613
72579,BEST WESTERN Loyal Inn,23.522727272727273,220
223219,Holiday Inn Seattle,22.57207207207207,222
217795,Coast Gateway Hotel,23.529411764705884,170
100619,Radisson Hotel Seattle Airport,22.571929824561405,285
100602,Embassy Suites Seattle - Tacoma International Airport,23.75974025974026,154
578306,Inn at El Gaucho,22.661654135338345,133
224843,La Quinta Inn & Suites Seattle Sea-Tac,23.015267175572518,131
123013,University Motel Suites,22.785714285714285,14
123003,Homewood Suites Seattle-Downtown,22.713636363636365,220
100567,The Edgewater Hotel Seattle,23.847368421052632,950
100527,Crowne Plaza Seattle Downtown Area,23.55662188099808,521
124048,Hotel Five Seattle,25.582914572864322,199
112437,Red Lion Hotel Seattle Airport,24.98854961832061,262
100544,Moore Hotel,22.39697542533081,529
268228,Marriott Waterfront Seattle,23.59223300970874,515
582371,Silver Cloud Hotel Stadium,25.602373887240358,337
1724250,Courtyard Seattle Downtown/Pioneer Square,28.016304347826086,184
100589,Roosevelt Hotel,24.694148936170212,376
123039,DoubleTree Suites by Hilton Hotel Seattle Airport - Southcenter,25.451977401129945,177
100540,MarQueen Hotel,23.419243986254294,291
239892,Homewood Suites Seattle - Tacoma Airport / Tukwila,24.695652173913043,115
100562,Sheraton Seattle Hotel,24.433762301286905,1321
123021,Silver Cloud Inn - University,24.525252525252526,99
217807,La Quinta Inn & Suites Seattle Downtown,25.11787072243346,263
100509,Ace Hotel,22.16304347826087,184
281658,Silver Cloud Hotel - Broadway,25.09090909090909,264
115755,"Hotel Deca, Seattle",24.829867674858225,529
224856,Residence Inn Seattle Downtown/Lake Union,25.723472668810288,311
1174533,Homewood Suites Seattle Convention Center Pike Street,27.75824175824176,364
252350,Watertown Hotel Seattle,23.323076923076922,455
112429,The Paramount Hotel,26.733681462140993,383
224783,Grand Hyatt Seattle,25.88785046728972,749
1200603,Hyatt At Olive 8,28.1924882629108,639
100585,Hotel Vintage Park - a Kimpton Hotel,26.182758620689654,580
123022,Silver Cloud Inn - Lake Union,24.882,500
1755673,Hyatt Place Seattle/Downtown,28.507462686567163,268
677260,The Arctic Club Seattle - a DoubleTree by Hilton Hotel,27.90909090909091,440
72572,BEST WESTERN PLUS Pioneer Square Hotel,25.953703703703702,432
100581,University Inn Seattle,25.84100418410042,239
1199588,Cedarbrook Lodge,30.037362637362637,910
613399,Hotel 1000,28.858126721763085,726
1152288,Four Seasons Hotel Seattle,29.47714285714286,350
112412,Alexis Hotel - a Kimpton Hotel,27.8483547925608,699
100569,The Sorrento Hotel,26.85483870967742,372
1723585,The Maxwell Hotel Seattle,29.06910569105691,738
100542,Mayflower Park,27.21957340025094,797
100565,Hotel Andra,26.985528219971055,691
614244,Pan Pacific Seattle,28.02963917525773,776
100504,Hotel Monaco Seattle - a Kimpton Hotel,27.42083897158322,739
281828,The Fairmont Olympic Seattle,27.14709677419355,775
100507,Inn at the Market,29.025738798856054,1049
