Hotel ID,Hotel Name,Total Rating,Overall Customers
224757,Red Roof Inn Phoenix West,21.0,1
244405,Motel 6 Phoenix West,13.0,2
119366,Budget Suites of America,9.5,2
119335,Extended Stay America - Phoenix - Airport - E. Oak St.,15.0,1
223039,Extended Stay America - Phoenix - Chandler - E. Chandler Blvd.,2.5,2
74652,Extended Stay America - Phoenix - Midtown,18.0,1
73869,Motel 6 Phoenix - Black Canyon,3.0,2
248145,Sierra Grande Suites,3.0,1
73743,A Victory Inn & Suites Phoenix North,4.833333333333333,6
74724,Travel Inn,1.0,2
73727,Grace Inn Phoenix,13.777777777777779,9
74561,Sterling International Hotels,3.0,5
75662,Holiday Inn Express Phoenix Airport (University Drive),9.75,4
73712,Super 8 Phoenix,18.25,4
73768,Days Inn I-17 & Thomas,11.5,6
74687,Ramada Inn Phoenix Downtown,3.5,4
217199,Homestead Phoenix Metro,6.0,3
1160848,Holiday Inn Phoenix-Midtown,8.0,6
224749,Oakwood At Paradise Lakes,14.0,2
119337,Super 7 Motel,1.0,1
73782,Comfort Suites Conference Center,5.5,4
239801,Studio 6 Phoenix - Deer Valley,8.5,2
119314,Mainstay Suites Metro Center,16.75,4
74657,Extended Stay America - Phoenix - Metro Center,4.75,4
243927,Motel 6 Phoenix Airport,13.0,1
74720,Days Inn Phoenix,9.5,2
74805,Fairfield Inn Phoenix North,3.0,2
73910,Travel Inn Airport,5.0,2
73937,Residence Inn Phoenix,7.666666666666667,3
73773,Americas Best Value Inn Phoenix/I-10 West,5.0,1
74744,Super 8 Motel - Phoenix West I-10,2.0,1
73718,Lexington Hotel Central Phoenix,9.0,12
73859,La Quinta Inn Phoenix Thomas Road,2.0,1
73825,Holiday Inn Phoenix-West,25.0,1
223861,SpringHill Suites Phoenix Downtown,16.5,4
74752,Phoenix Metro North Super 8 Motel,1.5,2
218100,InnPlace Hotel Phoenix North,7.352941176470588,17
73792,Embassy Suites Phoenix Airport at 24th Street,9.733333333333333,15
112162,Hotel San Carlos,7.291666666666667,24
224250,Embassy Suites Phoenix-Scottsdale,11.96,25
239947,TownePlace Suites Phoenix Metrocenter Mall,17.0,2
262398,SpringHill Suites Phoenix North,16.5,2
74758,La Quinta Inn Phoenix - Arcadia,10.666666666666666,6
119330,Arizona Royal Villa Resort,15.25,4
73950,Sleep Inn Airport,16.75,12
239800,Hilton Garden Inn Phoenix,9.7,10
271801,Crowne Plaza Phoenix,15.181818181818182,11
543136,Clarion Hotel Phoenix Tech Center,11.5,2
73799,Embassy Suites Hotel Phoenix-North,8.8,10
240681,Econo Lodge Airport,11.4,5
223036,Comfort Inn Phoenix West,20.0,1
73751,Courtyard by Marriott Phoenix North,5.5,2
119355,Coast Phoenix Sky Harbor Hotel,14.285714285714286,7
74583,Fairfield Inn Phoenix Airport,20.0,2
74669,Sleep Inn North,15.75,4
73821,Hilton Phoenix Airport,13.833333333333334,6
74590,Courtyard by Marriott Phoenix Airport,14.0,2
74826,Courtyard by Marriott Phoenix Camelback,9.666666666666666,3
73706,BEST WESTERN Airport Inn,1.5,2
73805,BEST WESTERN Phoenix I-17 MetroCenter Inn,7.333333333333333,3
73862,La Quinta Inn Phoenix North,5.0,2
74548,Marriott Phoenix Airport,10.333333333333334,3
73810,Hampton Inn Phoenix Midtown (Downtown Area),3.0,1
119351,Homewood Suites by Hilton Phoenix - Biltmore,3.0,3
74545,Residence Inn Phoenix Airport,14.0,2
73739,BEST WESTERN PLUS InnSuites Phoenix Hotel & Suites,13.833333333333334,6
74834,Comfort Suites Phoenix / MetroCenter,6.5,2
224733,Candlewood Suites Phoenix,5.0,3
223273,Holiday Inn Express Phoenix Downtown,23.0,2
73943,Royal Palms Resort and Spa,12.225806451612904,31
119356,Hampton Inn Phoenix Airport North,12.0,3
73855,Hyatt Regency Phoenix,12.35,20
119353,Homewood Suites by Hilton Phoenix-Metro Center,9.333333333333334,3
240682,Fairfield Inn & Suites - Phoenix,15.0,3
313465,Super 8 Phoenix Downtown,4.333333333333333,3
115483,Hampton Inn & Suites Phoenix Airport South,11.333333333333334,6
74845,Comfort Inn West,7.75,4
115482,DoubleTree Suites by Hilton Phoenix,8.571428571428571,14
74927,La Quinta Inn & Suites Phoenix Chandler,5.0,1
119363,Country Inn & Suites Deer Valley,5.0,1
73957,Pointe Hilton Squaw Peak Resort,11.12,100
112154,Embassy Suites Hotel Phoenix Biltmore,12.333333333333334,9
223035,Hilton Garden Inn Phoenix Airport,11.25,4
112179,The Ritz-Carlton Phoenix,9.5,12
74626,Legacy Golf Resort,16.033333333333335,30
286542,Marriott's Canyon Villas,16.0,9
225578,Hampton Inn Phoenix/Anthem,5.0,1
564652,Radisson Hotel Phoenix Airport,17.875,8
73947,Sheraton Crescent Hotel,4.8,5
277997,Pointe Hilton Tapatio Cliffs Resort,9.769911504424778,113
223860,JW Marriott Desert Ridge Resort & Spa Phoenix,11.546296296296296,108
115484,Arizona Biltmore,9.11111111111111,45
