Hotel ID,Hotel Name,Total Rating,Overall Customers
73943,Royal Palms Resort and Spa,23.092307692307692,195
224757,Red Roof Inn Phoenix West,20.727272727272727,11
642935,LaQuinta Inn,14.5,2
74805,Fairfield Inn Phoenix North,17.53846153846154,13
244405,Motel 6 Phoenix West,10.0,6
73977,Budget Lodge of Phoenix,10.5,12
565626,Traveler's Inn,14.333333333333334,6
119366,Budget Suites of America,11.285714285714286,7
73869,Motel 6 Phoenix - Black Canyon,6.0,6
118790,Quality Inn & Suites Downtown,25.0,2
75662,Holiday Inn Express Phoenix Airport (University Drive),22.551724137931036,58
119335,Extended Stay America - Phoenix - Airport - E. Oak St.,20.142857142857142,7
74652,Extended Stay America - Phoenix - Midtown,19.333333333333332,9
73727,Grace Inn Phoenix,15.6,35
223039,Extended Stay America - Phoenix - Chandler - E. Chandler Blvd.,8.0,3
73743,A Victory Inn & Suites Phoenix North,13.909090909090908,22
1176612,Comfort Inn Phoenix,20.565217391304348,23
1036415,Premier Inns,13.5,4
248145,Sierra Grande Suites,11.5,2
74724,Travel Inn,6.375,8
74561,Sterling International Hotels,5.294117647058823,17
73712,Super 8 Phoenix,19.5,20
73768,Days Inn I-17 & Thomas,10.0,21
73760,Days Inn Camelback Phoenix and Conference Center,20.444444444444443,9
118794,Las Palmas Inn,6.0,1
74732,Knights Inn Fairground-Phoenix,13.2,5
74687,Ramada Inn Phoenix Downtown,5.285714285714286,7
217199,Homestead Phoenix Metro,13.88888888888889,9
73882,Motel 6 Phoenix North - Bell Road,7.428571428571429,7
1164638,Phoenix Sunrise Motel,23.0,1
1160848,Holiday Inn Phoenix-Midtown,8.0,6
248361,Palm Shadows,8.0,1
224749,Oakwood At Paradise Lakes,14.0,2
119337,Super 7 Motel,1.0,1
118793,Log Cabin Motel,1.0,1
73782,Comfort Suites Conference Center,5.5,4
119314,Mainstay Suites Metro Center,15.75,8
73884,Motel 6 Phoenix - Northern Avenue,10.0,1
74739,Travelodge Phoenix (50th Ave.),5.5,2
239801,Studio 6 Phoenix - Deer Valley,14.333333333333334,9
74410,Budget Inn,9.666666666666666,6
243927,Motel 6 Phoenix Airport,13.153846153846153,13
74720,Days Inn Phoenix,13.625,8
74657,Extended Stay America - Phoenix - Metro Center,8.142857142857142,7
112175,Extended Stay America - Phoenix - Biltmore,17.0,12
73718,Lexington Hotel Central Phoenix,15.431818181818182,44
73982,Days Inn Phoenix Airport,16.0,3
73937,Residence Inn Phoenix,16.166666666666668,12
73910,Travel Inn Airport,5.25,4
74936,Extended Stay America - Phoenix - Chandler,17.6,5
74816,Crossland Economy Studios - Phoenix - West,18.666666666666668,6
73773,Americas Best Value Inn Phoenix/I-10 West,6.0,5
119327,Extended Stay America - Phoenix - Deer Valley,13.666666666666666,6
74744,Super 8 Motel - Phoenix West I-10,16.25,4
248358,Anchorage Point,15.5,2
73825,Holiday Inn Phoenix-West,14.3125,16
73859,La Quinta Inn Phoenix Thomas Road,14.88888888888889,9
223861,SpringHill Suites Phoenix Downtown,22.451612903225808,31
218100,InnPlace Hotel Phoenix North,14.96923076923077,65
74752,Phoenix Metro North Super 8 Motel,16.27777777777778,18
73840,Holiday Inn Phoenix Downtown North,13.222222222222221,27
112162,Hotel San Carlos,12.597222222222221,72
73792,Embassy Suites Phoenix Airport at 24th Street,15.275,40
224250,Embassy Suites Phoenix-Scottsdale,18.070422535211268,71
73905,Phoenix Place Hotel & Suites,18.2,20
73889,Days Inn Phoenix Metro Center,17.571428571428573,7
73896,Hilton Suites Phoenix,23.65,20
262398,SpringHill Suites Phoenix North,21.26086956521739,23
239947,TownePlace Suites Phoenix Metrocenter Mall,19.2,10
74758,La Quinta Inn Phoenix - Arcadia,14.966666666666667,30
119330,Arizona Royal Villa Resort,21.375,24
118775,Red Roof Phoenix North - Bell Road,20.1,10
239800,Hilton Garden Inn Phoenix,19.17948717948718,39
73950,Sleep Inn Airport,18.358974358974358,39
271801,Crowne Plaza Phoenix,18.666666666666668,39
73799,Embassy Suites Hotel Phoenix-North,16.26923076923077,52
543136,Clarion Hotel Phoenix Tech Center,19.083333333333332,12
119355,Coast Phoenix Sky Harbor Hotel,18.10144927536232,69
240681,Econo Lodge Airport,12.238095238095237,21
223036,Comfort Inn Phoenix West,22.166666666666668,12
74583,Fairfield Inn Phoenix Airport,24.161290322580644,31
266322,The Clarendon Hotel - Phoenix's Urban Retreat,20.995305164319248,213
73751,Courtyard by Marriott Phoenix North,14.5,8
73821,Hilton Phoenix Airport,20.0,70
74669,Sleep Inn North,18.0,9
73706,BEST WESTERN Airport Inn,16.7,30
74590,Courtyard by Marriott Phoenix Airport,23.384615384615383,13
74826,Courtyard by Marriott Phoenix Camelback,20.285714285714285,14
73805,BEST WESTERN Phoenix I-17 MetroCenter Inn,16.625,24
74548,Marriott Phoenix Airport,18.90625,32
73862,La Quinta Inn Phoenix North,16.615384615384617,13
