Hotel ID,Hotel Name,Total Rating,Overall Customers
73943,Royal Palms Resort and Spa,24.458677685950413,242
224757,Red Roof Inn Phoenix West,21.8125,16
642935,LaQuinta Inn,16.0,3
74805,Fairfield Inn Phoenix North,17.53846153846154,13
244405,Motel 6 Phoenix West,14.75,8
74652,Extended Stay America - Phoenix - Midtown,20.076923076923077,13
73977,Budget Lodge of Phoenix,11.461538461538462,13
565626,Traveler's Inn,13.285714285714286,7
118790,Quality Inn & Suites Downtown,21.0,6
119366,Budget Suites of America,11.375,8
73869,Motel 6 Phoenix - Black Canyon,12.777777777777779,9
1036415,Premier Inns,17.6,5
119335,Extended Stay America - Phoenix - Airport - E. Oak St.,21.25,8
75662,Holiday Inn Express Phoenix Airport (University Drive),23.28395061728395,81
73727,Grace Inn Phoenix,15.368421052631579,38
223039,Extended Stay America - Phoenix - Chandler - E. Chandler Blvd.,13.8,5
73743,A Victory Inn & Suites Phoenix North,14.0,27
1176612,Comfort Inn Phoenix,20.129032258064516,31
248145,Sierra Grande Suites,11.5,2
73712,Super 8 Phoenix,18.2,25
74724,Travel Inn,8.3,10
74561,Sterling International Hotels,5.611111111111111,18
73760,Days Inn Camelback Phoenix and Conference Center,19.944444444444443,18
73768,Days Inn I-17 & Thomas,10.0,21
118794,Las Palmas Inn,6.0,1
74732,Knights Inn Fairground-Phoenix,14.5,6
74687,Ramada Inn Phoenix Downtown,5.285714285714286,7
217199,Homestead Phoenix Metro,13.538461538461538,13
73882,Motel 6 Phoenix North - Bell Road,7.875,8
1164638,Phoenix Sunrise Motel,28.25,4
1160848,Holiday Inn Phoenix-Midtown,8.714285714285714,7
248361,Palm Shadows,8.0,1
224749,Oakwood At Paradise Lakes,14.0,2
119337,Super 7 Motel,1.0,1
118793,Log Cabin Motel,1.0,1
73782,Comfort Suites Conference Center,5.5,4
119314,Mainstay Suites Metro Center,17.88888888888889,9
73884,Motel 6 Phoenix - Northern Avenue,18.5,2
112175,Extended Stay America - Phoenix - Biltmore,17.75,20
74739,Travelodge Phoenix (50th Ave.),16.5,4
239801,Studio 6 Phoenix - Deer Valley,15.846153846153847,13
243927,Motel 6 Phoenix Airport,13.058823529411764,17
74410,Budget Inn,13.555555555555555,9
74720,Days Inn Phoenix,18.09090909090909,11
73982,Days Inn Phoenix Airport,12.461538461538462,13
73718,Lexington Hotel Central Phoenix,16.581818181818182,55
74657,Extended Stay America - Phoenix - Metro Center,10.75,8
1160841,The Hotel Waterfront Ivy,35.0,1
73937,Residence Inn Phoenix,18.333333333333332,15
73910,Travel Inn Airport,5.25,4
74936,Extended Stay America - Phoenix - Chandler,17.6,5
74816,Crossland Economy Studios - Phoenix - West,20.875,8
73773,Americas Best Value Inn Phoenix/I-10 West,8.571428571428571,7
