Hotel ID,Hotel Name,Total Rating,Overall Customers
504815,Rodeway Inn Hollywood,3.0,1
248069,Bevonshire Lodge Motel,2.5,2
119414,L.A. Sky Boutique Hotel,3.0,1
119464,La Mirage Inn,3.0,1
82578,Beverly Laurel Motor Hotel,5.0,1
223013,Beverly Hills Plaza Hotel,1.0,1
77866,Millennium Biltmore Hotel Los Angeles,5.0,1
77243,BEST WESTERN PLUS Hollywood Hills Hotel,1.5,2
77944,Renaissance Los Angeles Airport Hotel,5.0,1
77274,Hollywood Roosevelt Hotel - A Thompson Hotel,1.0,1
77700,W Los Angeles - Westwood,3.5,2
76442,Hyatt Regency Century Plaza,4.0,1
77827,Luxe Sunset Boulevard Hotel,5.0,1
78046,Sheraton Gateway Los Angeles,5.0,1
78694,Hilton Los Angeles / Universal City,5.0,1
77804,Omni Los Angeles at California Plaza,1.0,1
80126,Golden West,1.0,1
79913,BEST WESTERN PLUS Hacienda Hotel Old Town,5.0,1
112280,Surfer Beach Hotel,5.0,1
119735,Good Nite Inn Sea World,2.0,2
82443,Kona Kai Resort,2.0,1
650054,Porto Vista Hotel,4.0,1
83500,Pacific Shores Inn,1.0,2
80223,Kings Inn Hotel,3.0,1
80266,Inn at the Park,1.0,2
80582,The Horton Grand Hotel and Suites,1.0,1
79971,Catamaran Resort Hotel,5.0,4
112258,Gaslamp Plaza Suites,4.0,1
83361,Bahia Resort Hotel,5.0,5
223973,Courtyard San Diego Central,3.0,1
80602,Town and Country Resort Hotel,4.0,1
79907,BEST WESTERN PLUS Blue Sea Lodge,2.0,2
119730,Humphreys Half Moon Inn & Suites,5.0,1
119728,Paradise Point Resort & Spa,2.0,1
112253,Crystal Pier Hotel & Cottages,5.0,1
112273,Pacific Terrace Hotel,5.0,1
82357,Silicon Valley Hotel San Jose Airport,5.0,1
119667,Arena Hotel,4.0,2
82156,Holiday Inn San Jose-Airport,2.0,1
82116,Marina Motel,5.0,1
112360,The Queen Anne Hotel,1.0,1
80817,Vantaggio Suites Cosmo,3.0,1
82105,Ramada Limited - San Francisco,1.0,1
112304,Hotel Milano,5.0,1
80788,Monarch Hotel,5.0,1
81114,"Laurel Inn, a Joie de Vivre hotel",5.0,1
80774,The Stratford,4.0,1
112289,Beck's Motor Lodge,4.0,1
81035,Holiday Inn Civic Center (San Francisco),1.0,1
81367,Seal Rock Inn,1.0,1
81237,Hilton San Francisco Fisherman's Wharf,3.0,1
112328,CLIFT San Francisco,1.0,1
112338,Hotel Boheme,4.0,1
81531,Executive Hotel Vintage Court,5.0,1
119643,"Hotel Del Sol, a Joie de Vivre hotel",5.0,1
112303,Hotel Diva,2.0,1
119657,Columbus Motor Inn,4.0,1
81165,Hotel Abri,4.0,1
81375,Sheraton Fisherman's Wharf Hotel,2.0,1
112293,Cow Hollow Motor Inn and Suites,5.0,1
81514,Hotel Triton - a Kimpton Hotel,5.0,1
80780,BEST WESTERN PLUS Tuscan Inn at Fisherman's Wharf,4.0,2
80747,Renaissance San Francisco Stanford Court Hotel,5.0,1
81222,Radisson Hotel Fisherman's Wharf,5.0,1
81444,JW Marriott San Francisco Union Square,5.0,1
81019,Handlery Union Square Hotel,5.0,1
80797,Hotel Palomar San Francisco - a Kimpton Hotel,5.0,1
82190,Hilton San Jose,4.0,1
81394,The Donatello Hotel,5.0,1
115644,Chancellor Hotel on Union Square,1.0,1
