Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,10.0,16
223054,Super 8 Motel Los Angeles Downtown,13.0,1
504815,Rodeway Inn Hollywood,6.0,3
576828,Valley Inn & Conference Center,6.333333333333333,6
240156,Motel 6 Los Angeles - Van Nuys/Sepulveda,3.0,1
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,4.0,1
223050,Rotex Hotel And Condo,1.0,1
119492,Beverly Inn,11.0,2
81120,BEST WESTERN Los Angeles Worldport Hotel,12.5,2
84320,Hotel Solaire Los Angeles,2.142857142857143,7
235456,Good Nite Inn Sylmar,4.875,8
223044,Vagabond Inn Executive,6.0,4
84442,Travelodge Chatsworth,4.5,2
82496,The Voyager Motor Inn,4.5,2
77761,Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,15.0,1
82498,Motel 6 Van Nuys,2.3333333333333335,3
76446,Century Wilshire,6.923076923076923,13
78679,BEST WESTERN PLUS Mikado Hotel,1.5,2
84513,Quality Inn & Suites by Convention Center,4.0,1
271601,Del Mar Hotel,3.0,1
271606,Islander Motel,3.0,1
217240,Nite Inn at Universal City,3.0,1
81285,Sunrise Hotel San Pedro,9.0,7
248069,Bevonshire Lodge Motel,5.571428571428571,7
235134,Super 8 Hollywood,2.0,4
113229,Highland Gardens Hotel,6.75,12
119434,The Claremont Hotel,11.0,3
77859,Stillwell Hotel,1.5,4
634746,Travelodge Sylmar/Magic Mountain Area,2.0,1
84529,Rodeway Inn Los Angeles,3.0,9
77260,Rodeway Inn,6.0,5
226148,Studio 6 Van Nuys,9.0,1
225809,Best Inn Hollywood,10.25,4
77809,Kawada Hotel,4.333333333333333,9
119422,Liberty Hotel,4.0,1
77729,BEST WESTERN PLUS Dragon Gate Inn,8.647058823529411,17
84434,Radisson Hotel Chatsworth,9.0,8
275366,Super 8 North Hollywood,7.25,4
235430,BLVD Hotel & Suites,7.296296296296297,27
276208,Cecil Hotel,1.4285714285714286,7
119414,L.A. Sky Boutique Hotel,4.25,4
77753,The Historic Mayfair Hotel,7.411764705882353,17
119464,La Mirage Inn,3.0,1
77844,Radisson Midtown at USC,1.0,1
249692,Ritz Milner Hotel,2.0,3
84517,Holiday Inn Express Century City,3.75,4
84515,Quality Inn Hollywood,13.588235294117647,17
235133,Super 8 Los Angeles / Alhambra,11.5,2
239812,The Dixie Hollywood,2.909090909090909,11
82684,Comfort Inn Near Warner Center,1.0,1
77852,The Wilshire Hotel Los Angeles,7.545454545454546,11
82633,Azul Inn,4.0,2
76460,Staybridge Suites Chatsworth,3.0,2
84553,Comfort Inn Near Universal Studios Hollywood,5.7,10
268977,Hollywood Downtowner Inn,6.153846153846154,13
82494,Holiday Inn Express Van Nuys,4.0,2
119454,Saharan Motor Hotel,23.0,1
240151,Motel 6 Los Angeles - Hollywood,2.0,6
77829,Metro Plaza Hotel,8.0,4
84286,Holiday Inn Express - Los Angeles Downtown West,1.0,1
223051,Super 8 Los Angeles Airport/LAX,6.2,5
84437,Ramada Limited Canoga Park/Warner Center,9.666666666666666,3
77870,Vagabond Inn Los Angeles-USC,13.0,2
82689,Warner Center Marriott Woodland Hills,7.625,8
77247,BEST WESTERN Hollywood Plaza Inn,4.0,13
502971,Hollywood City Inn,8.0,4
77282,Travelodge Hollywood-Vermont/Sunset,7.666666666666667,3
76325,BEST WESTERN Canoga Park Motor Inn,14.0,1
223042,Rodeway Inn Convention Center,1.0,1
84428,Studio City Court Yard Hotel,16.2,5
113221,The LA Hotel Downtown,9.88888888888889,9
82578,Beverly Laurel Motor Hotel,6.666666666666667,18
78688,Sportsmen's Lodge Hotel,8.833333333333334,12
223049,Radisson Hotel at Los Angeles Airport,10.490196078431373,51
77923,Holiday Inn Los Angeles International Airport,6.636363636363637,22
119388,Cadillac Hotel,7.787878787878788,33
84555,BEST WESTERN PLUS Carlyle Inn,7.636363636363637,11
240875,Clarion Inn,8.466666666666667,15
82491,Airtel Plaza Hotel and Conference Center,6.1,10
81768,Vagabond Inn San Pedro,6.25,4
119483,Courtyard Los Angeles Century City / Beverly Hills,10.857142857142858,7
77888,Hilton Checkers Hotel - Los Angeles,7.379310344827586,29
77708,BEST WESTERN PLUS Royal Palace Inn & Suites,4.1,10
77237,Hollywood Hotel,7.0,40
223046,Miyako Hotel Los Angeles,6.2631578947368425,19
82656,Hilgard House Hotel,10.2,5
77866,Millennium Biltmore Hotel Los Angeles,7.392156862745098,51
77970,Travelodge Hotel at LAX,8.058823529411764,17
82636,Royal Palace Westwood,3.0,2
223013,Beverly Hills Plaza Hotel,5.818181818181818,11
