Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,16.517241379310345,58
82682,Courtyard by Marriott Los Angeles Woodland Hills,21.61111111111111,18
76790,BEST WESTERN PLUS Eagle Rock Inn,21.25,8
83988,Sea Rock Inn,16.666666666666668,6
504815,Rodeway Inn Hollywood,12.1,20
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,18.907692307692308,65
223054,Super 8 Motel Los Angeles Downtown,12.333333333333334,9
577590,Vibe Hotel,16.405405405405407,37
84513,Quality Inn & Suites by Convention Center,11.764705882352942,17
611195,East West Suites,15.5,2
549431,Americas Best Value Inn - Hollywood / Los Angeles,16.952380952380953,21
113229,Highland Gardens Hotel,12.788732394366198,71
576828,Valley Inn & Conference Center,13.026315789473685,38
313508,Motel 6 Canoga Park,13.5,4
256799,Colony Inn North Hollywood,12.333333333333334,6
240156,Motel 6 Los Angeles - Van Nuys/Sepulveda,10.666666666666666,3
939204,JJ Grand Hotel,15.0,2
223050,Rotex Hotel And Condo,1.0,1
84499,Hollywood Stars Inn,14.7,10
235456,Good Nite Inn Sylmar,13.142857142857142,42
282463,Americas Best Value Inn,11.0,1
84320,Hotel Solaire Los Angeles,11.15625,32
223044,Vagabond Inn Executive,9.606060606060606,33
570050,Sunset Inn & Suites,13.0,15
119492,Beverly Inn,10.833333333333334,12
81120,BEST WESTERN Los Angeles Worldport Hotel,12.3,10
559383,Hollywood Inn Express North,7.695652173913044,23
84442,Travelodge Chatsworth,7.0,4
535826,Paradise Lodge Hotel,12.0,1
82305,Goldstar Inn,14.5,2
82496,The Voyager Motor Inn,5.833333333333333,6
119399,Hollywood Cityview Inn & Suites,15.333333333333334,3
575416,Marina Seven Motel,10.8,5
77761,Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,10.0,3
613619,Paradise Inn & Suites,9.5,4
217256,El Patio Inn,8.75,4
1186068,Budget Inn Hollywood,10.0,2
266004,Pacific Inn and Suites,14.333333333333334,6
76446,Century Wilshire,7.0,23
82498,Motel 6 Van Nuys,6.2,5
549441,Hollywood Inn Express South,11.166666666666666,36
271581,St. George Motor Inn,21.0,3
78679,BEST WESTERN PLUS Mikado Hotel,7.5,4
281769,Hollywood Studio Inn & Suites,11.5,4
81285,Sunrise Hotel San Pedro,11.96875,32
217240,Nite Inn at Universal City,6.375,8
271479,Hometown Inn,13.8,5
817023,777 Motor Inn,14.666666666666666,3
271607,Monterey Inn,5.0,2
235134,Super 8 Hollywood,9.666666666666666,33
1225375,Ramada Los Angeles Convention Center,21.555555555555557,18
271601,Del Mar Hotel,3.0,1
291209,Los Feliz Motel,7.0,1
271606,Islander Motel,4.0,2
119390,Stars Inn,16.875,8
271481,Travel Inn,19.0,1
248069,Bevonshire Lodge Motel,12.68,25
84365,Rodeway Inn Culver City,19.0,13
77717,Dunes Inn - Wilshire,14.25,4
77809,Kawada Hotel,11.529411764705882,51
634746,Travelodge Sylmar/Magic Mountain Area,10.2,10
77262,Hollywood Premiere Motel,1.0,1
119434,The Claremont Hotel,12.23076923076923,13
82304,Motel 6 Los Angeles Sylmar,15.25,4
77260,Rodeway Inn,13.88888888888889,27
77859,Stillwell Hotel,7.357142857142857,14
84529,Rodeway Inn Los Angeles,10.090909090909092,22
235430,BLVD Hotel & Suites,9.53125,64
613137,Royal Pagoda Motel,17.35,20
225809,Best Inn Hollywood,15.333333333333334,18
84480,Ramada Wilshire Center,13.578947368421053,38
77729,BEST WESTERN PLUS Dragon Gate Inn,13.452830188679245,53
226148,Studio 6 Van Nuys,11.333333333333334,6
84483,Oxford Palace Hotel,18.25,4
119422,Liberty Hotel,17.0,16
553344,Americas Best Value Inn - Los Angeles / Hollywood,17.375,8
84434,Radisson Hotel Chatsworth,17.533333333333335,30
276208,Cecil Hotel,10.196078431372548,51
119414,L.A. Sky Boutique Hotel,15.92,25
275366,Super 8 North Hollywood,14.545454545454545,11
77753,The Historic Mayfair Hotel,10.901408450704226,71
249692,Ritz Milner Hotel,14.024390243902438,41
84515,Quality Inn Hollywood,15.138461538461538,65
77844,Radisson Midtown at USC,11.5,22
119464,La Mirage Inn,14.0,7
1007413,Knights Inn Woodland Hills,16.0,1
553345,Americas Best Value Inn & Suites Granada Hills,6.0,1
239812,The Dixie Hollywood,12.64,50
84517,Holiday Inn Express Century City,14.105263157894736,19
235133,Super 8 Los Angeles / Alhambra,17.0,10
77852,The Wilshire Hotel Los Angeles,13.24,75
268977,Hollywood Downtowner Inn,14.445945945945946,74
82684,Comfort Inn Near Warner Center,8.125,8
632541,Comfort Inn and Suites near Universal Studios,21.53846153846154,13
82633,Azul Inn,8.8125,16
84553,Comfort Inn Near Universal Studios Hollywood,14.131578947368421,38
76460,Staybridge Suites Chatsworth,8.666666666666666,9
82494,Holiday Inn Express Van Nuys,18.0625,16
119454,Saharan Motor Hotel,17.483870967741936,31
240151,Motel 6 Los Angeles - Hollywood,16.142857142857142,49
77829,Metro Plaza Hotel,15.947368421052632,57
84286,Holiday Inn Express - Los Angeles Downtown West,13.0,6
223051,Super 8 Los Angeles Airport/LAX,12.96875,32
84437,Ramada Limited Canoga Park/Warner Center,15.066666666666666,15
77870,Vagabond Inn Los Angeles-USC,15.55,20
223049,Radisson Hotel at Los Angeles Airport,14.440677966101696,236
113221,The LA Hotel Downtown,17.883116883116884,77
82689,Warner Center Marriott Woodland Hills,13.692307692307692,26
77247,BEST WESTERN Hollywood Plaza Inn,13.96103896103896,77
81761,DoubleTree by Hilton Hotel San Pedro,20.0,29
77282,Travelodge Hollywood-Vermont/Sunset,17.70212765957447,47
502971,Hollywood City Inn,15.44578313253012,83
78688,Sportsmen's Lodge Hotel,15.591549295774648,71
76325,BEST WESTERN Canoga Park Motor Inn,19.5,8
223042,Rodeway Inn Convention Center,18.238095238095237,21
84428,Studio City Court Yard Hotel,12.73913043478261,23
77923,Holiday Inn Los Angeles International Airport,13.686868686868687,99
82578,Beverly Laurel Motor Hotel,13.169811320754716,53
77798,Sheraton Los Angeles Downtown Hotel,17.253521126760564,71
77277,Comfort Inn Near Hollywood Walk of Fame,20.958333333333332,24
650376,O Hotel,18.333333333333332,24
81768,Vagabond Inn San Pedro,18.11111111111111,63
119388,Cadillac Hotel,12.403846153846153,104
77714,DoubleTree by Hilton Hotel Los Angeles Downtown,18.484848484848484,66
84555,BEST WESTERN PLUS Carlyle Inn,14.81081081081081,37
240875,Clarion Inn,16.054545454545455,55
82491,Airtel Plaza Hotel and Conference Center,15.285714285714286,49
77866,Millennium Biltmore Hotel Los Angeles,15.141818181818183,275
77237,Hollywood Hotel,12.253275109170305,229
76793,Comfort Inn Near Old Town Pasadena - Eagle Rock,15.333333333333334,6
119483,Courtyard Los Angeles Century City / Beverly Hills,16.21875,32
77888,Hilton Checkers Hotel - Los Angeles,14.8125,80
77708,BEST WESTERN PLUS Royal Palace Inn & Suites,12.476190476190476,42
630945,Park Plaza Lodge Hotel,15.642857142857142,14
223046,Miyako Hotel Los Angeles,13.153846153846153,91
82148,BEST WESTERN PLUS Carriage Inn,13.275862068965518,29
249696,The Standard Downtown LA,12.06081081081081,148
77970,Travelodge Hotel at LAX,12.808988764044944,178
82656,Hilgard House Hotel,17.63157894736842,19
82679,BEST WESTERN Woodland Hills Inn,17.736842105263158,19
77232,Dunes Inn - Sunset,12.75,4
223013,Beverly Hills Plaza Hotel,12.820512820512821,39
82636,Royal Palace Westwood,16.47826086956522,23
272703,Hollywood Hills Hotel,19.534246575342465,73
82318,Tarzana Inn,17.22222222222222,9
133994,Coral Sands Motel,12.6,15
