Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,16.71186440677966,59
82682,Courtyard by Marriott Los Angeles Woodland Hills,22.0,19
76790,BEST WESTERN PLUS Eagle Rock Inn,21.25,8
83988,Sea Rock Inn,16.25,8
504815,Rodeway Inn Hollywood,12.681818181818182,22
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,18.985507246376812,69
223054,Super 8 Motel Los Angeles Downtown,14.0,11
577590,Vibe Hotel,15.820512820512821,39
84513,Quality Inn & Suites by Convention Center,11.764705882352942,17
611195,East West Suites,15.5,2
549431,Americas Best Value Inn - Hollywood / Los Angeles,16.318181818181817,22
113229,Highland Gardens Hotel,12.788732394366198,71
78679,BEST WESTERN PLUS Mikado Hotel,12.166666666666666,6
576828,Valley Inn & Conference Center,13.282051282051283,39
313508,Motel 6 Canoga Park,13.5,4
256799,Colony Inn North Hollywood,12.333333333333334,6
939204,JJ Grand Hotel,16.333333333333332,3
240156,Motel 6 Los Angeles - Van Nuys/Sepulveda,10.666666666666666,3
223050,Rotex Hotel And Condo,1.0,1
84499,Hollywood Stars Inn,12.916666666666666,12
235456,Good Nite Inn Sylmar,13.25531914893617,47
84320,Hotel Solaire Los Angeles,11.277777777777779,36
282463,Americas Best Value Inn,9.5,2
223044,Vagabond Inn Executive,10.205882352941176,34
570050,Sunset Inn & Suites,12.470588235294118,17
119492,Beverly Inn,10.538461538461538,13
81120,BEST WESTERN Los Angeles Worldport Hotel,13.272727272727273,11
559383,Hollywood Inn Express North,7.72,25
84442,Travelodge Chatsworth,7.0,4
535826,Paradise Lodge Hotel,12.0,1
82305,Goldstar Inn,14.5,2
82496,The Voyager Motor Inn,5.833333333333333,6
119399,Hollywood Cityview Inn & Suites,16.0,4
575416,Marina Seven Motel,13.333333333333334,6
77761,Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,10.0,3
613619,Paradise Inn & Suites,9.5,4
217256,El Patio Inn,12.2,5
1186068,Budget Inn Hollywood,8.666666666666666,3
266004,Pacific Inn and Suites,14.333333333333334,6
76446,Century Wilshire,7.0,23
1223148,Starlight Inn,9.0,1
82498,Motel 6 Van Nuys,6.2,5
549441,Hollywood Inn Express South,11.81578947368421,38
281769,Hollywood Studio Inn & Suites,14.142857142857142,7
271581,St. George Motor Inn,21.0,3
81285,Sunrise Hotel San Pedro,12.833333333333334,36
217240,Nite Inn at Universal City,6.375,8
271479,Hometown Inn,13.8,5
817023,777 Motor Inn,14.666666666666666,3
271607,Monterey Inn,5.0,2
235134,Super 8 Hollywood,9.794117647058824,34
1225375,Ramada Los Angeles Convention Center,21.565217391304348,23
271601,Del Mar Hotel,3.0,1
291209,Los Feliz Motel,7.0,1
271606,Islander Motel,4.0,2
119390,Stars Inn,16.875,8
271481,Travel Inn,19.0,1
248069,Bevonshire Lodge Motel,12.68,25
84365,Rodeway Inn Culver City,19.0,13
77717,Dunes Inn - Wilshire,14.25,4
634746,Travelodge Sylmar/Magic Mountain Area,9.818181818181818,11
77809,Kawada Hotel,12.142857142857142,56
77262,Hollywood Premiere Motel,1.0,1
82304,Motel 6 Los Angeles Sylmar,15.6,5
119434,The Claremont Hotel,12.23076923076923,13
77260,Rodeway Inn,14.310344827586206,29
77859,Stillwell Hotel,10.705882352941176,17
84529,Rodeway Inn Los Angeles,10.090909090909092,22
235430,BLVD Hotel & Suites,9.477611940298507,67
613137,Royal Pagoda Motel,17.19047619047619,21
225809,Best Inn Hollywood,16.434782608695652,23
84480,Ramada Wilshire Center,13.578947368421053,38
77729,BEST WESTERN PLUS Dragon Gate Inn,13.981818181818182,55
