Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,19.302325581395348,86
82682,Courtyard by Marriott Los Angeles Woodland Hills,21.82608695652174,23
76790,BEST WESTERN PLUS Eagle Rock Inn,22.0,13
83988,Sea Rock Inn,23.5,24
504815,Rodeway Inn Hollywood,13.526315789473685,38
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,19.09090909090909,88
223054,Super 8 Motel Los Angeles Downtown,18.76,25
577590,Vibe Hotel,15.844444444444445,45
549431,Americas Best Value Inn - Hollywood / Los Angeles,14.545454545454545,33
84513,Quality Inn & Suites by Convention Center,14.3,20
611195,East West Suites,10.666666666666666,3
1457221,Shelter Hotels Los Angeles,22.847826086956523,46
113229,Highland Gardens Hotel,12.785714285714286,84
78679,BEST WESTERN PLUS Mikado Hotel,13.7,10
235456,Good Nite Inn Sylmar,15.0,83
576828,Valley Inn & Conference Center,11.258620689655173,58
313508,Motel 6 Canoga Park,11.75,8
271595,Ambassador Hotel,6.0,1
256799,Colony Inn North Hollywood,12.333333333333334,6
939204,JJ Grand Hotel,13.6,5
240156,Motel 6 Los Angeles - Van Nuys/Sepulveda,11.571428571428571,7
570050,Sunset Inn & Suites,11.892857142857142,28
84320,Hotel Solaire Los Angeles,13.038461538461538,52
84499,Hollywood Stars Inn,9.90625,32
223050,Rotex Hotel And Condo,1.0,1
282463,Americas Best Value Inn,20.285714285714285,7
119492,Beverly Inn,16.272727272727273,22
223044,Vagabond Inn Executive,10.642857142857142,42
81120,BEST WESTERN Los Angeles Worldport Hotel,14.285714285714286,14
559383,Hollywood Inn Express North,9.333333333333334,39
84442,Travelodge Chatsworth,14.444444444444445,9
549441,Hollywood Inn Express South,13.333333333333334,60
535826,Paradise Lodge Hotel,11.0,2
82305,Goldstar Inn,14.5,2
82496,The Voyager Motor Inn,6.571428571428571,7
575416,Marina Seven Motel,13.714285714285714,7
119399,Hollywood Cityview Inn & Suites,16.6,5
77761,Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,7.4,5
613619,Paradise Inn & Suites,10.333333333333334,6
1186068,Budget Inn Hollywood,8.75,8
217256,El Patio Inn,10.833333333333334,6
1591524,City Center Hotel,14.333333333333334,6
266004,Pacific Inn and Suites,14.333333333333334,6
76446,Century Wilshire,7.0,23
82498,Motel 6 Van Nuys,9.1,10
1223148,Starlight Inn,13.5,4
217240,Nite Inn at Universal City,9.380952380952381,21
81285,Sunrise Hotel San Pedro,13.1,40
281769,Hollywood Studio Inn & Suites,11.523809523809524,21
1743425,Extended Stay America,35.0,1
247755,Economy Inn Hollywood,24.75,4
271581,St. George Motor Inn,22.5,6
1229893,Hyland Motel Van Nuys,18.0,2
84202,Lincoln Inn,27.0,3
249704,Americas Best Value Inn,20.0,1
1225375,Ramada Los Angeles Convention Center,20.275,40
235134,Super 8 Hollywood,11.645833333333334,48
271479,Hometown Inn,15.666666666666666,6
817023,777 Motor Inn,16.75,4
244432,Motel 6 Los Angeles - Harbor City,21.5,2
271607,Monterey Inn,7.0,3
119390,Stars Inn,15.733333333333333,15
271601,Del Mar Hotel,3.0,1
291209,Los Feliz Motel,7.0,1
271606,Islander Motel,4.0,2
248069,Bevonshire Lodge Motel,12.666666666666666,27
1488816,Vermont Motel,21.0,1
271481,Travel Inn,19.0,1
77809,Kawada Hotel,13.369565217391305,92
84441,Economy Inn Motel,30.0,1
84365,Rodeway Inn Culver City,18.928571428571427,14
77717,Dunes Inn - Wilshire,16.2,10
634746,Travelodge Sylmar/Magic Mountain Area,9.818181818181818,11
235430,BLVD Hotel & Suites,11.144578313253012,83
77262,Hollywood Premiere Motel,1.0,1
82304,Motel 6 Los Angeles Sylmar,18.666666666666668,6
77260,Rodeway Inn,15.390243902439025,41
119434,The Claremont Hotel,15.95,20
77859,Stillwell Hotel,11.0,21
84529,Rodeway Inn Los Angeles,10.291666666666666,24
613137,Royal Pagoda Motel,20.35,40
225809,Best Inn Hollywood,20.3265306122449,49
84480,Ramada Wilshire Center,15.403508771929825,57
77729,BEST WESTERN PLUS Dragon Gate Inn,14.61111111111111,72
226148,Studio 6 Van Nuys,12.875,8
119422,Liberty Hotel,20.09090909090909,33
84483,Oxford Palace Hotel,17.4,5
84434,Radisson Hotel Chatsworth,16.977777777777778,45
553344,Americas Best Value Inn - Los Angeles / Hollywood,16.555555555555557,18
119414,L.A. Sky Boutique Hotel,18.50877192982456,57
276208,Cecil Hotel,10.152941176470588,85
77753,The Historic Mayfair Hotel,12.307017543859649,114
275366,Super 8 North Hollywood,14.91304347826087,23
77852,The Wilshire Hotel Los Angeles,15.202247191011235,178
249692,Ritz Milner Hotel,14.149253731343284,67
84515,Quality Inn Hollywood,15.75,80
77844,Radisson Midtown at USC,13.58974358974359,39
84517,Holiday Inn Express Century City,17.65,40
239812,The Dixie Hollywood,15.125,80
119464,La Mirage Inn,17.5,10
1007413,Knights Inn Woodland Hills,19.5,4
252254,Super 8 Canoga Park,3.5,2
553345,Americas Best Value Inn & Suites Granada Hills,6.333333333333333,3
235133,Super 8 Los Angeles / Alhambra,18.72222222222222,18
268977,Hollywood Downtowner Inn,15.0,121
1752249,Hollywood Historic Hotel,20.444444444444443,18
82684,Comfort Inn Near Warner Center,14.666666666666666,15
632541,Comfort Inn and Suites near Universal Studios,22.483870967741936,31
84553,Comfort Inn Near Universal Studios Hollywood,15.2125,80
82633,Azul Inn,10.7,20
76460,Staybridge Suites Chatsworth,14.222222222222221,18
119454,Saharan Motor Hotel,18.956521739130434,69
240151,Motel 6 Los Angeles - Hollywood,15.937984496124031,129
82494,Holiday Inn Express Van Nuys,18.52173913043478,23
223049,Radisson Hotel at Los Angeles Airport,16.094252873563217,435
77829,Metro Plaza Hotel,17.476744186046513,86
84286,Holiday Inn Express - Los Angeles Downtown West,13.285714285714286,14
223051,Super 8 Los Angeles Airport/LAX,15.048192771084338,83
84437,Ramada Limited Canoga Park/Warner Center,16.16,25
77870,Vagabond Inn Los Angeles-USC,17.705882352941178,34
113221,The LA Hotel Downtown,19.06015037593985,133
78688,Sportsmen's Lodge Hotel,19.674556213017752,169
502971,Hollywood City Inn,17.778301886792452,212
81761,DoubleTree by Hilton Hotel San Pedro,22.716666666666665,60
82689,Warner Center Marriott Woodland Hills,17.27906976744186,43
77247,BEST WESTERN Hollywood Plaza Inn,17.088709677419356,124
77282,Travelodge Hollywood-Vermont/Sunset,16.96694214876033,121
657068,Villa Brasil Motel,27.5,2
77923,Holiday Inn Los Angeles International Airport,17.4375,176
76325,BEST WESTERN Canoga Park Motor Inn,22.0,10
77798,Sheraton Los Angeles Downtown Hotel,19.88679245283019,159
223042,Rodeway Inn Convention Center,19.133333333333333,30
84428,Studio City Court Yard Hotel,15.628571428571428,35
1657336,BEST WESTERN Burbank Airport Inn,25.153846153846153,13
82578,Beverly Laurel Motor Hotel,15.222222222222221,81
77277,Comfort Inn Near Hollywood Walk of Fame,21.753623188405797,69
81768,Vagabond Inn San Pedro,21.647058823529413,119
77714,DoubleTree by Hilton Hotel Los Angeles Downtown,20.372448979591837,196
650376,O Hotel,18.206349206349206,63
119388,Cadillac Hotel,15.578947368421053,171
77866,Millennium Biltmore Hotel Los Angeles,17.666011787819254,509
1528623,Wilshire Motel,23.0,2
84555,BEST WESTERN PLUS Carlyle Inn,19.140625,64
240875,Clarion Inn,18.75,76
76793,Comfort Inn Near Old Town Pasadena - Eagle Rock,26.130434782608695,115
82491,Airtel Plaza Hotel and Conference Center,20.145833333333332,96
77237,Hollywood Hotel,12.787878787878787,363
77888,Hilton Checkers Hotel - Los Angeles,18.45,140
119483,Courtyard Los Angeles Century City / Beverly Hills,20.647058823529413,51
77708,BEST WESTERN PLUS Royal Palace Inn & Suites,13.728395061728396,81
630945,Park Plaza Lodge Hotel,21.344827586206897,29
249696,The Standard Downtown LA,14.568093385214008,257
