Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,20.316326530612244,98
82682,Courtyard by Marriott Los Angeles Woodland Hills,21.8,25
76790,BEST WESTERN PLUS Eagle Rock Inn,21.571428571428573,14
83988,Sea Rock Inn,23.928571428571427,28
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,19.406593406593405,91
504815,Rodeway Inn Hollywood,13.761904761904763,42
223054,Super 8 Motel Los Angeles Downtown,19.733333333333334,30
577590,Vibe Hotel,15.844444444444445,45
1457221,Shelter Hotels Los Angeles,23.34426229508197,61
549431,Americas Best Value Inn - Hollywood / Los Angeles,14.45945945945946,37
84513,Quality Inn & Suites by Convention Center,14.3,20
611195,East West Suites,10.666666666666666,3
113229,Highland Gardens Hotel,12.590909090909092,88
78679,BEST WESTERN PLUS Mikado Hotel,13.272727272727273,11
235456,Good Nite Inn Sylmar,15.081395348837209,86
576828,Valley Inn & Conference Center,11.4,60
313508,Motel 6 Canoga Park,11.75,8
271595,Ambassador Hotel,7.5,2
256799,Colony Inn North Hollywood,12.333333333333334,6
939204,JJ Grand Hotel,12.666666666666666,6
240156,Motel 6 Los Angeles - Van Nuys/Sepulveda,11.571428571428571,7
570050,Sunset Inn & Suites,11.892857142857142,28
1645834,Seaway Motel,2.0,1
84320,Hotel Solaire Los Angeles,13.309090909090909,55
84499,Hollywood Stars Inn,10.294117647058824,34
223050,Rotex Hotel And Condo,9.0,2
282463,Americas Best Value Inn,19.555555555555557,9
119492,Beverly Inn,16.272727272727273,22
223044,Vagabond Inn Executive,10.604651162790697,43
559383,Hollywood Inn Express North,9.704545454545455,44
81120,BEST WESTERN Los Angeles Worldport Hotel,14.285714285714286,14
84442,Travelodge Chatsworth,14.444444444444445,9
549441,Hollywood Inn Express South,14.276923076923078,65
535826,Paradise Lodge Hotel,11.0,2
82305,Goldstar Inn,14.5,2
82496,The Voyager Motor Inn,6.571428571428571,7
575416,Marina Seven Motel,13.714285714285714,7
119399,Hollywood Cityview Inn & Suites,16.6,5
77761,Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,7.666666666666667,6
1591524,City Center Hotel,13.625,8
217256,El Patio Inn,12.375,8
613619,Paradise Inn & Suites,10.333333333333334,6
82498,Motel 6 Van Nuys,8.928571428571429,14
1186068,Budget Inn Hollywood,8.75,8
266004,Pacific Inn and Suites,14.333333333333334,6
76446,Century Wilshire,7.0,24
1223148,Starlight Inn,13.5,4
217240,Nite Inn at Universal City,10.318181818181818,22
81285,Sunrise Hotel San Pedro,13.295454545454545,44
249704,Americas Best Value Inn,24.5,2
281769,Hollywood Studio Inn & Suites,10.782608695652174,23
1743425,Extended Stay America,35.0,1
247755,Economy Inn Hollywood,22.4,5
271581,St. George Motor Inn,22.5,6
1229893,Hyland Motel Van Nuys,18.0,2
84202,Lincoln Inn,22.75,4
1225375,Ramada Los Angeles Convention Center,20.95744680851064,47
235134,Super 8 Hollywood,12.549019607843137,51
271479,Hometown Inn,15.666666666666666,6
817023,777 Motor Inn,16.75,4
244432,Motel 6 Los Angeles - Harbor City,21.5,2
271607,Monterey Inn,7.0,3
119390,Stars Inn,15.733333333333333,15
271601,Del Mar Hotel,3.0,1
291209,Los Feliz Motel,7.0,1
271606,Islander Motel,4.0,2
77809,Kawada Hotel,13.53,100
248069,Bevonshire Lodge Motel,12.666666666666666,27
1488816,Vermont Motel,21.0,1
