Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,25.15525114155251,219
82682,Courtyard by Marriott Los Angeles Woodland Hills,22.951219512195124,41
84517,Holiday Inn Express Century City,23.57281553398058,103
84224,Extended Stay America - Los Angeles - LAX Airport,26.333333333333332,3
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,20.133333333333333,120
83988,Sea Rock Inn,23.48936170212766,47
1457221,Shelter Hotels Los Angeles,20.788732394366196,142
76790,BEST WESTERN PLUS Eagle Rock Inn,21.055555555555557,18
504815,Rodeway Inn Hollywood,17.880597014925375,67
223054,Super 8 Motel Los Angeles Downtown,20.18,50
577590,Vibe Hotel,15.754716981132075,53
2370300,El Cortez,10.0,1
235456,Good Nite Inn Sylmar,15.344827586206897,116
549431,Americas Best Value Inn - Hollywood / Los Angeles,13.898305084745763,59
84513,Quality Inn & Suites by Convention Center,16.571428571428573,28
113229,Highland Gardens Hotel,12.684684684684685,111
78679,BEST WESTERN PLUS Mikado Hotel,18.79310344827586,29
1528649,Garden Suites Hotel & Resort,16.0,1
77740,Howard Johnson Los Angeles,19.6,5
576828,Valley Inn & Conference Center,11.012048192771084,83
611195,East West Suites,14.333333333333334,6
1225375,Ramada Los Angeles Convention Center,19.564102564102566,78
84320,Hotel Solaire Los Angeles,13.776470588235295,85
313508,Motel 6 Canoga Park,12.666666666666666,9
84499,Hollywood Stars Inn,9.71111111111111,45
240156,Motel 6 Los Angeles - Van Nuys/Sepulveda,11.8,10
271595,Ambassador Hotel,7.5,2
256799,Colony Inn North Hollywood,11.714285714285714,7
570050,Sunset Inn & Suites,11.95,40
939204,JJ Grand Hotel,13.0,8
81120,BEST WESTERN Los Angeles Worldport Hotel,15.526315789473685,19
223044,Vagabond Inn Executive,11.226415094339623,53
282463,Americas Best Value Inn,16.608695652173914,23
1645834,Seaway Motel,15.5,2
119492,Beverly Inn,15.363636363636363,33
223050,Rotex Hotel And Condo,13.0,4
559383,Hollywood Inn Express North,10.19047619047619,63
549441,Hollywood Inn Express South,12.470588235294118,102
84442,Travelodge Chatsworth,18.789473684210527,19
535826,Paradise Lodge Hotel,9.333333333333334,3
82305,Goldstar Inn,14.5,2
82496,The Voyager Motor Inn,6.666666666666667,9
119399,Hollywood Cityview Inn & Suites,20.142857142857142,7
575416,Marina Seven Motel,12.875,8
77761,Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,9.0,8
1591524,City Center Hotel,15.75,16
217256,El Patio Inn,14.461538461538462,13
1186068,Budget Inn Hollywood,10.733333333333333,15
613619,Paradise Inn & Suites,11.833333333333334,12
1223148,Starlight Inn,13.6,10
82498,Motel 6 Van Nuys,9.944444444444445,18
217240,Nite Inn at Universal City,10.80952380952381,42
266004,Pacific Inn and Suites,14.875,8
76446,Century Wilshire,7.0,24
77852,The Wilshire Hotel Los Angeles,16.4756446991404,349
81285,Sunrise Hotel San Pedro,13.60377358490566,53
249704,Americas Best Value Inn,21.666666666666668,6
281769,Hollywood Studio Inn & Suites,10.75,24
1229893,Hyland Motel Van Nuys,18.75,4
1743425,Extended Stay America,21.666666666666668,3
247755,Economy Inn Hollywood,22.0,6
271581,St. George Motor Inn,23.857142857142858,7
1642879,Valley Lodge Motel,14.0,1
84202,Lincoln Inn,19.428571428571427,7
235134,Super 8 Hollywood,14.802631578947368,76
77809,Kawada Hotel,14.49645390070922,141
235430,BLVD Hotel & Suites,12.495652173913044,115
271479,Hometown Inn,15.666666666666666,6
817023,777 Motor Inn,17.666666666666668,6
244432,Motel 6 Los Angeles - Harbor City,21.5,2
271607,Monterey Inn,13.75,4
223049,Radisson Hotel at Los Angeles Airport,18.16296296296296,810
119390,Stars Inn,17.05263157894737,19
271601,Del Mar Hotel,3.0,1
291209,Los Feliz Motel,7.0,1
271606,Islander Motel,4.0,2
77717,Dunes Inn - Wilshire,16.03846153846154,26
81763,All Star Inn,20.0,1
