Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,24.742857142857144,210
82682,Courtyard by Marriott Los Angeles Woodland Hills,22.85,40
84224,Extended Stay America - Los Angeles - LAX Airport,25.5,2
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,20.07563025210084,119
83988,Sea Rock Inn,23.23913043478261,46
76790,BEST WESTERN PLUS Eagle Rock Inn,21.055555555555557,18
504815,Rodeway Inn Hollywood,17.765625,64
1457221,Shelter Hotels Los Angeles,20.562962962962963,135
84517,Holiday Inn Express Century City,23.0625,96
223054,Super 8 Motel Los Angeles Downtown,19.625,48
577590,Vibe Hotel,15.754716981132075,53
2370300,El Cortez,10.0,1
549431,Americas Best Value Inn - Hollywood / Los Angeles,13.807017543859649,57
113229,Highland Gardens Hotel,12.697247706422019,109
235456,Good Nite Inn Sylmar,15.157894736842104,114
84513,Quality Inn & Suites by Convention Center,15.307692307692308,26
1528649,Garden Suites Hotel & Resort,16.0,1
78679,BEST WESTERN PLUS Mikado Hotel,17.807692307692307,26
576828,Valley Inn & Conference Center,11.012048192771084,83
611195,East West Suites,11.6,5
1225375,Ramada Los Angeles Convention Center,19.51948051948052,77
84320,Hotel Solaire Los Angeles,13.566265060240964,83
313508,Motel 6 Canoga Park,12.666666666666666,9
84499,Hollywood Stars Inn,9.71111111111111,45
240156,Motel 6 Los Angeles - Van Nuys/Sepulveda,11.8,10
271595,Ambassador Hotel,7.5,2
256799,Colony Inn North Hollywood,11.714285714285714,7
570050,Sunset Inn & Suites,11.95,40
939204,JJ Grand Hotel,13.0,8
81120,BEST WESTERN Los Angeles Worldport Hotel,15.526315789473685,19
223044,Vagabond Inn Executive,11.26923076923077,52
1645834,Seaway Motel,15.5,2
282463,Americas Best Value Inn,17.526315789473685,19
223050,Rotex Hotel And Condo,13.0,4
119492,Beverly Inn,15.612903225806452,31
559383,Hollywood Inn Express North,10.19047619047619,63
549441,Hollywood Inn Express South,12.67,100
84442,Travelodge Chatsworth,18.88888888888889,18
535826,Paradise Lodge Hotel,9.333333333333334,3
82305,Goldstar Inn,14.5,2
82496,The Voyager Motor Inn,6.666666666666667,9
119399,Hollywood Cityview Inn & Suites,18.5,6
575416,Marina Seven Motel,12.875,8
77761,Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,9.0,8
1591524,City Center Hotel,14.933333333333334,15
217256,El Patio Inn,14.461538461538462,13
1186068,Budget Inn Hollywood,10.733333333333333,15
613619,Paradise Inn & Suites,11.833333333333334,12
82498,Motel 6 Van Nuys,9.944444444444445,18
1223148,Starlight Inn,12.75,8
266004,Pacific Inn and Suites,14.875,8
76446,Century Wilshire,7.0,24
217240,Nite Inn at Universal City,10.925,40
77852,The Wilshire Hotel Los Angeles,16.53935860058309,343
81285,Sunrise Hotel San Pedro,13.60377358490566,53
249704,Americas Best Value Inn,21.666666666666668,6
281769,Hollywood Studio Inn & Suites,10.75,24
1229893,Hyland Motel Van Nuys,18.75,4
1743425,Extended Stay America,21.666666666666668,3
247755,Economy Inn Hollywood,22.4,5
271581,St. George Motor Inn,23.857142857142858,7
1642879,Valley Lodge Motel,14.0,1
84202,Lincoln Inn,19.428571428571427,7
235134,Super 8 Hollywood,14.794520547945206,73
77809,Kawada Hotel,14.496402877697841,139
271479,Hometown Inn,15.666666666666666,6
817023,777 Motor Inn,17.666666666666668,6
244432,Motel 6 Los Angeles - Harbor City,21.5,2
271607,Monterey Inn,13.75,4
235430,BLVD Hotel & Suites,12.287037037037036,108
119390,Stars Inn,17.05263157894737,19
271601,Del Mar Hotel,3.0,1
291209,Los Feliz Motel,7.0,1
271606,Islander Motel,4.0,2
77717,Dunes Inn - Wilshire,16.56,25
81763,All Star Inn,20.0,1
248069,Bevonshire Lodge Motel,13.266666666666667,30
1488816,Vermont Motel,21.0,1
271481,Travel Inn,19.0,1
84365,Rodeway Inn Culver City,19.25,20
2202132,The Royal Santa Monica Motel,18.0,1
226148,Studio 6 Van Nuys,16.470588235294116,17
84441,Economy Inn Motel,30.0,1
119434,The Claremont Hotel,17.925925925925927,27
223049,Radisson Hotel at Los Angeles Airport,18.015247776365946,787
84529,Rodeway Inn Los Angeles,13.847457627118644,59
634746,Travelodge Sylmar/Magic Mountain Area,10.307692307692308,13
84480,Ramada Wilshire Center,16.17283950617284,81
613137,Royal Pagoda Motel,19.431372549019606,51
82304,Motel 6 Los Angeles Sylmar,20.0,11
77262,Hollywood Premiere Motel,16.0,2
77859,Stillwell Hotel,12.653846153846153,26
77260,Rodeway Inn,15.75925925925926,54
225809,Best Inn Hollywood,20.144736842105264,76
249692,Ritz Milner Hotel,15.585365853658537,123
77729,BEST WESTERN PLUS Dragon Gate Inn,16.354166666666668,96
119422,Liberty Hotel,19.01219512195122,82
119414,L.A. Sky Boutique Hotel,19.16304347826087,92
77753,The Historic Mayfair Hotel,12.653409090909092,176
276208,Cecil Hotel,11.169014084507042,142
84483,Oxford Palace Hotel,15.333333333333334,6
553344,Americas Best Value Inn - Los Angeles / Hollywood,18.22222222222222,27
84434,Radisson Hotel Chatsworth,17.333333333333332,54
275366,Super 8 North Hollywood,15.666666666666666,39
84515,Quality Inn Hollywood,16.872180451127818,133
2236331,"The Hotel Wilshire, a Kimpton Hotel",28.918367346938776,49
77844,Radisson Midtown at USC,16.825396825396826,63
239812,The Dixie Hollywood,15.916083916083917,143
1752249,Hollywood Historic Hotel,18.929577464788732,142
119464,La Mirage Inn,19.266666666666666,15
252254,Super 8 Canoga Park,18.375,8
1007413,Knights Inn Woodland Hills,22.555555555555557,9
553345,Americas Best Value Inn & Suites Granada Hills,23.6,10
235133,Super 8 Los Angeles / Alhambra,19.178571428571427,28
268977,Hollywood Downtowner Inn,15.382352941176471,170
1488412,Rose Bowl Motel,34.0,1
632541,Comfort Inn and Suites near Universal Studios,22.46,50
82684,Comfort Inn Near Warner Center,13.96774193548387,31
226056,Extended Stay America - Los Angeles - Woodland Hills,32.0,2
