Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,26.91614906832298,322
248239,Super 8 Los Angeles / Culver City Area,22.834532374100718,139
119382,Inn at Venice Beach,20.090301003344482,299
77264,Hilton Garden Inn Los Angeles/Hollywood,28.289719626168225,107
84505,Hollywood Celebrity Hotel,23.599318955732123,881
84517,Holiday Inn Express Century City,24.597122302158272,139
76793,Comfort Inn Near Old Town Pasadena - Eagle Rock,26.177777777777777,225
84555,BEST WESTERN PLUS Carlyle Inn,22.874015748031496,127
82491,Airtel Plaza Hotel and Conference Center,22.195238095238096,210
77888,Hilton Checkers Hotel - Los Angeles,22.379821958456972,337
119483,Courtyard Los Angeles Century City / Beverly Hills,24.895582329317268,249
2236331,"The Hotel Wilshire, a Kimpton Hotel",27.67808219178082,146
81761,DoubleTree by Hilton Hotel San Pedro,24.17058823529412,170
77714,DoubleTree by Hilton Hotel Los Angeles Downtown,22.324271844660196,515
77798,Sheraton Los Angeles Downtown Hotel,23.142528735632183,435
1457221,Shelter Hotels Los Angeles,21.037735849056602,159
504815,Rodeway Inn Hollywood,19.93617021276596,94
223054,Super 8 Motel Los Angeles Downtown,21.135135135135137,74
83988,Sea Rock Inn,22.970149253731343,67
82682,Courtyard by Marriott Los Angeles Woodland Hills,22.930232558139537,43
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,20.397058823529413,136
76790,BEST WESTERN PLUS Eagle Rock Inn,22.484848484848484,33
84224,Extended Stay America - Los Angeles - LAX Airport,26.0,16
77866,Millennium Biltmore Hotel Los Angeles,19.686196623634558,1007
223049,Radisson Hotel at Los Angeles Airport,19.348082595870206,1017
84529,Rodeway Inn Los Angeles,16.072289156626507,83
235456,Good Nite Inn Sylmar,16.448529411764707,136
78679,BEST WESTERN PLUS Mikado Hotel,20.085106382978722,47
271600,Crescent Motel,26.0,1
113229,Highland Gardens Hotel,14.01526717557252,131
