Hotel ID,Hotel Name,Total Rating,Overall Customers
83044,Howard Johnson Inn Denver,3.5,2
85353,Drury Inn Denver East,4.0,1
82992,Days Inn Central,2.0,1
119939,Motel 5,1.0,1
119949,Budget Inn Motel,1.0,1
85375,Comfort Inn Denver International Airport,2.3333333333333335,3
543093,Courtyard by Marriott Denver Cherry Creek,14.5,2
85638,Denver Stapleton Hotel,4.0,1
114326,Loews Denver Hotel,3.5,8
83091,The Burnsley All Suite Hotel,6.363636363636363,11
85343,Denver's Best Inn and Suites,5.0,1
119975,Jet Hotel,3.0,2
111562,Renaissance Denver Hotel,7.0,6
120036,Notel Motel,3.75,4
85341,Comfort Inn Central,5.0,1
119941,Crowne Plaza Hotel Denver,3.75,4
83060,Four Points by Sheraton Denver Southeast,2.5,2
82982,Comfort Inn Downtown,9.666666666666666,3
85366,Quality Inn Denver,1.5,2
82984,Courtyard by Marriott Denver Stapleton,9.0,1
85344,La Quinta Inn Denver Central,5.0,1
85359,Comfort Suites Denver International Airport,10.5,2
83023,Fairfield Inn Denver Cherry Creek,4.5,2
85357,Days Inn & Suites DIA-Denver International Airport,24.0,1
83014,Embassy Suites Denver - Southeast,11.25,4
82960,Holiday Inn Select Denver - Cherry Creek,3.3076923076923075,13
120083,Denver Marriott Tech Center,4.5,2
270508,Hotel VQ,3.6666666666666665,9
85325,Ramada Inn Downtown Denver,6.6,5
83057,Denver Marriott City Center,3.5,4
1190033,Hilton Garden Inn Denver Tech Center,7.333333333333333,6
125845,Embassy Suites Hotel Denver - Aurora,3.5,4
83038,Ramada Plaza Denver Central Hotel,3.6666666666666665,3
120029,Residence Inn Denver Downtown,13.833333333333334,6
85372,Courtyard by Marriott Denver Airport,4.0,1
1751673,Super 8 Denver - Airport,1.0,1
85332,Doubletree by Hilton Hotel Denver,4.0,2
83051,Hyatt Regency Denver Tech Center,7.25,4
258669,Embassy Suites Denver-International Airport,14.0,2
119992,Fairfield Inn Denver Airport,25.0,1
83099,The Westin Denver Downtown,3.7777777777777777,9
83046,Grand Hyatt Denver Downtown,5.4,10
85368,La Quinta Inn & Suites Denver Airport DIA,5.0,1
83093,The Oxford Hotel,9.909090909090908,11
119993,Courtyard by Marriott Denver Downtown,2.0,1
83097,Warwick Denver Hotel,5.428571428571429,14
120056,Hotel Monaco Denver - a Kimpton Hotel,4.315789473684211,19
83088,The Brown Palace Hotel and Spa,4.5,2
308759,JW Marriott Denver Cherry Creek,14.75,4
120058,Hotel Teatro,4.166666666666667,12
83040,Magnolia Hotel Denver,3.5,8
