Hotel ID,Hotel Name,Total Rating,Overall Customers
223852,TownePlace Suites Denver Downtown,24.11764705882353,85
85353,Drury Inn Denver East,20.576271186440678,59
119998,Bar X Motel,8.0,1
1238865,Holiday Inn Express Denver Airport,23.26923076923077,26
111550,Cameron Motel,7.75,4
83104,Venture Inn,8.0,2
83095,Rockies Inn,12.285714285714286,7
83061,Motel 6 Denver Central,15.125,8
120087,Broadway Plaza Motel,14.333333333333334,6
119948,Budget Host Inn,12.588235294117647,17
543093,Courtyard by Marriott Denver Cherry Creek,20.46153846153846,78
589144,Valli-Hi Motor Hotel,4.6,5
83086,Royal Palace Motel,6.0,5
671614,Knights Inn Denver - Gateway to Downtown,7.875,16
83091,The Burnsley All Suite Hotel,19.992805755395683,139
82992,Days Inn Central,8.75,24
83044,Howard Johnson Inn Denver,8.4,15
85375,Comfort Inn Denver International Airport,14.285714285714286,42
82976,Super 8 Denver Stapleton,13.029411764705882,34
114326,Loews Denver Hotel,20.144444444444446,90
119939,Motel 5,4.333333333333333,3
119949,Budget Inn Motel,5.333333333333333,3
85338,Stay Inn,3.5,2
120003,7 Star Motel,8.0,1
120014,Town and Country Motel,19.0,2
120099,Anchor Motel,9.0,1
120040,Newhouse Hotel,13.25,4
120006,Western Motor Inn,23.0,2
119981,Homestead Studio Suites - Denver - Tech Center - North,17.82608695652174,23
119929,Super 8 Denver / I25 & 58th Ave.,9.538461538461538,13
120017,Stonewall Motel,13.0,1
111562,Renaissance Denver Hotel,20.48739495798319,119
119975,Jet Hotel,14.058823529411764,68
85343,Denver's Best Inn and Suites,11.720588235294118,68
119928,Ramada Denver Midtown,11.263157894736842,57
119941,Crowne Plaza Hotel Denver,20.5,150
85638,Denver Stapleton Hotel,4.8,5
85330,Comfort Inn & Suites,19.548387096774192,31
85346,La Quinta Inn Denver Cherry Creek,17.448275862068964,29
82982,Comfort Inn Downtown,18.607692307692307,130
83060,Four Points by Sheraton Denver Southeast,17.855263157894736,76
120036,Notel Motel,6.375,8
120050,La Rue Motel,8.0,1
119938,Motel 6 Denver - Airport,17.4,15
85341,Comfort Inn Central,18.59090909090909,22
119914,11th Avenue Hotel & Hostel,18.25,12
1176784,Econo Lodge Downtown,11.928571428571429,14
81026,Quality Inn Central Denver,22.38095238095238,42
83057,Denver Marriott City Center,20.930434782608696,115
119997,Belcaro Motel,21.666666666666668,3
82960,Holiday Inn Select Denver - Cherry Creek,15.547945205479452,73
270508,Hotel VQ,16.246575342465754,146
83100,TownePlace Suites Denver Southeast,23.05263157894737,19
85366,Quality Inn Denver,16.137931034482758,29
82984,Courtyard by Marriott Denver Stapleton,20.433333333333334,30
85359,Comfort Suites Denver International Airport,21.0188679245283,53
83023,Fairfield Inn Denver Cherry Creek,20.844444444444445,45
85344,La Quinta Inn Denver Central,16.666666666666668,36
85325,Ramada Inn Downtown Denver,14.0,116
81023,The Timbers Hotel,16.88888888888889,81
225093,Red Lion Hotel Denver Central,17.846774193548388,124
83014,Embassy Suites Denver - Southeast,20.80327868852459,61
83031,Crowne Plaza Denver International Airport,20.535211267605632,71
85357,Days Inn & Suites DIA-Denver International Airport,18.54,50
120083,Denver Marriott Tech Center,19.93220338983051,59
225090,Microtel Inn by Wyndham Denver,17.285714285714285,35
120072,Hampton Inn Denver - International Airport,18.054054054054053,37
83072,BEST WESTERN PLUS Denver Hotel,21.066666666666666,45
83038,Ramada Plaza Denver Central Hotel,16.263157894736842,38
1238857,Holiday Inn Hotel & Suites Denver Airport,23.8,25
530656,Inn at Cherry Creek,23.310344827586206,29
1190033,Hilton Garden Inn Denver Tech Center,18.733333333333334,60
120029,Residence Inn Denver Downtown,21.46875,96
125845,Embassy Suites Hotel Denver - Aurora,22.323943661971832,71
83081,Quality Inn & Suites Denver International Airport,22.16923076923077,65
83070,Holiday Inn Denver East-Stapleton,24.482142857142858,56
85332,Doubletree by Hilton Hotel Denver,20.743362831858406,113
673588,Springhill Suites Denver Airport,25.1875,48
85372,Courtyard by Marriott Denver Airport,19.318181818181817,44
83051,Hyatt Regency Denver Tech Center,21.409523809523808,105
1751673,Super 8 Denver - Airport,19.666666666666668,42
83099,The Westin Denver Downtown,22.115702479338843,242
85352,Hampton Inn & Suites Denver Tech Center,23.822222222222223,45
119992,Fairfield Inn Denver Airport,21.338461538461537,65
578192,Hampton Inn & Suites Denver Downtown,24.34426229508197,122
258669,Embassy Suites Denver-International Airport,20.5,68
82961,Sheraton Denver Downtown Hotel,23.10362694300518,386
83046,Grand Hyatt Denver Downtown,22.475409836065573,244
218788,Hilton Garden Inn Denver Cherry Creek,24.943396226415093,53
596431,Hampton Inn & Suites Denver-Speer Boulevard,25.04,50
85368,La Quinta Inn & Suites Denver Airport DIA,22.687074829931973,147
657868,Hilton Garden Inn Denver Downtown,26.03960396039604,101
