Hotel ID,Hotel Name,Total Rating,Overall Customers
223852,TownePlace Suites Denver Downtown,24.51086956521739,92
85353,Drury Inn Denver East,20.770491803278688,61
1238865,Holiday Inn Express Denver Airport,22.176470588235293,34
119998,Bar X Motel,8.0,1
543093,Courtyard by Marriott Denver Cherry Creek,21.344827586206897,87
111550,Cameron Motel,7.75,4
83104,Venture Inn,8.0,2
83095,Rockies Inn,12.285714285714286,7
120087,Broadway Plaza Motel,11.5,8
119948,Budget Host Inn,13.210526315789474,19
83061,Motel 6 Denver Central,14.333333333333334,9
589144,Valli-Hi Motor Hotel,4.6,5
671614,Knights Inn Denver - Gateway to Downtown,8.117647058823529,17
83086,Royal Palace Motel,6.0,5
83091,The Burnsley All Suite Hotel,20.102040816326532,147
114326,Loews Denver Hotel,20.65,100
82992,Days Inn Central,8.75,24
83044,Howard Johnson Inn Denver,8.4,15
82976,Super 8 Denver Stapleton,12.368421052631579,38
85375,Comfort Inn Denver International Airport,14.704545454545455,44
111562,Renaissance Denver Hotel,20.895522388059703,134
119939,Motel 5,4.333333333333333,3
119949,Budget Inn Motel,5.333333333333333,3
85338,Stay Inn,4.666666666666667,3
120003,7 Star Motel,8.0,1
120014,Town and Country Motel,19.0,2
120099,Anchor Motel,9.0,1
120040,Newhouse Hotel,13.25,4
120006,Western Motor Inn,23.0,2
119981,Homestead Studio Suites - Denver - Tech Center - North,16.96153846153846,26
119929,Super 8 Denver / I25 & 58th Ave.,9.538461538461538,13
119975,Jet Hotel,13.828947368421053,76
120017,Stonewall Motel,13.0,1
85343,Denver's Best Inn and Suites,12.548780487804878,82
119941,Crowne Plaza Hotel Denver,21.120481927710845,166
119928,Ramada Denver Midtown,11.53448275862069,58
85638,Denver Stapleton Hotel,4.8,5
85330,Comfort Inn & Suites,19.71875,32
85346,La Quinta Inn Denver Cherry Creek,17.838709677419356,31
82982,Comfort Inn Downtown,18.632653061224488,147
83060,Four Points by Sheraton Denver Southeast,17.855263157894736,76
120036,Notel Motel,6.375,8
120050,La Rue Motel,8.0,1
119938,Motel 6 Denver - Airport,17.647058823529413,17
81026,Quality Inn Central Denver,22.392156862745097,51
119914,11th Avenue Hotel & Hostel,17.266666666666666,15
1176784,Econo Lodge Downtown,13.38888888888889,18
85341,Comfort Inn Central,18.625,24
83057,Denver Marriott City Center,21.51492537313433,134
119997,Belcaro Motel,21.666666666666668,3
270508,Hotel VQ,16.88535031847134,157
82960,Holiday Inn Select Denver - Cherry Creek,16.175,80
83100,TownePlace Suites Denver Southeast,23.05263157894737,19
85359,Comfort Suites Denver International Airport,21.283333333333335,60
85366,Quality Inn Denver,17.0,32
82984,Courtyard by Marriott Denver Stapleton,20.483870967741936,31
85325,Ramada Inn Downtown Denver,15.015037593984962,133
83023,Fairfield Inn Denver Cherry Creek,21.375,48
225093,Red Lion Hotel Denver Central,18.25,136
85344,La Quinta Inn Denver Central,16.63157894736842,38
81023,The Timbers Hotel,17.36046511627907,86
83031,Crowne Plaza Denver International Airport,20.604938271604937,81
83014,Embassy Suites Denver - Southeast,20.415384615384614,65
85357,Days Inn & Suites DIA-Denver International Airport,17.63157894736842,57
120083,Denver Marriott Tech Center,20.234375,64
83072,BEST WESTERN PLUS Denver Hotel,21.20689655172414,58
225090,Microtel Inn by Wyndham Denver,16.153846153846153,39
120072,Hampton Inn Denver - International Airport,18.23076923076923,39
83038,Ramada Plaza Denver Central Hotel,16.976190476190474,42
530656,Inn at Cherry Creek,23.636363636363637,33
1238857,Holiday Inn Hotel & Suites Denver Airport,24.392857142857142,28
1190033,Hilton Garden Inn Denver Tech Center,19.26086956521739,69
125845,Embassy Suites Hotel Denver - Aurora,22.46511627906977,86
120029,Residence Inn Denver Downtown,21.725490196078432,102
83081,Quality Inn & Suites Denver International Airport,22.56756756756757,74
83070,Holiday Inn Denver East-Stapleton,25.397058823529413,68
85332,Doubletree by Hilton Hotel Denver,21.333333333333332,126
673588,Springhill Suites Denver Airport,25.27777777777778,54
83051,Hyatt Regency Denver Tech Center,22.016,125
85372,Courtyard by Marriott Denver Airport,19.57777777777778,45
1751673,Super 8 Denver - Airport,20.304347826086957,46
82961,Sheraton Denver Downtown Hotel,23.216783216783217,429
83099,The Westin Denver Downtown,22.208333333333332,264
85352,Hampton Inn & Suites Denver Tech Center,24.1,50
578192,Hampton Inn & Suites Denver Downtown,24.446969696969695,132
119992,Fairfield Inn Denver Airport,21.814285714285713,70
258669,Embassy Suites Denver-International Airport,20.513157894736842,76
83046,Grand Hyatt Denver Downtown,22.61423220973783,267
218788,Hilton Garden Inn Denver Cherry Creek,25.28358208955224,67
596431,Hampton Inn & Suites Denver-Speer Boulevard,24.610169491525422,59
85368,La Quinta Inn & Suites Denver Airport DIA,23.159763313609467,169
657868,Hilton Garden Inn Denver Downtown,26.16521739130435,115
2085146,La Quinta Inn & Suites Denver Gateway Park,27.615384615384617,13
1026992,Staybridge Suites Denver International Airport,25.08695652173913,92
1737951,HYATT house Denver Airport,30.25,44
83093,The Oxford Hotel,22.23926380368098,163
83097,Warwick Denver Hotel,21.448275862068964,232
83020,The Curtis,24.758441558441557,385
119993,Courtyard by Marriott Denver Downtown,25.440251572327043,159
1653655,Baymont Inn and Suites Denver International Airport,24.471698113207548,53
120056,Hotel Monaco Denver - a Kimpton Hotel,23.2375,320
578190,Residence Inn Denver City Center,27.023474178403756,213
83088,The Brown Palace Hotel and Spa,23.10599078341014,434
308759,JW Marriott Denver Cherry Creek,24.507575757575758,132
573340,Hyatt Regency Denver At Colorado Convention Center,24.583333333333332,408
120058,Hotel Teatro,25.607717041800644,311
878358,"The Ritz-Carlton, Denver",27.899328859060404,149
1149434,Homewood Suites Denver International Airport,28.554545454545455,110
1845691,Four Seasons Hotel Denver,26.903846153846153,104
1859056,Embassy Suites Denver - Downtown / Convention Center,27.368852459016395,122
530585,"Country Inn & Suites By Carlson, Denver International Airport",27.30817610062893,318
83040,Magnolia Hotel Denver,27.126293995859214,966
