Hotel ID,Hotel Name,Total Rating,Overall Customers
223852,TownePlace Suites Denver Downtown,24.554455445544555,101
85353,Drury Inn Denver East,21.391304347826086,69
543093,Courtyard by Marriott Denver Cherry Creek,23.126126126126128,111
1238865,Holiday Inn Express Denver Airport,23.313725490196077,51
83091,The Burnsley All Suite Hotel,21.040462427745666,173
119998,Bar X Motel,8.0,1
114326,Loews Denver Hotel,22.283464566929133,127
111550,Cameron Motel,7.75,4
83104,Venture Inn,8.0,2
83095,Rockies Inn,12.285714285714286,7
120087,Broadway Plaza Motel,10.5,10
119948,Budget Host Inn,12.909090909090908,22
83061,Motel 6 Denver Central,14.8,10
589144,Valli-Hi Motor Hotel,5.714285714285714,7
83086,Royal Palace Motel,6.25,8
82992,Days Inn Central,9.555555555555555,27
111562,Renaissance Denver Hotel,21.95679012345679,162
671614,Knights Inn Denver - Gateway to Downtown,8.333333333333334,18
83044,Howard Johnson Inn Denver,10.055555555555555,18
82976,Super 8 Denver Stapleton,12.761904761904763,42
85375,Comfort Inn Denver International Airport,14.46,50
119941,Crowne Plaza Hotel Denver,22.16509433962264,212
119939,Motel 5,4.333333333333333,3
119949,Budget Inn Motel,5.333333333333333,3
85338,Stay Inn,4.666666666666667,3
120003,7 Star Motel,8.0,1
120014,Town and Country Motel,19.0,2
120099,Anchor Motel,9.0,1
120040,Newhouse Hotel,13.25,4
120006,Western Motor Inn,16.75,4
120042,Motel 9,7.0,1
119981,Homestead Studio Suites - Denver - Tech Center - North,17.392857142857142,28
119975,Jet Hotel,13.707317073170731,82
85343,Denver's Best Inn and Suites,12.387755102040817,98
119929,Super 8 Denver / I25 & 58th Ave.,9.538461538461538,13
120017,Stonewall Motel,13.0,1
119928,Ramada Denver Midtown,13.058823529411764,68
85638,Denver Stapleton Hotel,4.8,5
85330,Comfort Inn & Suites,19.13157894736842,38
82982,Comfort Inn Downtown,19.441860465116278,172
85346,La Quinta Inn Denver Cherry Creek,19.1,40
83057,Denver Marriott City Center,22.60919540229885,174
81026,Quality Inn Central Denver,23.028985507246375,69
83060,Four Points by Sheraton Denver Southeast,17.71794871794872,78
120036,Notel Motel,8.222222222222221,9
119938,Motel 6 Denver - Airport,19.238095238095237,21
120050,La Rue Motel,16.0,2
119914,11th Avenue Hotel & Hostel,20.666666666666668,24
1176784,Econo Lodge Downtown,15.44,25
85341,Comfort Inn Central,18.72,25
270508,Hotel VQ,17.405714285714286,175
82960,Holiday Inn Select Denver - Cherry Creek,19.203883495145632,103
119997,Belcaro Motel,21.666666666666668,3
85325,Ramada Inn Downtown Denver,15.980645161290322,155
83100,TownePlace Suites Denver Southeast,24.095238095238095,21
85359,Comfort Suites Denver International Airport,21.147058823529413,68
85366,Quality Inn Denver,17.65714285714286,35
82984,Courtyard by Marriott Denver Stapleton,21.37142857142857,35
83023,Fairfield Inn Denver Cherry Creek,22.379310344827587,58
225093,Red Lion Hotel Denver Central,18.633986928104576,153
81023,The Timbers Hotel,18.13,100
85344,La Quinta Inn Denver Central,17.636363636363637,44
83031,Crowne Plaza Denver International Airport,21.08823529411765,102
83014,Embassy Suites Denver - Southeast,21.80722891566265,83
120083,Denver Marriott Tech Center,21.180722891566266,83
83072,BEST WESTERN PLUS Denver Hotel,21.481012658227847,79
85357,Days Inn & Suites DIA-Denver International Airport,18.75,72
225090,Microtel Inn by Wyndham Denver,18.527272727272727,55
120072,Hampton Inn Denver - International Airport,19.26530612244898,49
83038,Ramada Plaza Denver Central Hotel,16.704545454545453,44
530656,Inn at Cherry Creek,24.609756097560975,41
1190033,Hilton Garden Inn Denver Tech Center,20.475,80
1238857,Holiday Inn Hotel & Suites Denver Airport,25.0625,32
125845,Embassy Suites Hotel Denver - Aurora,23.1340206185567,97
82961,Sheraton Denver Downtown Hotel,23.751838235294116,544
120029,Residence Inn Denver Downtown,22.666666666666668,114
83070,Holiday Inn Denver East-Stapleton,26.943396226415093,106
83081,Quality Inn & Suites Denver International Airport,23.452380952380953,84
85332,Doubletree by Hilton Hotel Denver,22.28476821192053,151
83051,Hyatt Regency Denver Tech Center,23.287581699346404,153
673588,Springhill Suites Denver Airport,25.307692307692307,65
85372,Courtyard by Marriott Denver Airport,21.50877192982456,57
