Hotel ID,Hotel Name,Total Rating,Overall Customers
253068,"The Ritz-Carlton, Georgetown",23.105263157894736,57
225100,"The Ritz-Carlton, Washington DC",19.186813186813186,91
557199,AKA White House,26.724137931034484,29
498950,"Residence Inn Washington, DC/Capitol",23.88111888111888,143
84127,Savoy Suites Hotel,18.966101694915253,59
223893,Courtyard Washington Embassy Row,18.91566265060241,83
84082,Hotel Lombardy,20.881278538812786,219
120592,Tabard Inn,16.372881355932204,59
223031,Holiday Inn Express Hotel & Suites Washington DC-Northeast,23.166666666666668,48
80689,BEST WESTERN Georgetown Hotel & Suites,17.326923076923077,104
125477,Club Quarters,18.2,135
84092,"Rouge, a Kimpton Hotel",21.211409395973153,298
214097,"The Westin Georgetown, Washington D.C.",21.055118110236222,254
308189,Kellogg Conference Hotel at Gallaudet University,17.24137931034483,29
574805,Embassy Suites Washington-Convention Center,23.771929824561404,285
220075,"Hilton Garden Inn Washington, DC Downtown",20.097972972972972,296
84083,Washington Marriott,21.60144927536232,138
295751,"Mandarin Oriental, Washington D.C.",17.352040816326532,196
1197032,Loftstel / Washington,17.666666666666668,3
1528551,Motel 6 Washington DC/Convention Center,7.333333333333333,3
120559,DoubleTree Hotel Washington DC,19.348993288590606,149
123837,Quality Inn Washington,9.72340425531915,47
84033,The Allen Lee,10.03448275862069,58
84076,Howard Johnson Express Inn - Washington,7.368421052631579,38
84120,The Latham Hotel,15.555555555555555,153
84051,Days Inn Connecticut Ave.,18.397350993377483,151
84026,The Watergate Hotel,12.453125,64
1095352,Georgetown Hill Inn,11.090909090909092,11
84134,Motel 6 Washington DC,11.5,36
217083,Days Inn Gateway,17.625,8
75021,Windsor Park Hotel,16.245283018867923,53
120613,Four Points by Sheraton,16.412429378531073,177
1515599,Executive Apartments,27.0,1
1212709,District Hotel Washington,12.189944134078212,179
84078,Hyatt Regency Washington on Capitol Hill,17.988603988603987,351
123974,Comfort Inn & Suites New York Avenue,14.975,40
939375,"Fairfield Inn & Suites Washington, DC/New York Avenue",18.392857142857142,28
84044,Windsor Inn,19.137254901960784,51
225099,Georgetown University Hotel and Conference Center,14.578947368421053,57
84029,Georgetown Inn,23.403846153846153,104
120563,"DoubleTree Suites Washington, DC",19.0,107
84072,Holiday Inn Washington - Georgetown,15.655913978494624,93
84038,Channel Inn Hotel,14.149253731343284,67
219444,Washington Marriott Wardman Park,18.477966101694914,295
84080,The Quincy,22.461038961038962,154
84068,Harrington Hotel,16.725988700564972,354
80708,Capitol Skyline Hotel,19.612903225806452,93
1237013,"Courtyard Washington, DC / U.S. Capitol",23.636363636363637,33
266091,"Melrose Hotel, Washington DC",17.402555910543132,313
217767,The Churchill Hotel,19.680497925311204,241
84052,Courtyard by Marriott Washington DC \ Dupont Circle,17.564102564102566,78
120585,"The Westin Washington, D.C. City Center",5.0,1
240271,Georgetown Suites,20.465753424657535,146
84073,Holiday Inn Washington - Central / White House,16.6,135
84132,Comfort Inn Downtown DC / Convention Center,18.44705882352941,85
120566,The Mansion on O Street,18.783783783783782,37
84081,L'Enfant Plaza Hotel,17.698162729658794,381
84032,Hotel Monticello,20.181818181818183,99
120614,Hamilton Crowne Plaza Hotel,18.183098591549296,284
600107,Courtyard Washington Capitol Hill/Navy Yard,24.035398230088497,113
84069,The Henley Park Hotel,20.285714285714285,119
84074,Holiday Inn Washington - Capitol,19.7943661971831,355
84101,"Renaissance Washington, DC Dupont Circle Hotel",19.63276836158192,177
1456261,W Washington DC,25.35211267605634,142
1224560,The Eldon Luxury Suites,24.686567164179106,67
84107,Capital Hilton,18.9153605015674,319
84064,"Embassy Suites Hotel Washington, D.C.",22.969758064516128,496
84137,Washington Hilton,25.943396226415093,53
84067,Grand Hyatt Washington,19.646310432569976,393
84095,Washington Plaza,15.00943396226415,318
224337,"Homewood Suites Washington, DC",20.773809523809526,168
84104,State Plaza Hotel,19.46887966804979,241
84098,"Renaissance Washington, DC Hotel",21.12775330396476,227
84113,Beacon Hotel & Corporate Quarters,20.21761658031088,193
84096,"The Mayflower Renaissance Washington, DC Hotel",19.758389261744966,298
84087,Omni Shoreham Hotel,21.94270122783083,733
84084,Morrison-Clark Historic Inn,19.075949367088608,79
84062,Embassy Suites Chevy Chase Pavilion,22.78082191780822,146
84086,The Normandy Hotel,18.46794871794872,156
220047,Courtyard by Marriott Washington Convention Center,20.91044776119403,134
84100,The River Inn,21.373831775700936,214
220076,St. Gregory Hotel & Suites,21.305555555555557,252
84125,"The Fairfax at Embassy Row, a Starwood Luxury Collection Hotel",24.675,120
223897,Residence Inn Washington/Dupont Circle,18.71186440677966,59
223900,Residence Inn Washington DC / Vermont Ave.,21.213483146067414,89
84066,George Washington University Inn,19.352941176470587,85
939976,Donovan House - A Kimpton Hotel,4.625,8
84039,One Washington Circle Hotel,20.00537634408602,186
84070,Washington Marriott at Metro Center,22.92626728110599,217
84079,JW Marriott Washington DC,21.082644628099175,363
84048,Capitol Hill Hotel,20.637931034482758,174
498949,"Hampton Inn Washington, DC-Convention Center",23.138528138528137,231
84129,Washington Court Hotel on Capitol Hill,21.21518987341772,237
223032,Avenue Suites Georgetown,4.666666666666667,3
84115,"Madera, a Kimpton Hotel",22.819383259911895,227
