Hotel ID,Hotel Name,Total Rating,Overall Customers
253068,"The Ritz-Carlton, Georgetown",24.63736263736264,91
225100,"The Ritz-Carlton, Washington DC",21.748344370860927,151
557199,AKA White House,25.150943396226417,53
84092,"Rouge, a Kimpton Hotel",24.22803738317757,535
214097,"The Westin Georgetown, Washington D.C.",23.797040169133194,473
84127,Savoy Suites Hotel,23.122340425531913,188
498950,"Residence Inn Washington, DC/Capitol",25.062745098039215,255
574805,Embassy Suites Washington-Convention Center,24.778625954198475,524
84082,Hotel Lombardy,22.3206106870229,393
84132,Comfort Inn Downtown DC / Convention Center,21.529411764705884,170
220075,"Hilton Garden Inn Washington, DC Downtown",22.165631469979296,483
223031,Holiday Inn Express Hotel & Suites Washington DC-Northeast,22.785714285714285,84
223893,Courtyard Washington Embassy Row,19.99019607843137,102
120592,Tabard Inn,18.152941176470588,85
80689,BEST WESTERN Georgetown Hotel & Suites,18.748344370860927,151
295751,"Mandarin Oriental, Washington D.C.",20.07,300
125477,Club Quarters,19.65921787709497,179
84083,Washington Marriott,22.085972850678733,221
308189,Kellogg Conference Hotel at Gallaudet University,15.701754385964913,57
120559,DoubleTree Hotel Washington DC,20.587677725118482,211
1197032,Loftstel / Washington,17.0,4
1528551,Motel 6 Washington DC/Convention Center,8.333333333333334,9
84060,The Embassy Row Hotel,20.95744680851064,47
84120,The Latham Hotel,16.446351931330472,233
84051,Days Inn Connecticut Ave.,19.75686274509804,255
84078,Hyatt Regency Washington on Capitol Hill,19.985401459854014,548
123837,Quality Inn Washington,10.662162162162161,74
120613,Four Points by Sheraton,18.910828025477706,314
84033,The Allen Lee,11.060975609756097,82
84076,Howard Johnson Express Inn - Washington,10.241379310344827,58
219444,Washington Marriott Wardman Park,20.062626262626264,495
1204691,Quality Inn & Suites Laurel,28.0,2
84026,The Watergate Hotel,12.453125,64
1095352,Georgetown Hill Inn,10.357142857142858,14
84134,Motel 6 Washington DC,12.214285714285714,56
217083,Days Inn Gateway,14.5,26
75021,Windsor Park Hotel,17.914285714285715,70
1212709,District Hotel Washington,12.566801619433198,247
123974,Comfort Inn & Suites New York Avenue,15.32183908045977,87
1515599,Executive Apartments,31.166666666666668,6
84044,Windsor Inn,17.755102040816325,98
939375,"Fairfield Inn & Suites Washington, DC/New York Avenue",19.4468085106383,47
225099,Georgetown University Hotel and Conference Center,16.246575342465754,73
84080,The Quincy,22.947791164658636,249
84029,Georgetown Inn,23.496688741721854,151
120563,"DoubleTree Suites Washington, DC",19.170886075949365,158
84038,Channel Inn Hotel,14.846153846153847,143
84068,Harrington Hotel,17.758389261744966,447
84072,Holiday Inn Washington - Georgetown,17.1875,144
80708,Capitol Skyline Hotel,21.236051502145923,233
266091,"Melrose Hotel, Washington DC",18.198511166253102,403
120585,"The Westin Washington, D.C. City Center",21.660377358490567,106
1237013,"Courtyard Washington, DC / U.S. Capitol",22.568627450980394,51
217767,The Churchill Hotel,20.46439628482972,323
84081,L'Enfant Plaza Hotel,19.3257328990228,614
84052,Courtyard by Marriott Washington DC \ Dupont Circle,19.444444444444443,117
240271,Georgetown Suites,20.969162995594715,227
84073,Holiday Inn Washington - Central / White House,19.699570815450645,233
120614,Hamilton Crowne Plaza Hotel,19.611764705882354,425
84074,Holiday Inn Washington - Capitol,20.882661996497372,571
120566,The Mansion on O Street,19.73913043478261,46
84032,Hotel Monticello,21.233576642335766,137
600107,Courtyard Washington Capitol Hill/Navy Yard,24.217105263157894,152
84069,The Henley Park Hotel,20.65,200
1456261,W Washington DC,25.233870967741936,372
84101,"Renaissance Washington, DC Dupont Circle Hotel",21.13888888888889,252
84067,Grand Hyatt Washington,21.09653092006033,663
84137,Washington Hilton,23.786585365853657,328
84107,Capital Hilton,21.048828125,512
84064,"Embassy Suites Hotel Washington, D.C.",23.868194842406876,698
84095,Washington Plaza,18.557932263814617,561
84087,Omni Shoreham Hotel,23.005911330049262,1015
84104,State Plaza Hotel,20.512135922330096,412
84113,Beacon Hotel & Corporate Quarters,22.595988538681947,349
1224560,The Eldon Luxury Suites,22.669291338582678,127
84098,"Renaissance Washington, DC Hotel",21.45303867403315,362
224337,"Homewood Suites Washington, DC",21.011764705882353,255
84096,"The Mayflower Renaissance Washington, DC Hotel",21.46590909090909,440
84084,Morrison-Clark Historic Inn,21.397590361445783,166
84062,Embassy Suites Chevy Chase Pavilion,23.638297872340427,235
84100,The River Inn,22.866477272727273,352
84086,The Normandy Hotel,20.080357142857142,224
220047,Courtyard by Marriott Washington Convention Center,22.595348837209304,215
220076,St. Gregory Hotel & Suites,23.221674876847292,406
84125,"The Fairfax at Embassy Row, a Starwood Luxury Collection Hotel",25.475655430711612,267
84079,JW Marriott Washington DC,22.53321364452424,557
223897,Residence Inn Washington/Dupont Circle,20.86813186813187,91
223900,Residence Inn Washington DC / Vermont Ave.,22.789473684210527,133
84066,George Washington University Inn,21.253164556962027,158
84039,One Washington Circle Hotel,21.080128205128204,312
84070,Washington Marriott at Metro Center,23.757861635220127,318
84048,Capitol Hill Hotel,23.205607476635514,321
498949,"Hampton Inn Washington, DC-Convention Center",23.8407960199005,402
125476,"Fairfield Inn & Suites Washington, DC / Downtown",25.049180327868854,61
84129,Washington Court Hotel on Capitol Hill,22.270194986072422,359
939976,Donovan House - A Kimpton Hotel,4.666666666666667,9
114575,"The St. Regis Washington, D.C.",27.290983606557376,244
84041,Phoenix Park Hotel,24.186486486486487,370
2038749,Hilton Garden Inn Washington DC/US Capitol,26.64406779661017,59
84115,"Madera, a Kimpton Hotel",24.103746397694525,347
223032,Avenue Suites Georgetown,4.666666666666667,3
84075,"Helix, a Kimpton Hotel",23.93570219966159,591
240907,"Monaco Washington DC, a Kimpton Hotel",23.82869379014989,467
84058,The Dupont Circle Hotel,25.66898148148148,432
84047,"Topaz, a Kimpton Hotel",24.53846153846154,455
