Hotel ID,Hotel Name,Total Rating,Overall Customers
253068,"The Ritz-Carlton, Georgetown",25.320388349514563,103
225100,"The Ritz-Carlton, Washington DC",23.29032258064516,186
84092,"Rouge, a Kimpton Hotel",24.79194630872483,596
84127,Savoy Suites Hotel,25.50194552529183,257
214097,"The Westin Georgetown, Washington D.C.",24.576427255985266,543
557199,AKA White House,26.34375,64
574805,Embassy Suites Washington-Convention Center,25.19691780821918,584
84082,Hotel Lombardy,23.274122807017545,456
498950,"Residence Inn Washington, DC/Capitol",25.417582417582416,273
220075,"Hilton Garden Inn Washington, DC Downtown",23.25176056338028,568
84132,Comfort Inn Downtown DC / Convention Center,23.359649122807017,228
295751,"Mandarin Oriental, Washington D.C.",21.587570621468927,354
223893,Courtyard Washington Embassy Row,21.146551724137932,116
223031,Holiday Inn Express Hotel & Suites Washington DC-Northeast,22.822222222222223,90
80689,BEST WESTERN Georgetown Hotel & Suites,19.7125748502994,167
120592,Tabard Inn,18.431818181818183,88
125477,Club Quarters,20.090425531914892,188
84083,Washington Marriott,22.5,250
308189,Kellogg Conference Hotel at Gallaudet University,16.1864406779661,59
84078,Hyatt Regency Washington on Capitol Hill,20.66875,640
120559,DoubleTree Hotel Washington DC,21.038297872340426,235
219444,Washington Marriott Wardman Park,21.047202797202797,572
84060,The Embassy Row Hotel,21.944444444444443,72
1197032,Loftstel / Washington,17.0,4
1528551,Motel 6 Washington DC/Convention Center,9.4,10
84051,Days Inn Connecticut Ave.,20.12274368231047,277
120613,Four Points by Sheraton,19.96961325966851,362
84120,The Latham Hotel,17.19291338582677,254
123837,Quality Inn Washington,11.2375,80
84033,The Allen Lee,11.329545454545455,88
84076,Howard Johnson Express Inn - Washington,10.73015873015873,63
1204691,Quality Inn & Suites Laurel,28.0,2
84026,The Watergate Hotel,12.453125,64
1095352,Georgetown Hill Inn,11.625,16
84134,Motel 6 Washington DC,12.228070175438596,57
217083,Days Inn Gateway,14.655172413793103,29
1212709,District Hotel Washington,12.645283018867925,265
75021,Windsor Park Hotel,18.06756756756757,74
123974,Comfort Inn & Suites New York Avenue,15.979591836734693,98
1218625,Wyndham,32.0,1
1515599,Executive Apartments,31.714285714285715,7
84044,Windsor Inn,17.897196261682243,107
939375,"Fairfield Inn & Suites Washington, DC/New York Avenue",20.589285714285715,56
225099,Georgetown University Hotel and Conference Center,16.94871794871795,78
120563,"DoubleTree Suites Washington, DC",20.682051282051283,195
84068,Harrington Hotel,18.272727272727273,484
84080,The Quincy,23.266666666666666,270
84038,Channel Inn Hotel,15.68452380952381,168
84029,Georgetown Inn,23.214285714285715,168
80708,Capitol Skyline Hotel,21.595667870036102,277
84072,Holiday Inn Washington - Georgetown,17.608695652173914,161
266091,"Melrose Hotel, Washington DC",18.398126463700233,427
120585,"The Westin Washington, D.C. City Center",22.86060606060606,165
1237013,"Courtyard Washington, DC / U.S. Capitol",23.366197183098592,71
84081,L'Enfant Plaza Hotel,19.791176470588237,680
217767,The Churchill Hotel,20.76685393258427,356
84052,Courtyard by Marriott Washington DC \ Dupont Circle,19.948529411764707,136
240271,Georgetown Suites,21.345238095238095,252
84073,Holiday Inn Washington - Central / White House,20.571428571428573,259
84074,Holiday Inn Washington - Capitol,21.372827804107423,633
120614,Hamilton Crowne Plaza Hotel,20.134490238611715,461
1456261,W Washington DC,25.705479452054796,438
84032,Hotel Monticello,21.85135135135135,148
120566,The Mansion on O Street,19.72,50
84069,The Henley Park Hotel,21.50214592274678,233
600107,Courtyard Washington Capitol Hill/Navy Yard,24.61849710982659,173
84101,"Renaissance Washington, DC Dupont Circle Hotel",21.87410071942446,278
84067,Grand Hyatt Washington,21.860103626943005,772
84137,Washington Hilton,24.430205949656752,437
84107,Capital Hilton,22.02,600
84064,"Embassy Suites Hotel Washington, D.C.",24.49425287356322,783
84087,Omni Shoreham Hotel,23.44622222222222,1125
84095,Washington Plaza,19.47244094488189,635
84113,Beacon Hotel & Corporate Quarters,23.24815724815725,407
84104,State Plaza Hotel,20.922566371681416,452
84098,"Renaissance Washington, DC Hotel",21.946601941747574,412
84096,"The Mayflower Renaissance Washington, DC Hotel",22.08817635270541,499
1224560,The Eldon Luxury Suites,23.3265306122449,147
224337,"Homewood Suites Washington, DC",21.530249110320284,281
84084,Morrison-Clark Historic Inn,22.126315789473683,190
84062,Embassy Suites Chevy Chase Pavilion,23.830645161290324,248
84086,The Normandy Hotel,21.38867924528302,265
84100,The River Inn,23.335917312661497,387
220047,Courtyard by Marriott Washington Convention Center,23.407258064516128,248
220076,St. Gregory Hotel & Suites,23.89384288747346,471
84125,"The Fairfax at Embassy Row, a Starwood Luxury Collection Hotel",26.333333333333332,324
84079,JW Marriott Washington DC,23.407738095238095,672
223897,Residence Inn Washington/Dupont Circle,22.827272727272728,110
84066,George Washington University Inn,22.454054054054055,185
223900,Residence Inn Washington DC / Vermont Ave.,23.80392156862745,153
84039,One Washington Circle Hotel,21.6045197740113,354
84070,Washington Marriott at Metro Center,24.446280991735538,363
84048,Capitol Hill Hotel,23.738888888888887,360
498949,"Hampton Inn Washington, DC-Convention Center",24.256756756756758,444
125476,"Fairfield Inn & Suites Washington, DC / Downtown",26.84313725490196,102
84129,Washington Court Hotel on Capitol Hill,22.681818181818183,418
939976,Donovan House - A Kimpton Hotel,17.761904761904763,21
84041,Phoenix Park Hotel,24.51058823529412,425
2038749,Hilton Garden Inn Washington DC/US Capitol,27.157894736842106,114
114575,"The St. Regis Washington, D.C.",27.557142857142857,280
84115,"Madera, a Kimpton Hotel",24.827676240208877,383
223032,Avenue Suites Georgetown,4.5,4
84075,"Helix, a Kimpton Hotel",24.511415525114156,657
240907,"Monaco Washington DC, a Kimpton Hotel",24.88021778584392,551
84058,The Dupont Circle Hotel,26.106796116504853,515
1026016,"The Liaison Capitol Hill, An Affinia Hotel",24.575976845151953,691
84047,"Topaz, a Kimpton Hotel",24.852,500
217770,The Fairmont Washington DC,24.795652173913044,460
84131,Willard InterContinental Washington,24.39830508474576,472
84118,"The Jefferson, Washington DC",29.715447154471544,123
84065,Four Seasons Washington D.C.,25.035714285714285,140
84109,Carlyle Suites Hotel,25.92738589211618,482
84090,Park Hyatt Washington,27.119718309859156,284
84122,The Madison,27.58951965065502,229
120556,"Hotel George, a Kimpton Hotel",27.297709923664122,655
235513,Sofitel Washington DC,27.07615230460922,998
84093,"Palomar Washington DC, a Kimpton Hotel",28.0278699402787,1507
84117,The Hay-Adams,23.588,250
