Hotel ID,Hotel Name,Total Rating,Overall Customers
253068,"The Ritz-Carlton, Georgetown",26.21951219512195,123
225100,"The Ritz-Carlton, Washington DC",25.185185185185187,243
84092,"Rouge, a Kimpton Hotel",25.356028368794327,705
84127,Savoy Suites Hotel,26.54691689008043,373
214097,"The Westin Georgetown, Washington D.C.",25.307098765432098,648
574805,Embassy Suites Washington-Convention Center,26.01109570041609,721
84082,Hotel Lombardy,24.92295081967213,610
220075,"Hilton Garden Inn Washington, DC Downtown",24.66314398943197,757
557199,AKA White House,27.217391304347824,115
498950,"Residence Inn Washington, DC/Capitol",25.386996904024766,323
84132,Comfort Inn Downtown DC / Convention Center,24.967532467532468,308
84064,"Embassy Suites Hotel Washington, D.C.",25.093023255813954,946
84087,Omni Shoreham Hotel,24.158610271903324,1324
295751,"Mandarin Oriental, Washington D.C.",23.01762114537445,454
84095,Washington Plaza,21.11378002528445,791
223893,Courtyard Washington Embassy Row,22.021428571428572,140
80689,BEST WESTERN Georgetown Hotel & Suites,20.975490196078432,204
125477,Club Quarters,21.333333333333332,237
223031,Holiday Inn Express Hotel & Suites Washington DC-Northeast,23.293577981651374,109
84083,Washington Marriott,22.97452229299363,314
120592,Tabard Inn,19.99137931034483,116
84078,Hyatt Regency Washington on Capitol Hill,21.513689700130378,767
219444,Washington Marriott Wardman Park,21.863636363636363,748
308189,Kellogg Conference Hotel at Gallaudet University,17.985714285714284,70
120559,DoubleTree Hotel Washington DC,21.68661971830986,284
84060,The Embassy Row Hotel,24.189873417721518,158
120613,Four Points by Sheraton,20.74022988505747,435
84051,Days Inn Connecticut Ave.,20.601769911504423,339
84120,The Latham Hotel,17.221052631578946,285
1528551,Motel 6 Washington DC/Convention Center,10.0,12
1197032,Loftstel / Washington,17.0,4
123837,Quality Inn Washington,12.300970873786408,103
84033,The Allen Lee,12.336633663366337,101
84076,Howard Johnson Express Inn - Washington,11.444444444444445,72
84134,Motel 6 Washington DC,13.390625,64
217083,Days Inn Gateway,16.975,40
1204691,Quality Inn & Suites Laurel,28.0,2
84026,The Watergate Hotel,12.453125,64
1212709,District Hotel Washington,12.900343642611684,291
1095352,Georgetown Hill Inn,11.625,16
75021,Windsor Park Hotel,17.962025316455698,79
123974,Comfort Inn & Suites New York Avenue,16.73170731707317,123
1515599,Executive Apartments,29.583333333333332,12
1218625,Wyndham,32.0,1
939375,"Fairfield Inn & Suites Washington, DC/New York Avenue",21.075757575757574,66
84072,Holiday Inn Washington - Georgetown,19.42982456140351,228
84044,Windsor Inn,18.195121951219512,123
84038,Channel Inn Hotel,17.31275720164609,243
84068,Harrington Hotel,18.788497217068645,539
80708,Capitol Skyline Hotel,21.95977011494253,348
120563,"DoubleTree Suites Washington, DC",21.016949152542374,236
225099,Georgetown University Hotel and Conference Center,18.123711340206185,97
84080,The Quincy,23.82445141065831,319
84029,Georgetown Inn,23.305418719211822,203
84081,L'Enfant Plaza Hotel,20.380510440835266,862
266091,"Melrose Hotel, Washington DC",19.22920892494929,493
120585,"The Westin Washington, D.C. City Center",23.767857142857142,280
1237013,"Courtyard Washington, DC / U.S. Capitol",24.930434782608696,115
217767,The Churchill Hotel,21.341645885286784,401
84074,Holiday Inn Washington - Capitol,22.04642409033877,797
240271,Georgetown Suites,22.2125,320
84052,Courtyard by Marriott Washington DC \ Dupont Circle,21.397590361445783,166
84073,Holiday Inn Washington - Central / White House,21.54711246200608,329
120614,Hamilton Crowne Plaza Hotel,21.17086330935252,556
1456261,W Washington DC,25.22380106571936,563
84067,Grand Hyatt Washington,22.7007299270073,959
84137,Washington Hilton,24.525993883792047,654
84032,Hotel Monticello,21.753333333333334,150
120566,The Mansion on O Street,20.517857142857142,56
84069,The Henley Park Hotel,22.407665505226483,287
600107,Courtyard Washington Capitol Hill/Navy Yard,24.92920353982301,226
84101,"Renaissance Washington, DC Dupont Circle Hotel",22.765395894428153,341
84107,Capital Hilton,22.947510094212653,743
84096,"The Mayflower Renaissance Washington, DC Hotel",23.093655589123866,662
84104,State Plaza Hotel,22.293577981651374,545
84098,"Renaissance Washington, DC Hotel",23.200374531835205,534
84113,Beacon Hotel & Corporate Quarters,23.78323108384458,489
1224560,The Eldon Luxury Suites,24.147727272727273,176
224337,"Homewood Suites Washington, DC",22.322085889570552,326
84084,Morrison-Clark Historic Inn,23.3135593220339,236
220047,Courtyard by Marriott Washington Convention Center,24.44336569579288,309
84062,Embassy Suites Chevy Chase Pavilion,24.164473684210527,304
84100,The River Inn,24.426724137931036,464
84086,The Normandy Hotel,22.8006230529595,321
220076,St. Gregory Hotel & Suites,24.50632911392405,553
84125,"The Fairfax at Embassy Row, a Starwood Luxury Collection Hotel",26.488425925925927,432
84079,JW Marriott Washington DC,24.435897435897434,858
84039,One Washington Circle Hotel,22.705882352941178,425
84070,Washington Marriott at Metro Center,25.05156950672646,446
223900,Residence Inn Washington DC / Vermont Ave.,24.641711229946523,187
498949,"Hampton Inn Washington, DC-Convention Center",25.05751391465677,539
84066,George Washington University Inn,23.045871559633028,218
223897,Residence Inn Washington/Dupont Circle,24.25179856115108,139
125476,"Fairfield Inn & Suites Washington, DC / Downtown",27.510526315789473,190
84129,Washington Court Hotel on Capitol Hill,23.3648393194707,529
84048,Capitol Hill Hotel,24.695150115473442,433
939976,Donovan House - A Kimpton Hotel,27.095541401273884,157
2038749,Hilton Garden Inn Washington DC/US Capitol,27.938388625592417,211
84041,Phoenix Park Hotel,25.169590643274855,513
1026016,"The Liaison Capitol Hill, An Affinia Hotel",25.602536997885835,946
114575,"The St. Regis Washington, D.C.",27.580357142857142,336
84115,"Madera, a Kimpton Hotel",25.5021645021645,462
84075,"Helix, a Kimpton Hotel",25.039190897597976,791
84058,The Dupont Circle Hotel,26.652236652236653,693
240907,"Monaco Washington DC, a Kimpton Hotel",25.55775075987842,658
223032,Avenue Suites Georgetown,27.45614035087719,57
84047,"Topaz, a Kimpton Hotel",25.725,600
84122,The Madison,28.856,500
84131,Willard InterContinental Washington,25.22222222222222,594
217770,The Fairmont Washington DC,25.55772646536412,563
84109,Carlyle Suites Hotel,27.022662889518415,706
84118,"The Jefferson, Washington DC",29.858895705521473,163
84065,Four Seasons Washington D.C.,26.74871794871795,195
84090,Park Hyatt Washington,27.4925,400
120556,"Hotel George, a Kimpton Hotel",27.508663366336634,808
235513,Sofitel Washington DC,27.502899751449874,1207
84093,"Palomar Washington DC, a Kimpton Hotel",28.136160714285715,1792
84117,The Hay-Adams,24.9672131147541,305
