Hotel ID,Hotel Name,Total Rating,Overall Customers
88401,Fairfield Inn Jacksonville Airport,3.0,1
120161,Red Roof Inn Jacksonville - Orange Park,2.0,1
261234,Wingate by Wyndham Jacksonville Airport,5.0,1
84650,Quality Inn Conference Center,1.0,1
120157,Scottish Inn,1.0,2
88429,Stars Rest Inn,4.0,6
88405,Baymeadows Inn & Suites,1.0,1
88416,Hampton Inn Jacksonville - I-95 South,2.0,1
84660,Red Carpet Inn,1.0,3
84617,America's Best Inn Jacksonville,1.0,1
84635,Quality Inn & Suites Baymeadows,5.0,1
120167,Motel 6 Jacksonville Southeast,19.0,1
120131,Kings Inn,1.0,1
120141,The Beach Landing Motel,5.0,1
88444,Diamond Inn Motel Jacksonville West,1.0,2
226993,Homestead Studio Suites - Jacksonville - Baymeadows,3.0,2
294735,Knights Inn Jacksonville,1.0,1
239840,Suburban Extended Stay Hotel of Jacksonville / Baymeadows,1.0,1
84656,BEST WESTERN Hotel JTB / Southpoint,4.0,1
120109,Microtel Inn & Suites by Wyndham Jacksonville/Near Butler Blvd,2.0,1
120124,The Inn at Mayo Clinic,3.0,3
120160,Red Roof Inn - Jacksonville Airport,2.0,1
88403,Jacksonville Airport Hotel,3.4,5
247710,Wingate by Wyndham Jacksonville / Mayo Clinic Area,5.0,1
120153,SpringHill Suites Jacksonville / Deerwood,5.0,2
120135,Jameson Inn,1.0,2
84636,Courtyard Jacksonville Mayo Clinic/Beaches,4.0,1
252242,Hospitality Inn,5.0,2
88395,La Quinta Inn Jacksonville Airport North,1.0,1
88410,Homewood Suites by Hilton Jacksonville,5.0,2
84647,Embassy Suites Hotel Jacksonville - Baymeadows,4.0,1
120138,Comfort Suites Airport,4.0,2
88408,Ramada Conference Center Mandarin,3.0,1
88442,La Quinta Inn & Suites Jacksonville Butler Blvd,4.0,1
120177,"Country Inn & Suites By Carlson, Jacksonville",8.5,2
84655,Omni Jacksonville Hotel,4.909090909090909,11
88460,Crowne Plaza Jacksonville Riverfront Hotel,3.4285714285714284,7
1223992,Wingate by Wyndam Jacksonville South,4.285714285714286,7
