Hotel ID,Hotel Name,Total Rating,Overall Customers
1503358,Hampton Inn & Suites Beach Boulevard/Mayo Clinic Area,29.0,2
656530,Hampton Inn Jacksonville-I-295 East/Baymeadows,28.4,20
88401,Fairfield Inn Jacksonville Airport,19.6875,16
120174,Hilton Garden Inn Jacksonville JTB / Deerwood Park,24.846153846153847,26
120161,Red Roof Inn Jacksonville - Orange Park,19.4,10
813034,Holiday Inn Jacksonville E 295 Baymeadows,30.096774193548388,31
120159,Red Roof Inn - Southpoint,22.764705882352942,17
866480,SpringHill Suites Jacksonville Airport,24.68,25
261234,Wingate by Wyndham Jacksonville Airport,21.027027027027028,37
816774,Microtel Inn & Suites by Wyndham Jacksonville Airport,25.791666666666668,24
553883,Homewood Suites by Hilton Jacksonville-South/St. Johns Ctr.,24.666666666666668,18
1165021,Holiday Inn Express & Suites Jacksonville - Blount Island,21.764705882352942,17
659250,Comfort Suites Jacksonville I-295,27.454545454545453,11
84644,Super 8 Motel Jacksonville,12.0,1
88425,Extended Stay Deluxe - Jacksonville - Butler Blvd.,17.142857142857142,7
84653,Super 8 Jacksonville South,24.666666666666668,3
84659,EconoLodge,19.545454545454547,33
295756,Hampton Inn Jacksonville East Regency Square,20.636363636363637,11
84650,Quality Inn Conference Center,13.705882352941176,17
88468,Candlewood Suites - Jacksonville,24.285714285714285,14
120158,Regency Inn Jacksonville,5.714285714285714,7
1024967,Country Inn & Suites Jacksonville West,22.923076923076923,13
564631,Country Hearth Inn Jacksonville Airport,9.0,4
243711,Motel 6 Jacksonville - Orange Park,25.0,1
120106,Motel 6 Jacksonville Airport,9.11111111111111,9
120157,Scottish Inn,5.9,10
1025998,Holiday Inn Express Hotel & Suites Chaffee,22.25,4
120170,La Quinta Inn Jacksonville Baymeadows,14.941176470588236,17
88405,Baymeadows Inn & Suites,11.2,10
88416,Hampton Inn Jacksonville - I-95 South,21.266666666666666,15
88429,Stars Rest Inn,7.538461538461538,13
120128,Super 8 Jacksonville/Orange Park,10.428571428571429,7
84664,Studio 6 Jacksonville - Baymeadows,12.875,8
84635,Quality Inn & Suites Baymeadows,16.217391304347824,23
84656,BEST WESTERN Hotel JTB / Southpoint,14.823529411764707,34
88451,Howard Johnson Inn and Suites Jacksonville,23.085714285714285,35
88449,Budget Inn,7.0,2
88447,Econo Lodge - Jacksonville,11.0,3
84660,Red Carpet Inn,2.5,8
555377,Executive Inn,7.0,2
226993,Homestead Studio Suites - Jacksonville - Baymeadows,16.666666666666668,6
656584,Comfort Suites Jacksonville,23.545454545454547,11
84617,America's Best Inn Jacksonville,5.0,3
88463,Extended Stay America - Jacksonville - Butler Blvd.,6.75,4
120167,Motel 6 Jacksonville Southeast,14.9,10
88436,Homestead Studio Suites - Jacksonville - Salisbury Rd. - Southpoint,23.4,5
120131,Kings Inn,11.2,5
294735,Knights Inn Jacksonville,15.5,6
84626,River City Inn,17.0,3
120141,The Beach Landing Motel,5.0,1
88444,Diamond Inn Motel Jacksonville West,1.0,2
84637,Jaxport Inn,6.166666666666667,6
239840,Suburban Extended Stay Hotel of Jacksonville / Baymeadows,14.125,8
120109,Microtel Inn & Suites by Wyndham Jacksonville/Near Butler Blvd,13.857142857142858,21
256866,Sun Suites Of Jacksonville,11.615384615384615,13
1164991,Homestead Studio Suites - Jacksonville - Southside - St. Johns Towne Center,14.875,8
88403,Jacksonville Airport Hotel,15.263157894736842,57
1174688,Aloft Jacksonville Airport,24.5,22
120171,Super 8 Jacksonville Central,20.0,7
120124,The Inn at Mayo Clinic,17.0,19
88423,Extended Stay Deluxe - Jacksonville - Deerwood Park,22.0,8
88456,Holiday Inn Jacksonville - I-95 & Baymeadows,18.95,20
224590,Hilton Garden Inn Jacksonville Airport,23.653846153846153,26
268199,Travelodge Inn & Suites Jacksonville Airport,16.083333333333332,24
88440,La Quinta Inn Jacksonville Orange Park,16.214285714285715,14
120160,Red Roof Inn - Jacksonville Airport,11.764705882352942,17
120153,SpringHill Suites Jacksonville / Deerwood,16.263157894736842,19
120135,Jameson Inn,26.675675675675677,37
1235363,BEST WESTERN PLUS Cecil Field Inn & Suites,25.666666666666668,3
1235779,Candlewood Suites East Merril Road,25.0,1
88400,BEST WESTERN Jacksonville Airport,21.88888888888889,45
1415635,Holiday Inn Express Hotel & Suites Jacksonville - Mayport / Beach,19.8,5
247710,Wingate by Wyndham Jacksonville / Mayo Clinic Area,21.956521739130434,23
1164378,TownePlace Suites by Marriott Jacksonville Butler Boulevard,24.333333333333332,9
252242,Hospitality Inn,25.066666666666666,15
88406,Residence Inn Jacksonville Butler Boulevard,20.61111111111111,18
120117,Residence Inn Jacksonville Airport,20.444444444444443,9
88402,Courtyard by Marriott Jacksonville Airport/Northeast,19.0,12
84647,Embassy Suites Hotel Jacksonville - Baymeadows,18.119402985074625,67
88465,Courtyard by Marriott Jacksonville Butler Boulevard,23.363636363636363,11
226846,Comfort Suites Baymeadows,13.2,5
88395,La Quinta Inn Jacksonville Airport North,13.916666666666666,24
120147,Quality Inn Airport,8.090909090909092,11
84636,Courtyard Jacksonville Mayo Clinic/Beaches,18.75,16
88410,Homewood Suites by Hilton Jacksonville,18.0,29
1450901,Homewood Suites by Hilton Jacksonville Downtown/Southbank,27.785714285714285,14
88398,Crowne Plaza Jacksonville Airport Hotel,28.22222222222222,9
84661,Residence Inn Jacksonville Baymeadows,17.235294117647058,17
84642,Radisson Jacksonville Butler Boulevard,21.108695652173914,46
120111,Jacksonville Plaza Hotel & Suites,22.23076923076923,52
514468,Hampton Inn I-10 West Jacksonville,21.857142857142858,7
84655,Omni Jacksonville Hotel,18.964285714285715,112
120138,Comfort Suites Airport,19.529411764705884,17
88417,Hampton Inn Jacksonville-Downtown-I-95,22.708333333333332,24
610906,Hampton Inn & Suites Jacksonville-Airport,25.3,30
1450903,Hilton Garden Inn Jacksonville Downtown/Southbank,26.166666666666668,12
88408,Ramada Conference Center Mandarin,19.066666666666666,15
1127473,Sheraton Jacksonville,24.428571428571427,21
120186,La Quinta Inn & Suites Jacksonville Mandarin,20.142857142857142,21
88442,La Quinta Inn & Suites Jacksonville Butler Blvd,17.470588235294116,34
84654,Jacksonville Marriott,19.727272727272727,22
223246,Holiday Inn Express Jacksonville,13.642857142857142,14
88460,Crowne Plaza Jacksonville Riverfront Hotel,21.329896907216494,97
1176973,Four Points by Sheraton Jacksonville Baymeadows,25.416666666666668,12
653217,Fairfield Inn & Suites Jacksonville Butler Boulevard,23.692307692307693,13
472259,Hampton Inn & Suites Jacksonville-Southside Blvd-Deerwood Pk,25.192307692307693,26
120177,"Country Inn & Suites By Carlson, Jacksonville",17.166666666666668,12
1391989,Courtyard by Marriott I-295/East Beltway,28.875,16
88458,Holiday Inn Express Hotel & Suites Jacksonville South,25.19736842105263,76
1566763,Fairfield Inn & Suites Jacksonville West/Chaffee Point,35.0,1
816772,Staybridge Suites Jacksonville,28.53030303030303,66
1549318,Sleep Inn & Suites - Jacksonville,33.142857142857146,7
84658,Wyndham Jacksonville Riverwalk,18.064935064935064,77
1214730,Hotel Indigo Jacksonville Deerwood Park,29.866666666666667,30
781648,Courtyard by Marriott Jacksonville Flagler Center,27.523809523809526,21
1201207,Hampton Inn & Suites Jacksonville - Bartram Park,29.155555555555555,90
1223992,Wingate by Wyndam Jacksonville South,16.475,40
120123,Hyatt Regency Jacksonville Riverfront,18.67361111111111,144
1231084,Hyatt Place Jacksonville Airport,29.42105263157895,38
