Hotel ID,Hotel Name,Total Rating,Overall Customers
120174,Hilton Garden Inn Jacksonville JTB / Deerwood Park,26.88679245283019,53
656530,Hampton Inn Jacksonville-I-295 East/Baymeadows,28.47222222222222,36
88401,Fairfield Inn Jacksonville Airport,23.029411764705884,34
1503358,Hampton Inn & Suites Beach Boulevard/Mayo Clinic Area,27.352941176470587,17
866480,SpringHill Suites Jacksonville Airport,26.571428571428573,77
813034,Holiday Inn Jacksonville E 295 Baymeadows,29.229508196721312,61
120159,Red Roof Inn - Southpoint,27.24074074074074,54
120161,Red Roof Inn Jacksonville - Orange Park,25.862068965517242,29
816774,Microtel Inn & Suites by Wyndham Jacksonville Airport,25.576923076923077,52
261234,Wingate by Wyndham Jacksonville Airport,23.333333333333332,54
1165021,Holiday Inn Express & Suites Jacksonville - Blount Island,26.50877192982456,57
659250,Comfort Suites Jacksonville I-295,29.456521739130434,46
553883,Homewood Suites by Hilton Jacksonville-South/St. Johns Ctr.,25.515151515151516,33
120135,Jameson Inn,27.97142857142857,70
84656,BEST WESTERN Hotel JTB / Southpoint,23.147368421052633,95
84644,Super 8 Motel Jacksonville,23.5,2
1026989,Value Place Merill Rd,26.0,6
84659,EconoLodge,19.926829268292682,41
84653,Super 8 Jacksonville South,22.545454545454547,11
88425,Extended Stay Deluxe - Jacksonville - Butler Blvd.,19.25,12
295756,Hampton Inn Jacksonville East Regency Square,21.642857142857142,14
1025998,Holiday Inn Express Hotel & Suites Chaffee,24.470588235294116,17
1024967,Country Inn & Suites Jacksonville West,24.45,20
84650,Quality Inn Conference Center,16.56,25
88468,Candlewood Suites - Jacksonville,24.714285714285715,21
120158,Regency Inn Jacksonville,5.75,8
243711,Motel 6 Jacksonville - Orange Park,13.333333333333334,3
88416,Hampton Inn Jacksonville - I-95 South,22.48148148148148,27
564631,Country Hearth Inn Jacksonville Airport,10.6,5
88405,Baymeadows Inn & Suites,11.571428571428571,21
120106,Motel 6 Jacksonville Airport,9.583333333333334,12
120157,Scottish Inn,6.076923076923077,13
120170,La Quinta Inn Jacksonville Baymeadows,17.46153846153846,26
88451,Howard Johnson Inn and Suites Jacksonville,24.224137931034484,58
88429,Stars Rest Inn,8.266666666666667,15
120128,Super 8 Jacksonville/Orange Park,8.454545454545455,11
84664,Studio 6 Jacksonville - Baymeadows,13.0,9
84635,Quality Inn & Suites Baymeadows,15.03225806451613,31
1174688,Aloft Jacksonville Airport,22.692307692307693,65
88449,Budget Inn,8.0,3
88447,Econo Lodge - Jacksonville,11.0,3
120109,Microtel Inn & Suites by Wyndham Jacksonville/Near Butler Blvd,12.90625,32
226993,Homestead Studio Suites - Jacksonville - Baymeadows,13.666666666666666,9
84660,Red Carpet Inn,2.5,8
656584,Comfort Suites Jacksonville,20.642857142857142,14
555377,Executive Inn,7.0,2
84617,America's Best Inn Jacksonville,10.0,6
239840,Suburban Extended Stay Hotel of Jacksonville / Baymeadows,15.1875,16
1164991,Homestead Studio Suites - Jacksonville - Southside - St. Johns Towne Center,14.071428571428571,14
88463,Extended Stay America - Jacksonville - Butler Blvd.,11.666666666666666,6
88436,Homestead Studio Suites - Jacksonville - Salisbury Rd. - Southpoint,21.22222222222222,9
120167,Motel 6 Jacksonville Southeast,17.857142857142858,14
88403,Jacksonville Airport Hotel,15.114285714285714,70
120131,Kings Inn,12.166666666666666,6
294735,Knights Inn Jacksonville,13.777777777777779,9
256866,Sun Suites Of Jacksonville,14.166666666666666,18
84637,Jaxport Inn,13.272727272727273,11
84626,River City Inn,17.0,3
120141,The Beach Landing Motel,5.0,1
88444,Diamond Inn Motel Jacksonville West,1.0,2
120171,Super 8 Jacksonville Central,16.0,15
88456,Holiday Inn Jacksonville - I-95 & Baymeadows,18.71875,32
84647,Embassy Suites Hotel Jacksonville - Baymeadows,18.28440366972477,109
120124,The Inn at Mayo Clinic,19.142857142857142,28
224590,Hilton Garden Inn Jacksonville Airport,24.486486486486488,37
88440,La Quinta Inn Jacksonville Orange Park,19.62962962962963,27
268199,Travelodge Inn & Suites Jacksonville Airport,15.024390243902438,41
88423,Extended Stay Deluxe - Jacksonville - Deerwood Park,21.545454545454547,11
120160,Red Roof Inn - Jacksonville Airport,17.0,27
88400,BEST WESTERN Jacksonville Airport,22.357142857142858,70
120153,SpringHill Suites Jacksonville / Deerwood,20.655172413793103,29
1235363,BEST WESTERN PLUS Cecil Field Inn & Suites,22.166666666666668,6
1235779,Candlewood Suites East Merril Road,23.2,10
247710,Wingate by Wyndham Jacksonville / Mayo Clinic Area,22.848484848484848,33
88465,Courtyard by Marriott Jacksonville Butler Boulevard,23.703703703703702,27
1415635,Holiday Inn Express Hotel & Suites Jacksonville - Mayport / Beach,26.294117647058822,17
1946045,Aloft Jacksonville Tapestry Park,20.764705882352942,34
1164378,TownePlace Suites by Marriott Jacksonville Butler Boulevard,23.8,15
88406,Residence Inn Jacksonville Butler Boulevard,21.75,28
252242,Hospitality Inn,26.48148148148148,27
120117,Residence Inn Jacksonville Airport,23.55,20
226846,Comfort Suites Baymeadows,20.941176470588236,17
84636,Courtyard Jacksonville Mayo Clinic/Beaches,20.58823529411765,34
84655,Omni Jacksonville Hotel,20.921212121212122,165
88402,Courtyard by Marriott Jacksonville Airport/Northeast,21.38888888888889,18
88395,La Quinta Inn Jacksonville Airport North,16.363636363636363,33
84642,Radisson Jacksonville Butler Boulevard,22.864864864864863,74
88398,Crowne Plaza Jacksonville Airport Hotel,29.393939393939394,33
120147,Quality Inn Airport,19.25,24
120111,Jacksonville Plaza Hotel & Suites,22.168539325842698,89
88410,Homewood Suites by Hilton Jacksonville,20.272727272727273,44
84661,Residence Inn Jacksonville Baymeadows,21.555555555555557,27
1450901,Homewood Suites by Hilton Jacksonville Downtown/Southbank,26.32,25
88417,Hampton Inn Jacksonville-Downtown-I-95,25.47761194029851,67
514468,Hampton Inn I-10 West Jacksonville,19.333333333333332,12
120138,Comfort Suites Airport,20.9,30
88408,Ramada Conference Center Mandarin,23.64864864864865,37
610906,Hampton Inn & Suites Jacksonville-Airport,26.384615384615383,52
1450903,Hilton Garden Inn Jacksonville Downtown/Southbank,25.066666666666666,30
88460,Crowne Plaza Jacksonville Riverfront Hotel,22.454545454545453,154
1127473,Sheraton Jacksonville,25.026315789473685,38
88442,La Quinta Inn & Suites Jacksonville Butler Blvd,20.365384615384617,52
120186,La Quinta Inn & Suites Jacksonville Mandarin,20.16,25
84654,Jacksonville Marriott,21.742857142857144,35
84658,Wyndham Jacksonville Riverwalk,20.297560975609755,205
223246,Holiday Inn Express Jacksonville,18.75,20
1176973,Four Points by Sheraton Jacksonville Baymeadows,27.6,50
88458,Holiday Inn Express Hotel & Suites Jacksonville South,25.666666666666668,126
120177,"Country Inn & Suites By Carlson, Jacksonville",25.41025641025641,39
472259,Hampton Inn & Suites Jacksonville-Southside Blvd-Deerwood Pk,25.4,40
1566763,Fairfield Inn & Suites Jacksonville West/Chaffee Point,27.68421052631579,19
1391989,Courtyard by Marriott I-295/East Beltway,29.0,33
653217,Fairfield Inn & Suites Jacksonville Butler Boulevard,25.82608695652174,23
1549318,Sleep Inn & Suites - Jacksonville,30.161290322580644,62
816772,Staybridge Suites Jacksonville,29.03846153846154,104
120123,Hyatt Regency Jacksonville Riverfront,21.151898734177216,237
1214730,Hotel Indigo Jacksonville Deerwood Park,28.84375,64
781648,Courtyard by Marriott Jacksonville Flagler Center,28.41025641025641,39
1201207,Hampton Inn & Suites Jacksonville - Bartram Park,29.044642857142858,112
1223992,Wingate by Wyndam Jacksonville South,18.150943396226417,53
1231084,Hyatt Place Jacksonville Airport,28.607142857142858,84
