Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,4.0,1
123209,Chateau Hotel,1.0,1
87600,Delaware Towers,4.0,1
90918,Inn at Lincoln Park,4.0,1
123225,Ohio House Motel,2.5,4
87627,Red Roof Inn,1.0,1
87576,Travelodge Chicago Downtown,2.0,1
87573,Chicago's Essex Inn,3.0,1
87656,The Tremont Chicago Hotel at Magnificent Mile,2.0,1
90976,Courtyard by Marriott Chicago Downtown,5.0,1
114600,The Whitehall Hotel,5.0,1
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",5.0,2
87657,The Westin Michigan Avenue Chicago,3.0,2
114608,"Hotel Cass, a Holiday Inn Express",5.0,1
225108,W Chicago Lakeshore,4.0,4
217510,Club Quarters Chicago - Central Loop,4.0,1
220240,W Chicago - City Center,5.0,1
87648,Millennium Knickerbocker Hotel Chicago,5.0,1
87645,The Drake,5.0,2
111500,Omni Chicago Hotel,5.0,1
111486,Hampton Inn & Suites Chicago - Downtown,2.5,2
111490,Hotel Burnham - a Kimpton Hotel,5.0,1
114595,"MileNorth, A Chicago Hotel",5.0,4
114591,Four Seasons Hotel Chicago,1.0,1
87654,The Talbott Hotel,5.0,2
111501,The Palmer House Hilton,2.5,2
87638,Sheraton Chicago Hotel and Towers,4.0,1
