Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,4.0,3
123209,Chateau Hotel,1.0,1
87600,Delaware Towers,2.6666666666666665,3
123317,Belair Hotel,3.0,1
123217,Sheffield House,2.5,2
90918,Inn at Lincoln Park,4.0,1
123225,Ohio House Motel,3.0,7
114583,BEST WESTERN Grant Park Hotel,1.0,1
111509,The Sutton Place Hotel,5.0,2
87627,Red Roof Inn,1.0,2
87576,Travelodge Chicago Downtown,1.5,2
87573,Chicago's Essex Inn,3.6666666666666665,3
87656,The Tremont Chicago Hotel at Magnificent Mile,2.6363636363636362,11
90976,Courtyard by Marriott Chicago Downtown,4.5,2
114600,The Whitehall Hotel,3.0,4
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",4.0,3
87657,The Westin Michigan Avenue Chicago,3.2857142857142856,7
90973,Allerton Hotel,4.0,1
114581,Swissotel Chicago,5.0,1
90916,Majestic Hotel,5.0,1
87618,Hyatt Regency McCormick Place,3.0,2
235386,Wheeler Mansion,3.5,2
114608,"Hotel Cass, a Holiday Inn Express",4.428571428571429,7
123319,Hilton Chicago O'Hare Airport,1.0,1
90986,Hilton Suites Chicago/Magnificent Mile,4.666666666666667,3
87608,Holiday Inn Chicago - Mart Plaza,4.0,1
114577,Fairmont Chicago Millennium Park,24.0,1
225108,W Chicago Lakeshore,3.4,5
87590,Hilton Chicago,3.0,2
217510,Club Quarters Chicago - Central Loop,4.0,2
87659,The Westin Chicago River North,4.75,4
90957,Hotel Sax Chicago,6.6,5
87637,Renaissance Chicago Hotel,5.0,1
220240,W Chicago - City Center,5.0,2
114604,BEST WESTERN PLUS River North Chicago Downtown Hotel,4.0,1
87602,Embassy Suites Hotel Chicago Downtown,5.0,1
87648,Millennium Knickerbocker Hotel Chicago,5.0,4
87645,The Drake,3.9,10
90985,Hotel Allegro Chicago - a Kimpton Hotel,5.0,1
111500,Omni Chicago Hotel,9.5,4
304277,Carlton Inn Midway,21.0,1
87640,The Willows,1.0,1
87617,Hyatt Regency Chicago,6.0,4
87632,Park Hyatt Chicago,5.0,1
111486,Hampton Inn & Suites Chicago - Downtown,3.75,4
111490,Hotel Burnham - a Kimpton Hotel,8.25,4
114595,"MileNorth, A Chicago Hotel",4.888888888888889,9
225105,The Peninsula Chicago,5.0,1
114591,Four Seasons Hotel Chicago,1.0,1
87654,The Talbott Hotel,4.666666666666667,3
111492,Hotel Monaco Chicago - a Kimpton Hotel,3.75,4
111501,The Palmer House Hilton,3.2857142857142856,7
87638,Sheraton Chicago Hotel and Towers,4.6,10
236299,Sofitel Chicago Water Tower,8.0,5
