Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,6.7,10
79228,BEST WESTERN Plus Hawthorne Terrace Hotel,4.333333333333333,3
123234,Heart O' Chicago Motel,7.4,5
123318,Abbott Hotel,1.0,1
123316,Bellwood Hotel,5.0,2
123209,Chateau Hotel,1.0,1
87600,Delaware Towers,2.6666666666666665,3
123317,Belair Hotel,2.3333333333333335,3
123224,Patio Motel,5.0,1
123217,Sheffield House,4.833333333333333,6
87610,Clarion Hotel Midway Airport,9.0,2
90918,Inn at Lincoln Park,3.0,3
90922,Ramada Inn Lake Shore - Chicago,2.4285714285714284,7
114583,BEST WESTERN Grant Park Hotel,3.3333333333333335,9
123225,Ohio House Motel,3.8,15
111509,The Sutton Place Hotel,6.0,7
87627,Red Roof Inn,8.11111111111111,9
87576,Travelodge Chicago Downtown,5.25,8
114578,Wyndham Blake Chicago,4.2727272727272725,11
87613,Howard Johnson Inn Downtown Chicago,8.0,9
111487,Hilton Garden Inn Chicago Downtown/Magnificent Mile,9.266666666666667,15
87573,Chicago's Essex Inn,4.0344827586206895,29
90969,Holiday Inn Chicago Downtown,2.6666666666666665,3
87656,The Tremont Chicago Hotel at Magnificent Mile,3.5476190476190474,42
223061,Embassy Suites Hotel Chicago Downtown Lakefront,7.0,8
90955,Residence Inn Chicago Downtown,7.8,5
90976,Courtyard by Marriott Chicago Downtown,4.0,7
114600,The Whitehall Hotel,3.3684210526315788,19
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",5.125,24
87657,The Westin Michigan Avenue Chicago,7.413793103448276,29
90973,Allerton Hotel,5.0,23
114581,Swissotel Chicago,6.394736842105263,38
90916,Majestic Hotel,3.5,6
87618,Hyatt Regency McCormick Place,4.444444444444445,9
235386,Wheeler Mansion,4.0,6
114608,"Hotel Cass, a Holiday Inn Express",4.878787878787879,33
123319,Hilton Chicago O'Hare Airport,5.1,10
250023,River Hotel,4.444444444444445,18
90986,Hilton Suites Chicago/Magnificent Mile,4.571428571428571,14
87592,Marriott Chicago Downtown Magnificent Mile,4.75,8
87608,Holiday Inn Chicago - Mart Plaza,4.0,5
114577,Fairmont Chicago Millennium Park,5.105263157894737,19
225108,W Chicago Lakeshore,6.0,26
87590,Hilton Chicago,5.84,25
217510,Club Quarters Chicago - Central Loop,3.3333333333333335,24
90762,Marriott Chicago Midway,5.0,1
87659,The Westin Chicago River North,5.631578947368421,19
87637,Renaissance Chicago Hotel,6.571428571428571,21
90957,Hotel Sax Chicago,6.166666666666667,6
220240,W Chicago - City Center,3.625,16
114604,BEST WESTERN PLUS River North Chicago Downtown Hotel,6.357142857142857,14
87602,Embassy Suites Hotel Chicago Downtown,5.4,15
87571,Days Inn Chicago,4.555555555555555,9
87648,Millennium Knickerbocker Hotel Chicago,6.7560975609756095,41
87645,The Drake,4.4324324324324325,37
87620,InterContinental Chicago,4.785714285714286,14
287568,Hard Rock Hotel Chicago,4.555555555555555,18
90985,Hotel Allegro Chicago - a Kimpton Hotel,7.017857142857143,56
111500,Omni Chicago Hotel,6.1875,16
90975,The Silversmith Hotel & Suites,10.23076923076923,13
304277,Carlton Inn Midway,21.0,1
87640,The Willows,3.0,4
286793,Courtyard Chicago Downtown/Magnificent Mile,3.6666666666666665,3
224036,Fairfield Inn & Suites Chicago Downtown,11.0,7
114595,"MileNorth, A Chicago Hotel",6.294117647058823,51
87632,Park Hyatt Chicago,7.857142857142857,7
87617,Hyatt Regency Chicago,4.956521739130435,46
111486,Hampton Inn & Suites Chicago - Downtown,6.6,15
111507,The Ritz-Carlton Chicago (A Four Seasons Hotel),4.333333333333333,6
293203,Amalfi Hotel Chicago,9.777777777777779,18
111490,Hotel Burnham - a Kimpton Hotel,9.371428571428572,35
111501,The Palmer House Hilton,6.386666666666667,75
225105,The Peninsula Chicago,7.222222222222222,18
114591,Four Seasons Hotel Chicago,7.142857142857143,7
87654,The Talbott Hotel,5.1,20
111492,Hotel Monaco Chicago - a Kimpton Hotel,7.96875,32
87638,Sheraton Chicago Hotel and Towers,3.5714285714285716,42
236299,Sofitel Chicago Water Tower,6.842105263157895,38
