Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,11.916666666666666,24
79228,BEST WESTERN Plus Hawthorne Terrace Hotel,14.789473684210526,19
123234,Heart O' Chicago Motel,9.0,12
290675,Amber Inn,24.0,1
123318,Abbott Hotel,11.5,2
123316,Bellwood Hotel,5.0,2
123209,Chateau Hotel,3.0,2
123317,Belair Hotel,2.5,4
278717,The Fisher Building,5.0,1
87600,Delaware Towers,2.6666666666666665,3
123230,Lincoln Motel,8.0,1
123224,Patio Motel,5.0,1
123217,Sheffield House,6.0,7
87610,Clarion Hotel Midway Airport,11.0,9
488493,Chinatown Hotel,16.5,10
90918,Inn at Lincoln Park,9.882352941176471,17
90922,Ramada Inn Lake Shore - Chicago,6.3478260869565215,23
591177,Union League Club,6.5,2
299922,Holiday Inn Express Chicago-Midway Airport,12.857142857142858,7
114583,BEST WESTERN Grant Park Hotel,8.121212121212121,33
123225,Ohio House Motel,7.375,24
111509,The Sutton Place Hotel,12.416666666666666,24
87627,Red Roof Inn,13.117647058823529,34
87576,Travelodge Chicago Downtown,7.566666666666666,30
114578,Wyndham Blake Chicago,7.285714285714286,35
87613,Howard Johnson Inn Downtown Chicago,8.115384615384615,26
111487,Hilton Garden Inn Chicago Downtown/Magnificent Mile,16.64788732394366,71
87614,Chicago Marriott at Medical District/UIC,15.8,5
87573,Chicago's Essex Inn,7.113924050632911,79
90969,Holiday Inn Chicago Downtown,12.5,10
87656,The Tremont Chicago Hotel at Magnificent Mile,6.330097087378641,103
223061,Embassy Suites Hotel Chicago Downtown Lakefront,14.017241379310345,58
90955,Residence Inn Chicago Downtown,11.071428571428571,14
114600,The Whitehall Hotel,8.696428571428571,56
90976,Courtyard by Marriott Chicago Downtown,11.904761904761905,21
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",9.5625,64
87657,The Westin Michigan Avenue Chicago,10.061728395061728,81
90973,Allerton Hotel,10.363636363636363,66
114581,Swissotel Chicago,11.572727272727272,110
273262,Crowne Plaza Chicago - The Metro,21.818181818181817,11
90916,Majestic Hotel,12.55,20
87618,Hyatt Regency McCormick Place,9.805555555555555,36
90766,Courtyard Chicago Midway Airport,24.0,2
235386,Wheeler Mansion,6.769230769230769,13
114608,"Hotel Cass, a Holiday Inn Express",9.071428571428571,70
123319,Hilton Chicago O'Hare Airport,9.76923076923077,26
250023,River Hotel,9.35897435897436,39
498305,Buckingham Athletic Club,9.285714285714286,7
90986,Hilton Suites Chicago/Magnificent Mile,9.172413793103448,29
87592,Marriott Chicago Downtown Magnificent Mile,12.4,45
87608,Holiday Inn Chicago - Mart Plaza,10.333333333333334,30
87590,Hilton Chicago,11.542857142857143,105
225108,W Chicago Lakeshore,11.104166666666666,96
114577,Fairmont Chicago Millennium Park,10.036363636363637,55
90963,Hotel Indigo Chicago Downtown Gold Coast,19.529411764705884,17
217510,Club Quarters Chicago - Central Loop,9.626865671641792,67
90762,Marriott Chicago Midway,13.0,2
87659,The Westin Chicago River North,13.068965517241379,58
87637,Renaissance Chicago Hotel,14.017543859649123,57
220240,W Chicago - City Center,9.202380952380953,84
90957,Hotel Sax Chicago,10.0,8
114604,BEST WESTERN PLUS River North Chicago Downtown Hotel,10.17142857142857,35
87602,Embassy Suites Hotel Chicago Downtown,10.148148148148149,27
490891,Four Points by Sheraton Chicago Downtown / Magnificent Mile,19.4,30
262831,Renaissance Chicago O'Hare Suites Hotel,18.055555555555557,18
87648,Millennium Knickerbocker Hotel Chicago,9.669724770642201,109
87571,Days Inn Chicago,7.2272727272727275,22
87645,The Drake,9.8,90
87620,InterContinental Chicago,12.014705882352942,68
287568,Hard Rock Hotel Chicago,10.052631578947368,76
90985,Hotel Allegro Chicago - a Kimpton Hotel,10.119402985074627,134
111500,Omni Chicago Hotel,13.462962962962964,54
90975,The Silversmith Hotel & Suites,16.38095238095238,63
304277,Carlton Inn Midway,21.0,1
87640,The Willows,12.714285714285714,14
286793,Courtyard Chicago Downtown/Magnificent Mile,16.774193548387096,31
224036,Fairfield Inn & Suites Chicago Downtown,17.53125,32
114595,"MileNorth, A Chicago Hotel",9.764150943396226,106
87617,Hyatt Regency Chicago,10.884615384615385,156
87632,Park Hyatt Chicago,15.0,46
111486,Hampton Inn & Suites Chicago - Downtown,12.975609756097562,41
293203,Amalfi Hotel Chicago,14.919191919191919,99
111501,The Palmer House Hilton,10.6524064171123,187
111507,The Ritz-Carlton Chicago (A Four Seasons Hotel),13.26086956521739,23
111490,Hotel Burnham - a Kimpton Hotel,14.137614678899082,109
87638,Sheraton Chicago Hotel and Towers,9.189655172413794,116
225105,The Peninsula Chicago,13.272727272727273,55
114591,Four Seasons Hotel Chicago,15.25,24
87654,The Talbott Hotel,10.983050847457626,59
111492,Hotel Monaco Chicago - a Kimpton Hotel,13.397849462365592,93
217498,Conrad Chicago,18.285714285714285,7
236299,Sofitel Chicago Water Tower,14.398601398601398,143
