Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,11.916666666666666,24
79228,BEST WESTERN Plus Hawthorne Terrace Hotel,14.3,20
123234,Heart O' Chicago Motel,10.642857142857142,14
290675,Amber Inn,13.0,2
123292,Milshire Hotel,12.0,1
123318,Abbott Hotel,11.5,2
123316,Bellwood Hotel,5.0,2
123209,Chateau Hotel,3.0,2
123317,Belair Hotel,2.5,4
278717,The Fisher Building,5.0,1
87600,Delaware Towers,2.6666666666666665,3
123230,Lincoln Motel,8.0,1
123224,Patio Motel,5.0,1
123217,Sheffield House,6.0,7
488493,Chinatown Hotel,14.76923076923077,13
87610,Clarion Hotel Midway Airport,12.3,10
90918,Inn at Lincoln Park,9.05,20
299922,Holiday Inn Express Chicago-Midway Airport,14.125,8
90922,Ramada Inn Lake Shore - Chicago,6.84,25
591177,Union League Club,6.5,2
114583,BEST WESTERN Grant Park Hotel,8.470588235294118,34
281340,Fairfield Inn Chicago Midway Airport,17.0,1
123225,Ohio House Motel,7.375,24
111509,The Sutton Place Hotel,13.74074074074074,27
87627,Red Roof Inn,12.435897435897436,39
87576,Travelodge Chicago Downtown,7.647058823529412,34
114578,Wyndham Blake Chicago,8.025,40
87613,Howard Johnson Inn Downtown Chicago,8.115384615384615,26
111487,Hilton Garden Inn Chicago Downtown/Magnificent Mile,16.706666666666667,75
87573,Chicago's Essex Inn,7.186046511627907,86
87614,Chicago Marriott at Medical District/UIC,15.8,5
90969,Holiday Inn Chicago Downtown,12.5,10
87656,The Tremont Chicago Hotel at Magnificent Mile,6.587155963302752,109
223061,Embassy Suites Hotel Chicago Downtown Lakefront,14.475409836065573,61
90955,Residence Inn Chicago Downtown,10.666666666666666,15
114600,The Whitehall Hotel,8.551724137931034,58
90976,Courtyard by Marriott Chicago Downtown,12.16,25
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",9.797101449275363,69
87657,The Westin Michigan Avenue Chicago,9.75294117647059,85
114581,Swissotel Chicago,11.663865546218487,119
90973,Allerton Hotel,10.95774647887324,71
273262,Crowne Plaza Chicago - The Metro,18.4375,16
90916,Majestic Hotel,13.173913043478262,23
87618,Hyatt Regency McCormick Place,10.131578947368421,38
90766,Courtyard Chicago Midway Airport,24.0,2
235386,Wheeler Mansion,6.769230769230769,13
114608,"Hotel Cass, a Holiday Inn Express",9.378378378378379,74
123319,Hilton Chicago O'Hare Airport,9.833333333333334,30
250023,River Hotel,9.952380952380953,42
498305,Buckingham Athletic Club,9.285714285714286,7
90986,Hilton Suites Chicago/Magnificent Mile,11.2,35
87592,Marriott Chicago Downtown Magnificent Mile,12.431372549019608,51
87608,Holiday Inn Chicago - Mart Plaza,11.0,34
87590,Hilton Chicago,12.142857142857142,112
225108,W Chicago Lakeshore,11.19047619047619,105
114577,Fairmont Chicago Millennium Park,10.192982456140351,57
90963,Hotel Indigo Chicago Downtown Gold Coast,19.956521739130434,23
217510,Club Quarters Chicago - Central Loop,10.56,75
90762,Marriott Chicago Midway,13.0,2
87659,The Westin Chicago River North,13.507936507936508,63
87637,Renaissance Chicago Hotel,14.344262295081966,61
220240,W Chicago - City Center,9.471264367816092,87
90957,Hotel Sax Chicago,10.3,10
114604,BEST WESTERN PLUS River North Chicago Downtown Hotel,10.17142857142857,35
490891,Four Points by Sheraton Chicago Downtown / Magnificent Mile,18.52777777777778,36
87602,Embassy Suites Hotel Chicago Downtown,10.9,30
262831,Renaissance Chicago O'Hare Suites Hotel,17.565217391304348,23
87648,Millennium Knickerbocker Hotel Chicago,10.191304347826087,115
87571,Days Inn Chicago,7.92,25
87645,The Drake,10.26,100
87620,InterContinental Chicago,12.294871794871796,78
287568,Hard Rock Hotel Chicago,10.037037037037036,81
90985,Hotel Allegro Chicago - a Kimpton Hotel,10.242857142857142,140
111500,Omni Chicago Hotel,14.051724137931034,58
90975,The Silversmith Hotel & Suites,16.942857142857143,70
304277,Carlton Inn Midway,21.0,1
87640,The Willows,12.133333333333333,15
286793,Courtyard Chicago Downtown/Magnificent Mile,16.43243243243243,37
224036,Fairfield Inn & Suites Chicago Downtown,17.54054054054054,37
114595,"MileNorth, A Chicago Hotel",9.972222222222221,108
87617,Hyatt Regency Chicago,11.380116959064328,171
87632,Park Hyatt Chicago,15.291666666666666,48
111486,Hampton Inn & Suites Chicago - Downtown,13.755555555555556,45
293203,Amalfi Hotel Chicago,14.80952380952381,105
111501,The Palmer House Hilton,10.9375,208
111490,Hotel Burnham - a Kimpton Hotel,14.798319327731093,119
111507,The Ritz-Carlton Chicago (A Four Seasons Hotel),13.333333333333334,24
609738,James Chicago,23.0,3
87638,Sheraton Chicago Hotel and Towers,9.333333333333334,123
225105,The Peninsula Chicago,12.964912280701755,57
114591,Four Seasons Hotel Chicago,13.928571428571429,28
87654,The Talbott Hotel,11.619047619047619,63
111492,Hotel Monaco Chicago - a Kimpton Hotel,13.871287128712872,101
217498,Conrad Chicago,18.5,12
236299,Sofitel Chicago Water Tower,14.529411764705882,153
