Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,17.847457627118644,59
79228,BEST WESTERN Plus Hawthorne Terrace Hotel,18.725490196078432,51
278718,University Club of Chicago,15.333333333333334,3
123234,Heart O' Chicago Motel,17.170212765957448,47
123293,Mark Twain Hotel,8.0,2
290675,Amber Inn,19.333333333333332,12
595763,Habitat Corporate Suites at Presidential Towers,21.142857142857142,7
123292,Milshire Hotel,8.25,8
123216,Skylark Motel,3.5,6
123316,Bellwood Hotel,15.25,8
123290,New Jackson Hotel,3.5,2
123217,Sheffield House,9.052631578947368,19
123318,Abbott Hotel,8.25,8
123317,Belair Hotel,12.0,12
123209,Chateau Hotel,3.25,4
1164776,Chicago Athletic Association,9.0,1
676721,River Park Motel & Suites,27.0,1
278717,The Fisher Building,16.0,3
87600,Delaware Towers,2.6666666666666665,3
123230,Lincoln Motel,8.0,1
1045286,Springhill Suites Chicago Downtown / River North,26.353658536585368,82
774987,Stan Properties Suites at 300 N. Canal,10.0,1
111509,The Sutton Place Hotel,22.425531914893618,141
90952,Hyatt Chicago Magnificent Mile,4.5,2
123224,Patio Motel,3.3333333333333335,3
596421,Midway Inn,11.0,7
87610,Clarion Hotel Midway Airport,17.352941176470587,34
488493,Chinatown Hotel,15.567567567567568,37
90918,Inn at Lincoln Park,13.724137931034482,58
142296,Holiday Inn Chicago O'Hare,22.547619047619047,42
111487,Hilton Garden Inn Chicago Downtown/Magnificent Mile,20.864406779661017,236
114583,BEST WESTERN Grant Park Hotel,14.725806451612904,124
90922,Ramada Inn Lake Shore - Chicago,12.071428571428571,70
87627,Red Roof Inn,14.373493975903614,166
114578,Wyndham Blake Chicago,18.5188679245283,212
591177,Union League Club,21.941176470588236,17
299922,Holiday Inn Express Chicago-Midway Airport,17.904761904761905,21
123225,Ohio House Motel,15.140350877192983,57
281340,Fairfield Inn Chicago Midway Airport,20.307692307692307,13
87576,Travelodge Chicago Downtown,13.412162162162161,148
87573,Chicago's Essex Inn,14.742063492063492,252
87613,Howard Johnson Inn Downtown Chicago,12.345454545454546,55
223061,Embassy Suites Hotel Chicago Downtown Lakefront,19.27354260089686,223
87656,The Tremont Chicago Hotel at Magnificent Mile,11.961206896551724,232
650708,Ruby Room,21.533333333333335,15
87614,Chicago Marriott at Medical District/UIC,19.785714285714285,28
87595,Congress Plaza Hotel,16.48181818181818,110
90969,Holiday Inn Chicago Downtown,16.387096774193548,31
114600,The Whitehall Hotel,15.880208333333334,192
90955,Residence Inn Chicago Downtown,20.919540229885058,87
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",15.49084249084249,273
90976,Courtyard by Marriott Chicago Downtown,19.53684210526316,95
87657,The Westin Michigan Avenue Chicago,16.820945945945947,296
114581,Swissotel Chicago,19.11111111111111,423
90973,Allerton Hotel,16.765079365079366,315
1149495,Hotel Felix,20.824175824175825,91
273262,Crowne Plaza Chicago - The Metro,21.92982456140351,114
87618,Hyatt Regency McCormick Place,16.62773722627737,137
1186401,Central Loop Hotel,15.692307692307692,13
90916,Majestic Hotel,19.566666666666666,60
114608,"Hotel Cass, a Holiday Inn Express",14.993288590604028,149
1052716,Crowne Plaza Chicago Magnificent Mile,24.639097744360903,133
235386,Wheeler Mansion,11.96774193548387,31
123319,Hilton Chicago O'Hare Airport,18.441988950276244,181
90766,Courtyard Chicago Midway Airport,21.285714285714285,7
250023,River Hotel,16.192592592592593,135
87592,Marriott Chicago Downtown Magnificent Mile,18.839357429718877,249
90986,Hilton Suites Chicago/Magnificent Mile,18.41269841269841,126
498305,Buckingham Athletic Club,17.761904761904763,21
217510,Club Quarters Chicago - Central Loop,16.983739837398375,246
87608,Holiday Inn Chicago - Mart Plaza,17.873333333333335,150
1140049,Holiday Inn Chicago - Midway Airport,28.5,10
87590,Hilton Chicago,17.696741854636592,399
1477545,Club Quarters Chicago -- Wacker at Michigan,22.733333333333334,15
225108,W Chicago Lakeshore,16.782874617737004,327
87635,Raffaello Hotel,20.39644970414201,169
114577,Fairmont Chicago Millennium Park,19.90909090909091,253
91042,Doubletree by Hilton Chicago Magnificent Mile,23.97142857142857,105
1075753,Chicago South Loop Hotel,21.807692307692307,52
90963,Hotel Indigo Chicago Downtown Gold Coast,22.607142857142858,140
841981,The Blackstone A Renaissance Hotel,25.347826086956523,115
87659,The Westin Chicago River North,20.523560209424083,191
90762,Marriott Chicago Midway,23.466666666666665,15
220240,W Chicago - City Center,15.737642585551331,263
87637,Renaissance Chicago Hotel,21.29230769230769,195
90957,Hotel Sax Chicago,20.721854304635762,151
87620,InterContinental Chicago,21.271629778672033,497
87648,Millennium Knickerbocker Hotel Chicago,17.598885793871865,359
490891,Four Points by Sheraton Chicago Downtown / Magnificent Mile,21.76878612716763,173
87602,Embassy Suites Hotel Chicago Downtown,20.975757575757576,165
114604,BEST WESTERN PLUS River North Chicago Downtown Hotel,18.11864406779661,118
262831,Renaissance Chicago O'Hare Suites Hotel,22.1937984496124,129
87645,The Drake,18.352941176470587,306
87571,Days Inn Chicago,19.0,121
287568,Hard Rock Hotel Chicago,18.141643059490086,353
90985,Hotel Allegro Chicago - a Kimpton Hotel,16.110803324099724,361
1389502,La Quinta Inn & Suites Chicago Downtown,23.821428571428573,28
111500,Omni Chicago Hotel,22.21875,288
87617,Hyatt Regency Chicago,17.763271162123385,697
90975,The Silversmith Hotel & Suites,19.437229437229437,231
87603,"Hotel 71, Wyndham Affiliate",17.414893617021278,94
304277,Carlton Inn Midway,23.857142857142858,28
87640,The Willows,20.81132075471698,53
286793,Courtyard Chicago Downtown/Magnificent Mile,21.5531914893617,141
674288,Residence Inn Chicago Downtown / River North,26.16470588235294,85
224036,Fairfield Inn & Suites Chicago Downtown,22.40625,128
114595,"MileNorth, A Chicago Hotel",20.622988505747127,435
111501,The Palmer House Hilton,17.648058252427184,824
1027237,Dana Hotel & Spa,23.83969465648855,131
505788,Comfort Suites,24.5,58
1235890,"theWit, a Doubletree Hotel",24.289473684210527,76
87632,Park Hyatt Chicago,21.333333333333332,153
111490,Hotel Burnham - a Kimpton Hotel,20.610223642172524,313
609738,James Chicago,23.48581560283688,282
87638,Sheraton Chicago Hotel and Towers,17.247619047619047,420
293203,Amalfi Hotel Chicago,21.313253012048193,332
111486,Hampton Inn & Suites Chicago - Downtown,20.05464480874317,183
619615,Hampton Majestic Chicago Theatre District,25.88607594936709,158
111507,The Ritz-Carlton Chicago (A Four Seasons Hotel),21.45614035087719,114
225105,The Peninsula Chicago,20.21232876712329,146
236299,Sofitel Chicago Water Tower,22.044802867383513,558
114591,Four Seasons Hotel Chicago,20.742574257425744,101
87654,The Talbott Hotel,20.71627906976744,215
111492,Hotel Monaco Chicago - a Kimpton Hotel,20.90883190883191,351
217498,Conrad Chicago,24.38174273858921,241
90959,Homewood Suites by Hilton Chicago Downtown,25.3768115942029,207
674283,Trump International Hotel & Tower Chicago,24.48951048951049,143
1516481,Waldorf Astoria Chicago,22.0,5
