Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,21.42452830188679,106
79228,BEST WESTERN Plus Hawthorne Terrace Hotel,22.504761904761907,105
90955,Residence Inn Chicago Downtown,24.785714285714285,196
111509,The Sutton Place Hotel,24.881967213114756,305
1045286,Springhill Suites Chicago Downtown / River North,27.444915254237287,236
484081,The Standard Club,17.75,4
278718,University Club of Chicago,22.0,10
123234,Heart O' Chicago Motel,18.90625,64
114578,Wyndham Blake Chicago,22.395089285714285,448
1743591,Suite Home Chicago - One Superior Place,28.666666666666668,3
1200027,Steps to Everything - Navy Pier 31,25.0,1
123293,Mark Twain Hotel,14.5,4
111487,Hilton Garden Inn Chicago Downtown/Magnificent Mile,22.682382133995038,403
142296,Holiday Inn Chicago O'Hare,21.640287769784173,139
290675,Amber Inn,21.942857142857143,35
114583,BEST WESTERN Grant Park Hotel,17.453125,256
595763,Habitat Corporate Suites at Presidential Towers,23.818181818181817,11
123292,Milshire Hotel,8.7,10
123316,Bellwood Hotel,17.545454545454547,11
123217,Sheffield House,10.0,27
123290,New Jackson Hotel,8.0,7
123216,Skylark Motel,4.0,7
223061,Embassy Suites Hotel Chicago Downtown Lakefront,22.722814498933904,469
123318,Abbott Hotel,10.181818181818182,11
596421,Midway Inn,9.73076923076923,26
123222,Rio Motel,7.0,1
123317,Belair Hotel,11.923076923076923,13
123209,Chateau Hotel,4.0,5
87627,Red Roof Inn,16.822222222222223,315
1164776,Chicago Athletic Association,9.0,1
676721,River Park Motel & Suites,23.0,2
278717,The Fisher Building,16.0,3
87600,Delaware Towers,2.6666666666666665,3
123230,Lincoln Motel,8.0,1
774987,Stan Properties Suites at 300 N. Canal,10.0,1
488493,Chinatown Hotel,15.055555555555555,72
87610,Clarion Hotel Midway Airport,18.352941176470587,51
90952,Hyatt Chicago Magnificent Mile,4.5,2
123232,Hogan's Motel,7.0,1
123224,Patio Motel,4.25,4
90918,Inn at Lincoln Park,15.411111111111111,90
90922,Ramada Inn Lake Shore - Chicago,15.195945945945946,148
87576,Travelodge Chicago Downtown,14.60897435897436,312
114581,Swissotel Chicago,22.323258869908017,761
591177,Union League Club,25.404761904761905,42
299922,Holiday Inn Express Chicago-Midway Airport,21.41304347826087,46
123225,Ohio House Motel,17.839622641509433,106
87573,Chicago's Essex Inn,18.35,440
281340,Fairfield Inn Chicago Midway Airport,20.535714285714285,28
87595,Congress Plaza Hotel,16.097156398104264,422
87613,Howard Johnson Inn Downtown Chicago,16.894039735099337,151
114600,The Whitehall Hotel,18.9672131147541,427
87656,The Tremont Chicago Hotel at Magnificent Mile,15.172804532577903,353
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",18.83274021352313,562
1149495,Hotel Felix,22.241803278688526,488
87657,The Westin Michigan Avenue Chicago,20.363963963963965,555
90969,Holiday Inn Chicago Downtown,23.357615894039736,151
90973,Allerton Hotel,19.45252225519288,674
