Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,23.340425531914892,141
79228,BEST WESTERN Plus Hawthorne Terrace Hotel,24.21276595744681,141
111509,The Sutton Place Hotel,25.615384615384617,377
1045286,Springhill Suites Chicago Downtown / River North,27.71186440677966,295
90955,Residence Inn Chicago Downtown,25.33596837944664,253
90976,Courtyard by Marriott Chicago Downtown,24.241935483870968,248
111487,Hilton Garden Inn Chicago Downtown/Magnificent Mile,23.827935222672064,494
114578,Wyndham Blake Chicago,23.042718446601942,515
223061,Embassy Suites Hotel Chicago Downtown Lakefront,23.75,584
278718,University Club of Chicago,23.928571428571427,14
484081,The Standard Club,21.75,8
123234,Heart O' Chicago Motel,19.18840579710145,69
142296,Holiday Inn Chicago O'Hare,21.43502824858757,177
114581,Swissotel Chicago,23.28976034858388,918
87627,Red Roof Inn,17.572580645161292,372
114583,BEST WESTERN Grant Park Hotel,18.34448160535117,299
1743591,Suite Home Chicago - One Superior Place,28.666666666666668,3
1200027,Steps to Everything - Navy Pier 31,29.0,2
123293,Mark Twain Hotel,15.4,5
290675,Amber Inn,21.76923076923077,39
90952,Hyatt Chicago Magnificent Mile,20.073170731707318,41
595763,Habitat Corporate Suites at Presidential Towers,23.818181818181817,11
123216,Skylark Motel,4.555555555555555,9
123292,Milshire Hotel,8.7,10
123316,Bellwood Hotel,17.545454545454547,11
123217,Sheffield House,10.0,27
123290,New Jackson Hotel,8.0,7
596421,Midway Inn,9.222222222222221,36
123318,Abbott Hotel,10.833333333333334,12
123222,Rio Motel,7.0,1
123317,Belair Hotel,11.923076923076923,13
123209,Chateau Hotel,4.0,5
488493,Chinatown Hotel,15.674418604651162,86
90922,Ramada Inn Lake Shore - Chicago,15.892655367231638,177
1164776,Chicago Athletic Association,9.0,1
676721,River Park Motel & Suites,23.0,2
278717,The Fisher Building,16.0,3
87600,Delaware Towers,2.6666666666666665,3
123230,Lincoln Motel,8.0,1
87610,Clarion Hotel Midway Airport,18.033333333333335,60
87573,Chicago's Essex Inn,20.079044117647058,544
774987,Stan Properties Suites at 300 N. Canal,10.0,1
87576,Travelodge Chicago Downtown,15.514044943820224,356
90918,Inn at Lincoln Park,15.81,100
123232,Hogan's Motel,7.0,1
123224,Patio Motel,4.25,4
87595,Congress Plaza Hotel,17.302120141342755,566
591177,Union League Club,25.16,50
299922,Holiday Inn Express Chicago-Midway Airport,22.528301886792452,53
123225,Ohio House Motel,19.11904761904762,126
281340,Fairfield Inn Chicago Midway Airport,22.2972972972973,37
114600,The Whitehall Hotel,19.994274809160306,524
1149495,Hotel Felix,22.741176470588236,595
87657,The Westin Michigan Avenue Chicago,21.371987951807228,664
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",19.866153846153846,650
90973,Allerton Hotel,20.5771567436209,823
87656,The Tremont Chicago Hotel at Magnificent Mile,16.34313725490196,408
87613,Howard Johnson Inn Downtown Chicago,18.070652173913043,184
90969,Holiday Inn Chicago Downtown,23.63350785340314,191
650708,Ruby Room,23.571428571428573,28
87614,Chicago Marriott at Medical District/UIC,23.415384615384614,65
87618,Hyatt Regency McCormick Place,21.1644908616188,383
273262,Crowne Plaza Chicago - The Metro,23.335640138408305,289
123319,Hilton Chicago O'Hare Airport,22.662454873646208,554
1052716,Crowne Plaza Chicago Magnificent Mile,26.073298429319372,382
87592,Marriott Chicago Downtown Magnificent Mile,22.51297709923664,655
114608,"Hotel Cass, a Holiday Inn Express",20.044642857142858,336
87590,Hilton Chicago,21.763493621197252,1019
90916,Majestic Hotel,23.686274509803923,153
1186401,Central Loop Hotel,20.389473684210525,95
250023,River Hotel,19.375862068965517,290
225108,W Chicago Lakeshore,21.4275,800
235386,Wheeler Mansion,18.555555555555557,54
90766,Courtyard Chicago Midway Airport,25.17142857142857,35
87665,Chicago Marriott O'Hare,26.944444444444443,18
90986,Hilton Suites Chicago/Magnificent Mile,22.907821229050278,358
1075753,Chicago South Loop Hotel,24.294117647058822,442
217510,Club Quarters Chicago - Central Loop,20.472762645914397,514
87635,Raffaello Hotel,23.21327967806841,497
87608,Holiday Inn Chicago - Mart Plaza,23.100877192982455,456
91042,Doubletree by Hilton Chicago Magnificent Mile,24.566666666666666,510
114577,Fairmont Chicago Millennium Park,22.91442155309033,631
498305,Buckingham Athletic Club,21.72093023255814,43
1477545,Club Quarters Chicago -- Wacker at Michigan,25.597633136094675,169
1140049,Holiday Inn Chicago - Midway Airport,26.21153846153846,52
841981,The Blackstone A Renaissance Hotel,27.203703703703702,432
90963,Hotel Indigo Chicago Downtown Gold Coast,25.351206434316353,373
87629,PUBLIC Chicago,28.417021276595744,235
87659,The Westin Chicago River North,25.655948553054664,622
220240,W Chicago - City Center,23.69625,800
87620,InterContinental Chicago,23.658900279589936,1073
87617,Hyatt Regency Chicago,23.074489795918367,1960
111501,The Palmer House Hilton,22.690981432360743,2262
87648,Millennium Knickerbocker Hotel Chicago,21.67763157894737,760
90957,Hotel Sax Chicago,24.170212765957448,470
90762,Marriott Chicago Midway,26.805194805194805,77
87637,Renaissance Chicago Hotel,24.372767857142858,448
87602,Embassy Suites Hotel Chicago Downtown,25.8705035971223,556
87645,The Drake,23.32425068119891,734
490891,Four Points by Sheraton Chicago Downtown / Magnificent Mile,24.869158878504674,535
114604,BEST WESTERN PLUS River North Chicago Downtown Hotel,24.224944320712694,449
287568,Hard Rock Hotel Chicago,22.860869565217392,805
262831,Renaissance Chicago O'Hare Suites Hotel,24.73139158576052,309
87571,Days Inn Chicago,24.234234234234233,333
90985,Hotel Allegro Chicago - a Kimpton Hotel,22.63738738738739,888
111500,Omni Chicago Hotel,24.847058823529412,680
2648906,Ivy Boutique Hotel,30.727272727272727,33
114595,"MileNorth, A Chicago Hotel",23.961464354527937,1038
2525636,Hotel Lincoln,28.811764705882354,85
1389502,La Quinta Inn & Suites Chicago Downtown,26.758928571428573,224
87603,"Hotel 71, Wyndham Affiliate",24.309297912713472,527
90975,The Silversmith Hotel & Suites,23.329479768786126,519
87638,Sheraton Chicago Hotel and Towers,23.294258373205743,1254
1742256,JW Marriott Chicago,27.741626794258373,209
87640,The Willows,25.156626506024097,166
304277,Carlton Inn Midway,26.34269662921348,178
286793,Courtyard Chicago Downtown/Magnificent Mile,25.178461538461537,325
674288,Residence Inn Chicago Downtown / River North,27.444117647058825,340
224036,Fairfield Inn & Suites Chicago Downtown,26.963917525773194,388
247154,ACME Hotel Company Chicago,28.701149425287355,87
90959,Homewood Suites by Hilton Chicago Downtown,27.939393939393938,858
1027237,Dana Hotel & Spa,26.706618962432916,559
609738,James Chicago,25.551597051597053,814
1235890,"theWit, a Doubletree Hotel",27.400763358778626,524
505788,Comfort Suites,28.118951612903224,496
111486,Hampton Inn & Suites Chicago - Downtown,26.176838810641627,639
293203,Amalfi Hotel Chicago,25.405727923627683,838
87632,Park Hyatt Chicago,25.412979351032448,339
111490,Hotel Burnham - a Kimpton Hotel,24.569282136894824,599
619615,Hampton Majestic Chicago Theatre District,28.019607843137255,510
111507,The Ritz-Carlton Chicago (A Four Seasons Hotel),27.388412017167383,466
236299,Sofitel Chicago Water Tower,25.688966116420502,1151
225105,The Peninsula Chicago,26.23134328358209,402
114591,Four Seasons Hotel Chicago,27.650510204081634,392
87654,The Talbott Hotel,26.04015296367113,523
111492,Hotel Monaco Chicago - a Kimpton Hotel,25.832142857142856,840
1566945,"Palomar Chicago, a Kimpton Hotel",29.682735426008968,892
2042562,Radisson Blu Aqua Hotel,30.568548387096776,248
217498,Conrad Chicago,29.005823627287853,1202
674283,Trump International Hotel & Tower Chicago,28.87375415282392,602
1516481,Waldorf Astoria Chicago,30.691768826619963,571
