Hotel ID,Hotel Name,Total Rating,Overall Customers
91607,Fairfield Inn & Suites Indianapolis Airport,8.333333333333334,3
287572,Hilton Garden Inn Indianapolis Downtown,11.461538461538462,13
88172,Hilton Indianapolis North,6.181818181818182,11
91428,Sleep Inn Airport West,21.5,2
91450,Holiday Inn Express Indianapolis South,4.5,2
1214250,La Quinta Inn Indianapolis East-Post Drive,9.5,2
91446,Bridgemont Residence Inn,2.0,1
268139,America's Best Inn & Suites Indianapolis / Airport Area,3.5,2
144736,Dollar Inn - Indianapolis,3.375,8
91338,Motel 6 - Indianapolis North,9.0,1
582205,Rodeway Inn,2.142857142857143,7
240139,Super 8 Indianapolis/Emerson,3.0,1
120810,Dollar Inn - Castleton,3.0,1
91436,Kings Inn of Indianapolis,3.0,2
278566,Americas Best Value Inn-Indy East,1.0,1
223830,Marriott Indianapolis Downtown,12.0,8
91561,Indianapolis East Knights Inn,5.0,1
124015,Cavalier's Resort & Conference Center,1.875,8
241032,Indianapolis Budget Inn and Suites,7.0,1
120767,American Inn West,1.0,1
88153,Best Inn,4.8,5
259022,Days Inn Indianapolis,3.5,2
88138,Brickyard Crossing Golf Resort and Inn,20.0,1
288193,The Suites at 14 West,5.0,2
518323,Country Inn & Suites Indianapolis NE at I-69,19.333333333333332,3
141972,Quality Inn & Suites East,5.2,5
91490,Super 8 Indianapolis College Park,4.0,2
91496,Clarion Inn & Suites Northwest,21.0,1
239898,Magnuson Hotel Castleton Inn,14.0,1
88151,Comfort Inn & Suites N at Pyramids,20.0,1
251963,Super 8 Indianapolis South,4.0,1
120813,Country Inn & Suites By Carlson Indianapolis-South,14.0,2
224809,BEST WESTERN Airport Suites,24.0,1
78887,Clarion Hotel & Conference Center,14.0,2
91599,Residence Inn Indianapolis Airport,24.5,2
91506,The Gatehouse Suites Indianapolis,3.0,2
91522,Extended Stay America - Indianapolis - North - Carmel,15.0,1
224830,Extended Stay Deluxe - Indianapolis - Northwest - I-465,3.3333333333333335,6
91454,Comfort Inn,13.0,4
91458,Fairfield Inn Indianapolis South,4.0,1
91605,Ramada Airport Indianapolis,25.0,1
88143,Days Inn Indianapolis Airport,21.0,1
223208,Ramada I-70 East Indianapolis,8.0,2
120766,Extended Stay Deluxe - Indianapolis - Airport - W. Southern Ave.,1.0,1
91494,Courtyard Indianapolis Northwest,25.0,1
265878,Radisson Hotel Indianapolis Airport,6.769230769230769,13
120783,Columbia Club,5.0,1
88164,Crowne Plaza Indianapolis Downtown (Union Station),7.0,8
88161,Hampton Inn Indianapolis-East,12.0,1
91474,TownePlace Suites Indianapolis NW,6.0,1
91609,Courtyard by Marriott Indianapolis Airport,16.333333333333332,3
91484,Caribbean Cove Hotel & Conference Center,13.476190476190476,21
91435,Comfort Inn & Suites West,5.0,1
530673,La Quinta Inn Indianapolis North at Pyramids,1.0,2
631598,Candlewood Suites Indianapolis Dwtn Medical Dist,10.666666666666666,3
224820,Red Roof Inn Indianapolis North - College Park,7.0,2
223363,Staybridge Suites Indianapolis - Fishers,13.4,5
240134,BEST WESTERN Indianapolis South,1.0,1
564589,Country Inn & Suites Indianapolis Airport South,25.0,1
91479,Extended Stay America-West 86th Street,6.5,2
91519,Courtyard by Marriott Indianapolis Carmel,10.0,3
88155,Embassy Suites Indianapolis - Downtown,10.0,9
91602,La Quinta Inn Indianapolis Airport Lynhurst,13.75,4
91573,University Place Conference Center & Hotel Indianapolis,3.2,5
91509,Marriott Indianapolis North,7.0,7
91462,Courtyard Indianapolis South,6.5,2
224793,La Quinta Inn Indianapolis Airport Executive Drive,5.75,4
223827,Fairfield Inn & Suites Indianapolis East,13.0,2
111624,Hampton Inn Indianapolis Dwtn Across from Circle Centre,7.142857142857143,7
278565,Holiday Inn Express Indianapolis Downtown City Centre,17.0,1
88188,Holiday Inn Indianapolis North/Carmel,9.0,1
91441,Baymont Inn & Suites Indianapolis South,9.666666666666666,3
224831,Wingate By Wyndham Indianapolis Airport-Rockville Rd.,21.5,2
88186,The Westin Indianapolis,6.428571428571429,14
120798,Jameson Inn of Indy Castleton,1.0,3
91491,Drury Inn Indianapolis,18.25,4
91558,La Quinta Inn Indianapolis East,13.5,2
91577,Residence Inn Indianapolis Downtown on the Canal,13.0,2
120794,Hyatt Place Indianapolis Airport,8.75,4
224832,Wingate by Wyndham Indianapolis Northwest,24.0,1
88168,Hyatt Regency Indianapolis,8.533333333333333,15
224259,Hilton Indianapolis,14.875,8
88171,Marriott Indianapolis East,6.5,6
88173,Omni Severin Hotel,5.238095238095238,21
111623,Embassy Suites Indianapolis North,12.833333333333334,6
