Hotel ID,Hotel Name,Total Rating,Overall Customers
576787,Conrad Indianapolis,27.992932862190813,283
1502098,Comfort Suites Indianapolis Airport,26.301369863013697,73
278567,Residence Inn Indianapolis Northwest,24.72222222222222,36
1008650,Comfort Suites City Centre,26.955223880597014,67
91429,Baymont Inn & Suites Indianapolis West,24.419354838709676,31
91513,Homewood Suites by Hilton Indianapolis At The Crossing,26.0,76
287572,Hilton Garden Inn Indianapolis Downtown,25.044117647058822,136
223830,Marriott Indianapolis Downtown,24.68075117370892,213
88177,Sheraton Indianapolis Hotel at Keystone Crossing,27.285714285714285,133
564589,Country Inn & Suites Indianapolis Airport South,25.522222222222222,90
88159,Hampton Inn Indianapolis - NE / Castleton,23.186046511627907,43
91502,Jameson Inn Indianapolis-Carmel,26.333333333333332,39
91544,Extended Stay America - Indianapolis - Castleton,22.11111111111111,9
91607,Fairfield Inn & Suites Indianapolis Airport,23.692307692307693,26
88172,Hilton Indianapolis North,21.863636363636363,88
88175,Sheraton Indianapolis City Centre Hotel,21.814606741573034,178
88164,Crowne Plaza Indianapolis Downtown (Union Station),21.47244094488189,254
1156950,Suburban Extended Stay N East,25.153846153846153,13
91428,Sleep Inn Airport West,22.80952380952381,42
91450,Holiday Inn Express Indianapolis South,22.26530612244898,49
88151,Comfort Inn & Suites N at Pyramids,24.125,64
1214250,La Quinta Inn Indianapolis East-Post Drive,21.323529411764707,34
1520042,Wyndham Indianapolis West,23.556603773584907,106
88158,Extend a Suites Indianapolis,27.266666666666666,15
91553,BEST WESTERN Crossroads,22.285714285714285,21
91446,Bridgemont Residence Inn,9.0,4
1026913,Value Place Lawrence,20.9,10
224819,Quality Inn & Suites Airport,19.558823529411764,34
91338,Motel 6 - Indianapolis North,15.076923076923077,13
144736,Dollar Inn - Indianapolis,5.681818181818182,22
635243,Comfort Inn & Suites German Church Road,12.615384615384615,13
260932,InTown Suites Indianapolis North,7.5,2
665394,Dollar Inn Airport,17.25,4
240136,Country Hearth Inn Indianapolis,13.4,5
88140,Comfort Inn South,14.75,32
91443,Knights Inn South / Airport Indianapolis,14.4,20
120770,Red Roof Inn Indianapolis - South,17.794117647058822,34
91608,Extended Stay America - Indianapolis - Airport,18.0,21
240185,Econo Lodge Indianapolis,10.166666666666666,12
268139,America's Best Inn & Suites Indianapolis / Airport Area,8.222222222222221,9
582205,Rodeway Inn,8.130434782608695,23
124015,Cavalier's Resort & Conference Center,6.738095238095238,42
91484,Caribbean Cove Hotel & Conference Center,13.66079295154185,227
240139,Super 8 Indianapolis/Emerson,18.076923076923077,13
88148,Americas Best Value Inn Indianapolis / Speedway,11.285714285714286,7
259022,Days Inn Indianapolis,9.1,20
120774,Skyline Motel,15.0,2
91442,Travel Inn,11.428571428571429,7
240187,Motel 6 Indianapolis - East,11.0,7
120810,Dollar Inn - Castleton,11.285714285714286,7
278566,Americas Best Value Inn-Indy East,12.363636363636363,11
120811,Americas Best Value Inn - Indy Northwest,9.166666666666666,6
120795,InTown Suites Indianapolis East,13.2,5
120802,Motel 6 Indianapolis South,12.571428571428571,7
586270,Always Inn,8.571428571428571,7
91436,Kings Inn of Indianapolis,7.875,8
217026,Knights Inn Indianapolis,9.75,4
275739,Quality Inn & Suites,10.0,17
91561,Indianapolis East Knights Inn,9.6,10
91490,Super 8 Indianapolis College Park,14.25925925925926,27
241032,Indianapolis Budget Inn and Suites,4.0,2
120767,American Inn West,3.5,2
239898,Magnuson Hotel Castleton Inn,19.09375,32
1627952,Americas Best Value Inn-Indy South,18.25,4
88153,Best Inn,7.428571428571429,7
120777,Mayfair Motel,8.0,1
78887,Clarion Hotel & Conference Center,15.92156862745098,51
141972,Quality Inn & Suites East,14.285714285714286,21
120803,Park Terrace Motel,22.5,2
288193,The Suites at 14 West,17.6,5
120796,InTown Suites Indianapolis Northwest,30.0,1
88138,Brickyard Crossing Golf Resort and Inn,15.666666666666666,3
91515,BEST WESTERN Country Suites,18.347826086956523,23
120813,Country Inn & Suites By Carlson Indianapolis-South,19.641025641025642,39
518323,Country Inn & Suites Indianapolis NE at I-69,16.11111111111111,9
91496,Clarion Inn & Suites Northwest,21.473684210526315,19
88143,Days Inn Indianapolis Airport,19.037037037037038,54
251963,Super 8 Indianapolis South,18.88,25
224809,BEST WESTERN Airport Suites,17.944444444444443,18
265878,Radisson Hotel Indianapolis Airport,18.293233082706767,133
223208,Ramada I-70 East Indianapolis,17.39344262295082,61
91506,The Gatehouse Suites Indianapolis,19.612903225806452,31
91599,Residence Inn Indianapolis Airport,21.59259259259259,27
224799,Comfort Inn East Indianapolis,19.210526315789473,19
91542,Super 8 Motel Indianapolis / NE / Castleton Area,20.3,20
224830,Extended Stay Deluxe - Indianapolis - Northwest - I-465,18.25,36
91522,Extended Stay America - Indianapolis - North - Carmel,22.615384615384617,13
91605,Ramada Airport Indianapolis,17.830188679245282,53
91432,Ramada Limited Indianapolis West,17.88,25
88150,Indianapolis Days Inn & Suites Castleton,16.59375,32
91475,Extended Stay America - Indianapolis - Northwest - College Park,21.333333333333332,3
91477,Days Inn & Suites Indianapolis NW,20.5,42
91458,Fairfield Inn Indianapolis South,23.5,16
91454,Comfort Inn,19.0,18
120766,Extended Stay Deluxe - Indianapolis - Airport - W. Southern Ave.,21.0625,32
223829,Fairfield Inn & Suites Indianapolis Northwest,25.125,16
273699,Quality Inn Indianapolis,17.0,15
1759407,Candlewood Suites Indianapolis East,26.09090909090909,11
91494,Courtyard Indianapolis Northwest,23.916666666666668,12
91435,Comfort Inn & Suites West,21.666666666666668,69
88161,Hampton Inn Indianapolis-East,21.724137931034484,29
91573,University Place Conference Center & Hotel Indianapolis,20.271428571428572,210
631597,Candlewood Suites Indianapolis Airport,23.68421052631579,19
120783,Columbia Club,19.696969696969695,33
278568,Super 8 Indianapolis,16.916666666666668,12
631598,Candlewood Suites Indianapolis Dwtn Medical Dist,24.181818181818183,55
91474,TownePlace Suites Indianapolis NW,23.676470588235293,34
91457,Hampton Inn Indianapolis-South,26.178571428571427,28
223363,Staybridge Suites Indianapolis - Fishers,25.41176470588235,85
91609,Courtyard by Marriott Indianapolis Airport,23.048780487804876,41
1114620,Candlewood Suites Indianapolis,27.444444444444443,18
88155,Embassy Suites Indianapolis - Downtown,21.475138121546962,181
91551,Hyatt Place Indianapolis/Keystone,24.89090909090909,55
730126,Holiday Inn Express Beech Grove-Indianapolis Southeast,24.546511627906977,86
1567301,"Fort Harrison State Park Inn, Golf Resort & Conference Center",26.533333333333335,15
240134,BEST WESTERN Indianapolis South,26.363636363636363,55
530673,La Quinta Inn Indianapolis North at Pyramids,23.09375,32
224820,Red Roof Inn Indianapolis North - College Park,24.52173913043478,46
88144,La Quinta Inn & Suites Indianapolis Downtown,26.39622641509434,53
88186,The Westin Indianapolis,21.123028391167193,317
224810,Holiday Inn Express and Suites Indianapolis East,25.444444444444443,27
91519,Courtyard by Marriott Indianapolis Carmel,24.379310344827587,29
1641470,Hilton Garden Inn Indianapolis Northwest,26.586206896551722,29
91500,The Marten House Hotel,23.62162162162162,37
1239568,Candlewood Suites Indianapolis Northwest,26.76923076923077,13
91488,Holiday Inn Express Northwest-Park 100,26.766666666666666,30
224793,La Quinta Inn Indianapolis Airport Executive Drive,23.0,49
674056,Staybridge Suites Indianapolis - City Centre,26.423728813559322,59
91479,Extended Stay America-West 86th Street,23.095238095238095,21
88162,Crowne Plaza Indianapolis Airport,24.921875,128
223827,Fairfield Inn & Suites Indianapolis East,24.5,54
224814,Motel 6 Pyramid's Indianapolis,32.0,2
91509,Marriott Indianapolis North,24.34567901234568,81
91602,La Quinta Inn Indianapolis Airport Lynhurst,22.62,50
111624,Hampton Inn Indianapolis Dwtn Across from Circle Centre,24.705357142857142,112
114631,Canterbury Hotel,25.627906976744185,86
656462,Baymont Inn and Suites Indianapolis,27.0,31
88188,Holiday Inn Indianapolis North/Carmel,24.69672131147541,122
653125,Microtel Inn & Suites by Wyndham Indianapolis Airport,27.625,72
1235801,Hilton Garden Inn Indianapolis Airport,27.325581395348838,43
91462,Courtyard Indianapolis South,21.272727272727273,22
278565,Holiday Inn Express Indianapolis Downtown City Centre,24.523809523809526,63
88168,Hyatt Regency Indianapolis,22.68548387096774,248
91441,Baymont Inn & Suites Indianapolis South,25.928571428571427,56
634658,Homewood Suites by Hilton Indianapolis Northwest,27.352941176470587,34
91440,La Quinta Inn & Suites Indianapolis South,29.441176470588236,34
1514254,Fairfield Inn & Suites Indianapolis Downtown,28.166666666666668,48
1201174,Hampton Inn & Suites Indianapolis-Airport,26.982456140350877,57
224259,Hilton Indianapolis,25.801075268817204,186
91596,Courtyard by Marriott Indianapolis at the Capitol,25.67241379310345,58
120798,Jameson Inn of Indy Castleton,26.22222222222222,63
224831,Wingate By Wyndham Indianapolis Airport-Rockville Rd.,21.0,31
1456709,Hilton Garden Inn Indianapolis South/Greenwood,28.69047619047619,42
91491,Drury Inn Indianapolis,25.328358208955223,67
582252,Homewood Suites by Hilton Indianapolis-Downtown,26.37719298245614,114
120794,Hyatt Place Indianapolis Airport,25.541666666666668,120
