Hotel ID,Hotel Name,Total Rating,Overall Customers
220216,Beacon Hill Hotel and Bistro,4.4,5
320038,Hampton Inn & Suites Boston Crosstown Center,11.833333333333334,12
121009,Holiday Inn Express Boston,8.875,8
111422,DoubleTree Suites by Hilton - Boston,7.25,24
549445,Hotel 140,1.0,1
217550,DoubleTree by Hilton Hotel Boston - Downtown,8.1,30
216999,Americas Best Value Inn,16.0,1
217000,Days Hotel Boston,5.5,10
120977,Copley House,2.5,4
222958,Comfort Inn - Boston,5.625,8
222957,BEST WESTERN PLUS Roundhouse Suites,8.105263157894736,19
77629,BEST WESTERN University Hotel-Boston/Brighton,7.8,5
217148,Ramada Inn Boston,4.5625,16
94354,Howard Johnson Inn Fenway Park Boston,6.4,5
111441,Hyatt Regency Boston,8.3125,64
94368,DoubleTree Club by Hilton Hotel Boston Bayside,6.052631578947368,19
94326,Hilton Boston Downtown / Financial District,11.40952380952381,105
89592,Milner Hotel,3.888888888888889,18
94372,Boston Hotel Buckminster,8.25,16
287606,Onyx Hotel - a Kimpton Hotel,10.536585365853659,41
217546,Holiday Inn Boston at Beacon Hill,7.588235294117647,34
499916,Bulfinch Hotel Boston,13.588235294117647,17
94350,The Midtown Hotel,7.225806451612903,31
89619,Courtyard Boston Downtown / Tremont,5.704545454545454,44
126058,Constitution Inn,7.857142857142857,7
77638,The Inn at Longwood Medical,7.6,5
89620,Hyatt Harborside at Boston's Logan International Airport,10.0,29
89615,Taj Boston,14.272727272727273,11
89568,Chandler Inn,5.833333333333333,18
268205,Embassy Suites Boston Logan Airport,6.666666666666667,24
111423,Eliot Hotel,6.304347826086956,23
111428,Hilton Boston Back Bay,8.969696969696969,33
120988,Hilton Boston Logan Airport,8.81578947368421,38
111434,Newbury Guest House,11.166666666666666,12
222955,Ritz-Carlton Boston Common,7.05,20
268207,Residence Inn by Marriott Boston Harbor on Tudor Wharf,11.875,8
225873,Charlesmark Hotel,11.857142857142858,49
94399,Club Quarters Boston,5.32258064516129,31
114150,Millennium Bostonian Hotel,6.833333333333333,54
111417,Boston Marriott Long Wharf,10.642857142857142,28
313573,Courtyard by Marriott Boston Copley Square,11.666666666666666,3
94344,Marriott's Custom House,10.692307692307692,13
114149,"The Langham, Boston",13.08,25
111416,Boston Marriott Copley Place,10.6,30
89617,The Westin Copley Place,8.846153846153847,39
94367,Harborside Inn,7.771428571428571,35
111444,"The Fairmont Copley Plaza, Boston",9.380952380952381,42
94330,Seaport Boston Hotel,5.944444444444445,36
94337,XV Beacon,10.848484848484848,33
89585,Four Seasons Hotel Boston,6.0,7
89575,Boston Harbor Hotel,8.380952380952381,21
111418,The Boston Park Plaza Hotel & Towers,5.201219512195122,164
94371,Colonnade Hotel,6.7,40
321151,The Back Bay Hotel,14.784313725490197,51
89599,Omni Parker House,8.879032258064516,124
114134,The Lenox Hotel,6.5625,32
258705,Hotel Commonwealth,12.290322580645162,31
