Hotel ID,Hotel Name,Total Rating,Overall Customers
220216,Beacon Hill Hotel and Bistro,7.0,6
320038,Hampton Inn & Suites Boston Crosstown Center,14.052631578947368,19
121009,Holiday Inn Express Boston,9.6,10
111422,DoubleTree Suites by Hilton - Boston,9.241379310344827,29
549445,Hotel 140,12.0,10
217550,DoubleTree by Hilton Hotel Boston - Downtown,9.454545454545455,33
216999,Americas Best Value Inn,16.0,1
217000,Days Hotel Boston,9.357142857142858,14
120977,Copley House,6.6,5
222958,Comfort Inn - Boston,5.1,10
222957,BEST WESTERN PLUS Roundhouse Suites,7.857142857142857,21
77629,BEST WESTERN University Hotel-Boston/Brighton,9.0,6
217148,Ramada Inn Boston,4.529411764705882,17
94354,Howard Johnson Inn Fenway Park Boston,5.857142857142857,7
111441,Hyatt Regency Boston,9.731707317073171,82
499916,Bulfinch Hotel Boston,15.8125,32
94326,Hilton Boston Downtown / Financial District,12.83739837398374,123
94368,DoubleTree Club by Hilton Hotel Boston Bayside,8.695652173913043,23
94372,Boston Hotel Buckminster,9.206896551724139,29
89592,Milner Hotel,4.0,19
287606,Onyx Hotel - a Kimpton Hotel,11.313725490196079,51
217546,Holiday Inn Boston at Beacon Hill,8.775,40
94350,The Midtown Hotel,8.435897435897436,39
89619,Courtyard Boston Downtown / Tremont,5.875,48
126058,Constitution Inn,7.375,8
77638,The Inn at Longwood Medical,7.6,5
89620,Hyatt Harborside at Boston's Logan International Airport,10.64516129032258,31
89615,Taj Boston,15.333333333333334,15
89568,Chandler Inn,6.954545454545454,22
268205,Embassy Suites Boston Logan Airport,8.0,28
111423,Eliot Hotel,8.551724137931034,29
111428,Hilton Boston Back Bay,9.297297297297296,37
120988,Hilton Boston Logan Airport,10.1,50
111434,Newbury Guest House,11.61111111111111,18
222955,Ritz-Carlton Boston Common,8.24,25
268207,Residence Inn by Marriott Boston Harbor on Tudor Wharf,13.833333333333334,12
225873,Charlesmark Hotel,13.764705882352942,68
94399,Club Quarters Boston,6.1891891891891895,37
114150,Millennium Bostonian Hotel,7.967213114754099,61
111417,Boston Marriott Long Wharf,11.705882352941176,34
313573,Courtyard by Marriott Boston Copley Square,13.0,5
94344,Marriott's Custom House,11.2,15
114149,"The Langham, Boston",14.027027027027026,37
111416,Boston Marriott Copley Place,13.0625,48
89617,The Westin Copley Place,11.403846153846153,52
94367,Harborside Inn,7.695652173913044,46
111444,"The Fairmont Copley Plaza, Boston",11.254545454545454,55
94330,Seaport Boston Hotel,6.975609756097561,41
94337,XV Beacon,12.065217391304348,46
111418,The Boston Park Plaza Hotel & Towers,6.2356020942408374,191
89585,Four Seasons Hotel Boston,10.8,10
89575,Boston Harbor Hotel,9.84,25
94371,Colonnade Hotel,6.7727272727272725,44
321151,The Back Bay Hotel,16.32941176470588,85
89599,Omni Parker House,9.549295774647888,142
114134,The Lenox Hotel,7.846153846153846,39
258705,Hotel Commonwealth,15.1,50
