Hotel ID,Hotel Name,Total Rating,Overall Customers
220216,Beacon Hill Hotel and Bistro,13.294117647058824,17
320038,Hampton Inn & Suites Boston Crosstown Center,16.46938775510204,49
121009,Holiday Inn Express Boston,16.89189189189189,37
111422,DoubleTree Suites by Hilton - Boston,15.464285714285714,84
549445,Hotel 140,14.742857142857142,35
217550,DoubleTree by Hilton Hotel Boston - Downtown,15.44186046511628,86
216999,Americas Best Value Inn,8.375,8
217000,Days Hotel Boston,13.8125,32
120977,Copley House,11.379310344827585,29
222957,BEST WESTERN PLUS Roundhouse Suites,12.081632653061224,49
222958,Comfort Inn - Boston,11.074074074074074,27
111441,Hyatt Regency Boston,16.318627450980394,204
555224,Courtyard Boston-South Boston,22.314285714285713,35
94326,Hilton Boston Downtown / Financial District,16.072649572649574,234
217148,Ramada Inn Boston,9.023255813953488,43
77629,BEST WESTERN University Hotel-Boston/Brighton,12.423076923076923,26
499916,Bulfinch Hotel Boston,18.99122807017544,114
94354,Howard Johnson Inn Fenway Park Boston,11.0,21
94368,DoubleTree Club by Hilton Hotel Boston Bayside,14.098360655737705,61
94372,Boston Hotel Buckminster,10.141176470588235,85
287606,Onyx Hotel - a Kimpton Hotel,16.65,140
89592,Milner Hotel,8.75,52
217546,Holiday Inn Boston at Beacon Hill,14.228915662650602,83
94350,The Midtown Hotel,15.632075471698114,106
89619,Courtyard Boston Downtown / Tremont,10.337209302325581,86
77638,The Inn at Longwood Medical,15.594594594594595,37
126058,Constitution Inn,13.125,32
89620,Hyatt Harborside at Boston's Logan International Airport,15.272727272727273,88
89602,Sheraton Boston Hotel,18.317307692307693,104
268205,Embassy Suites Boston Logan Airport,15.917525773195877,97
89615,Taj Boston,16.16949152542373,59
89568,Chandler Inn,11.705882352941176,51
111423,Eliot Hotel,15.149253731343284,67
111428,Hilton Boston Back Bay,16.220183486238533,109
120988,Hilton Boston Logan Airport,17.25,132
225873,Charlesmark Hotel,18.511111111111113,225
111434,Newbury Guest House,15.71875,64
222955,Ritz-Carlton Boston Common,15.254545454545454,55
268207,Residence Inn by Marriott Boston Harbor on Tudor Wharf,18.906976744186046,43
94399,Club Quarters Boston,13.933333333333334,120
595373,The Westin Boston Waterfront,17.13,100
114150,Millennium Bostonian Hotel,13.635036496350365,137
111416,Boston Marriott Copley Place,18.2625,160
111417,Boston Marriott Long Wharf,15.792682926829269,82
620703,InterContinental Boston,22.73,100
313573,Courtyard by Marriott Boston Copley Square,22.673076923076923,52
94344,Marriott's Custom House,18.79032258064516,62
114149,"The Langham, Boston",18.285714285714285,112
647006,The Liberty Hotel,24.04,25
89617,The Westin Copley Place,17.350574712643677,174
111444,"The Fairmont Copley Plaza, Boston",17.13855421686747,166
94367,Harborside Inn,14.433333333333334,120
111418,The Boston Park Plaza Hotel & Towers,11.666666666666666,468
94330,Seaport Boston Hotel,13.75,100
94337,XV Beacon,15.606741573033707,89
89575,Boston Harbor Hotel,16.560606060606062,66
89585,Four Seasons Hotel Boston,19.0625,48
234752,Nine Zero Hotel - a Kimpton Hotel,19.901408450704224,71
94371,Colonnade Hotel,12.33673469387755,98
89599,Omni Parker House,15.55858310626703,367
321151,The Back Bay Hotel,21.040677966101693,295
114134,The Lenox Hotel,17.304,125
258705,Hotel Commonwealth,20.024590163934427,122
