Hotel ID,Hotel Name,Total Rating,Overall Customers
220216,Beacon Hill Hotel and Bistro,21.0,47
320038,Hampton Inn & Suites Boston Crosstown Center,20.22077922077922,154
121009,Holiday Inn Express Boston,20.736641221374047,262
111422,DoubleTree Suites by Hilton - Boston,20.264406779661016,295
217550,DoubleTree by Hilton Hotel Boston - Downtown,18.928571428571427,322
549445,Hotel 140,19.942084942084943,259
94326,Hilton Boston Downtown / Financial District,20.045694200351495,569
111441,Hyatt Regency Boston,20.5926517571885,626
555224,Courtyard Boston-South Boston,23.41007194244604,139
222957,BEST WESTERN PLUS Roundhouse Suites,17.772455089820358,167
287606,Onyx Hotel - a Kimpton Hotel,21.398034398034397,407
89602,Sheraton Boston Hotel,22.322966507177032,836
217000,Days Hotel Boston,14.215686274509803,51
120977,Copley House,17.79310344827586,116
216999,Americas Best Value Inn,12.88888888888889,18
222958,Comfort Inn - Boston,15.98165137614679,109
1138709,Holiday Inn Express Hotel & Suites Boston Garden,19.227272727272727,44
268206,Boston Common Hotel and Conference Center,3.0,1
94354,Howard Johnson Inn Fenway Park Boston,20.882075471698112,212
499916,Bulfinch Hotel Boston,19.33542319749216,319
94363,Courtyard by Marriott Boston Logan Airport,22.84090909090909,88
217148,Ramada Inn Boston,15.198830409356725,171
94368,DoubleTree Club by Hilton Hotel Boston Bayside,18.015209125475284,263
89619,Courtyard Boston Downtown / Tremont,17.188925081433226,307
94372,Boston Hotel Buckminster,18.352697095435683,241
77629,BEST WESTERN University Hotel-Boston/Brighton,18.728395061728396,81
217546,Holiday Inn Boston at Beacon Hill,18.474048442906575,289
89592,Milner Hotel,13.583333333333334,180
126058,Constitution Inn,16.32608695652174,138
94350,The Midtown Hotel,18.628808864265928,361
77638,The Inn at Longwood Medical,21.885416666666668,192
89568,Chandler Inn,22.1510989010989,364
89620,Hyatt Harborside at Boston's Logan International Airport,20.694805194805195,308
89615,Taj Boston,21.761904761904763,315
1486034,W Boston,25.409691629955947,227
268205,Embassy Suites Boston Logan Airport,21.535168195718654,327
111428,Hilton Boston Back Bay,22.93528183716075,479
120988,Hilton Boston Logan Airport,21.49802371541502,506
111416,Boston Marriott Copley Place,22.070205479452056,584
111423,Eliot Hotel,21.789237668161434,223
678412,Renaissance Boston Waterfront Hotel,24.061371841155236,277
595373,The Westin Boston Waterfront,22.079037800687285,582
225873,Charlesmark Hotel,20.692118226600986,406
94399,Club Quarters Boston,18.359493670886074,395
111418,The Boston Park Plaza Hotel & Towers,17.061719324026452,1361
111434,Newbury Guest House,19.96273291925466,161
268207,Residence Inn by Marriott Boston Harbor on Tudor Wharf,23.096969696969698,165
222955,Ritz-Carlton Boston Common,20.97972972972973,148
114150,Millennium Bostonian Hotel,21.32233502538071,394
111421,Copley Square Hotel,26.59033078880407,393
620703,InterContinental Boston,24.286677908937605,593
111444,"The Fairmont Copley Plaza, Boston",22.18045112781955,532
111417,Boston Marriott Long Wharf,21.50485436893204,309
89617,The Westin Copley Place,22.079617834394906,628
1201116,Fairmont Battery Wharf,27.2172131147541,244
1513541,Ames - A Morgans Original,27.9553264604811,291
313573,Courtyard by Marriott Boston Copley Square,25.48339483394834,271
94367,Harborside Inn,20.245862884160758,423
647006,The Liberty Hotel,23.192419825072886,343
114149,"The Langham, Boston",22.393483709273184,399
1159285,The Inn At St Botolph,28.470319634703195,219
89599,Omni Parker House,21.096319498825373,1277
1136705,"Mandarin Oriental, Boston",27.2,85
94344,Marriott's Custom House,24.110552763819097,199
321151,The Back Bay Hotel,25.29053420805998,1067
234752,Nine Zero Hotel - a Kimpton Hotel,25.487179487179485,624
94330,Seaport Boston Hotel,21.581780538302276,483
94337,XV Beacon,24.158357771261,341
94371,Colonnade Hotel,24.648318042813457,654
89575,Boston Harbor Hotel,24.841911764705884,272
89585,Four Seasons Hotel Boston,24.764423076923077,208
114134,The Lenox Hotel,26.05181818181818,1100
258705,Hotel Commonwealth,26.779761904761905,672
