Hotel ID,Hotel Name,Total Rating,Overall Customers
313947,4 East Madison Inn Boutique Hotel,21.0,1
275870,Residence Inn Baltimore White Marsh,4.666666666666667,3
89357,Rodeway Inn & Suites,1.0,1
631880,Americas Best Value Inn,3.5,2
89326,Biltmore Suites Hotel,5.1,10
89340,BEST WESTERN Baltimore West,4.0,6
89367,Days Inn Baltimore,2.3333333333333335,3
217536,La Quinta Inn & Suites Baltimore North,3.0,1
89344,Baltimore Marriott Inner Harbor at Camden Yards,3.4,5
309189,Hampton Inn & Suites Baltimore Inner Harbor,9.666666666666666,3
223985,Courtyard by Marriott Baltimore Downtown / Inner Harbor,4.666666666666667,3
93889,Tremont Suites Hotel and Grand Historic Venue,5.5,12
89331,Days Inn Inner Harbor,2.8,5
124839,Admiral Fell Inn,3.2857142857142856,7
89353,Radisson Plaza Lord Baltimore,4.3076923076923075,13
89382,Four Points by Sheraton BWI Airport,2.0,2
89343,Hyatt Regency Baltimore,3.6363636363636362,11
291397,Mount Vernon Hotel,3.0,4
89358,Renaissance Baltimore Harborplace Hotel,4.928571428571429,14
89361,Sheraton Inner Harbor Hotel,8.75,4
89327,Brookshire Suites,6.846153846153846,13
111408,Henderson's Wharf Inn,6.545454545454546,11
120957,Pier 5 Hotel,3.5416666666666665,24
89336,Royal Sonesta Harbor Court Baltimore,7.533333333333333,15
223983,Baltimore Marriott Waterfront,5.6875,16
