Hotel ID,Hotel Name,Total Rating,Overall Customers
313947,4 East Madison Inn Boutique Hotel,21.22222222222222,9
624736,Econo Lodge,18.0,3
275870,Residence Inn Baltimore White Marsh,22.941176470588236,34
120951,Motel 6 Baltimore West,9.8,5
604930,Red Carpet Inn Baltimore,12.916666666666666,12
89332,Leisure Inn Baltimore West,7.0,19
89362,Motel 6 Baltimore,11.692307692307692,39
1629271,North Avenue Motel,11.0,2
89325,"Days Inn Baltimore West, Security Blvd",22.35,20
89357,Rodeway Inn & Suites,18.675675675675677,37
124186,Sleep Inn & Suites Airport,17.195121951219512,41
93846,Ramada Limited Baltimore,16.941176470588236,17
89333,Doubletree Inn at The Colonnade,25.176470588235293,153
1479971,Fairfield Inn & Suites Baltimore Downtown/Inner Harbor,26.89189189189189,74
1174784,Holiday Inn Baltimore-Towson,12.0,2
1206970,The Richardson House,29.0,1
574054,Park Plaza Motel,2.0,1
225246,Mt. Washington Conference Center,22.40909090909091,22
631880,Americas Best Value Inn,17.11111111111111,27
674606,Homewood Suites by Hilton Baltimore,25.685185185185187,162
93886,Super 8 Baltimore/Essex,17.666666666666668,6
89326,Biltmore Suites Hotel,14.653846153846153,52
610125,Rodeway Inn Mid Town,22.405405405405407,74
1436140,Quality Inn Downtown Baltimore,22.39622641509434,53
1751278,Hotel Brexton,28.418439716312058,141
89340,BEST WESTERN Baltimore West,14.522727272727273,44
89344,Baltimore Marriott Inner Harbor at Camden Yards,20.760233918128655,171
1950129,BEST WESTERN Plus Envy Hotel,20.454545454545453,22
93889,Tremont Suites Hotel and Grand Historic Venue,21.286604361370717,321
124839,Admiral Fell Inn,24.96816976127321,377
224642,Hampton Inn Baltimore / White Marsh,21.08695652173913,23
309189,Hampton Inn & Suites Baltimore Inner Harbor,23.56291390728477,151
89353,Radisson Plaza Lord Baltimore,17.790273556231003,329
656449,SpringHill Suites by Marriott Baltimore Inner Harbor,26.849462365591396,93
89367,Days Inn Baltimore,14.432432432432432,37
89358,Renaissance Baltimore Harborplace Hotel,22.716494845360824,388
217536,La Quinta Inn & Suites Baltimore North,16.566666666666666,30
223985,Courtyard by Marriott Baltimore Downtown / Inner Harbor,21.963963963963963,111
89331,Days Inn Inner Harbor,21.806451612903224,217
89343,Hyatt Regency Baltimore,20.698305084745762,295
225792,Radisson Hotel at Cross Keys,23.782608695652176,23
89327,Brookshire Suites,23.952789699570815,466
1465016,Holiday Inn Express Baltimore-Downtown,24.386666666666667,75
291397,Mount Vernon Hotel,20.170833333333334,240
89351,Holiday Inn Express Baltimore at the Stadiums,23.70940170940171,117
89365,Wyndham Baltimore Peabody Court,23.82608695652174,23
1147514,Hilton Baltimore,24.490909090909092,275
89382,Four Points by Sheraton BWI Airport,22.119205298013245,151
89361,Sheraton Inner Harbor Hotel,22.25691699604743,253
100407,Hilton Garden Inn Baltimore / White Marsh,25.976744186046513,43
89346,Sheraton Baltimore City Center Hotel,18.56088560885609,271
1007816,Hilton Garden Inn Baltimore Inner Harbor,23.08130081300813,123
77730,BEST WESTERN PLUS Hotel & Conference Center,18.606060606060606,99
1164933,Fairfield Inn & Suites Baltimore White Marsh,26.666666666666668,36
120957,Pier 5 Hotel,23.478753541076486,353
93892,Home2 Suites by Hilton Baltimore Downtown,28.02173913043478,46
566439,Residence Inn by Marriott Baltimore Downtown/Inner Harbor,25.8,160
1821731,Sleep Inn & Suites Downtown Inner Harbor,26.41176470588235,102
625154,Hampton Inn Baltimore-Downtown-Convention Center,26.08695652173913,115
89336,Royal Sonesta Harbor Court Baltimore,22.460251046025103,239
111408,Henderson's Wharf Inn,25.987616099071207,323
2196840,Inn at The Black Olive,31.026315789473685,38
1449313,"Monaco Baltimore, a Kimpton Hotel",27.043771043771045,297
223983,Baltimore Marriott Waterfront,23.47087378640777,412
2322597,Four Seasons Baltimore,33.4,10
