Hotel ID,Hotel Name,Total Rating,Overall Customers
313947,4 East Madison Inn Boutique Hotel,21.22222222222222,9
624736,Econo Lodge,18.0,3
120951,Motel 6 Baltimore West,9.8,5
604930,Red Carpet Inn Baltimore,13.363636363636363,11
275870,Residence Inn Baltimore White Marsh,22.5,26
89362,Motel 6 Baltimore,11.868421052631579,38
89332,Leisure Inn Baltimore West,6.9375,16
1629271,North Avenue Motel,11.0,1
89325,"Days Inn Baltimore West, Security Blvd",21.6,5
124186,Sleep Inn & Suites Airport,17.03125,32
89357,Rodeway Inn & Suites,21.666666666666668,15
93846,Ramada Limited Baltimore,20.6,10
1174784,Holiday Inn Baltimore-Towson,12.0,2
1206970,The Richardson House,29.0,1
574054,Park Plaza Motel,2.0,1
1479971,Fairfield Inn & Suites Baltimore Downtown/Inner Harbor,27.74418604651163,43
93886,Super 8 Baltimore/Essex,9.333333333333334,3
225246,Mt. Washington Conference Center,22.384615384615383,13
631880,Americas Best Value Inn,18.68421052631579,19
89326,Biltmore Suites Hotel,13.275,40
89340,BEST WESTERN Baltimore West,12.545454545454545,33
1436140,Quality Inn Downtown Baltimore,22.93103448275862,29
610125,Rodeway Inn Mid Town,24.21951219512195,41
89333,Doubletree Inn at The Colonnade,25.48913043478261,92
1950129,BEST WESTERN Plus Envy Hotel,30.0,2
674606,Homewood Suites by Hilton Baltimore,26.45762711864407,118
89344,Baltimore Marriott Inner Harbor at Camden Yards,19.48507462686567,134
1751278,Hotel Brexton,29.157894736842106,76
224642,Hampton Inn Baltimore / White Marsh,21.0,21
93889,Tremont Suites Hotel and Grand Historic Venue,19.847058823529412,255
89367,Days Inn Baltimore,11.620689655172415,29
124839,Admiral Fell Inn,24.47826086956522,276
217536,La Quinta Inn & Suites Baltimore North,15.846153846153847,26
656449,SpringHill Suites by Marriott Baltimore Inner Harbor,27.634920634920636,63
309189,Hampton Inn & Suites Baltimore Inner Harbor,22.685185185185187,108
223985,Courtyard by Marriott Baltimore Downtown / Inner Harbor,21.0,75
89353,Radisson Plaza Lord Baltimore,17.04471544715447,246
89358,Renaissance Baltimore Harborplace Hotel,21.806020066889634,299
89331,Days Inn Inner Harbor,20.23134328358209,134
89343,Hyatt Regency Baltimore,19.52970297029703,202
1465016,Holiday Inn Express Baltimore-Downtown,25.838709677419356,31
89351,Holiday Inn Express Baltimore at the Stadiums,23.852272727272727,88
89365,Wyndham Baltimore Peabody Court,35.0,1
291397,Mount Vernon Hotel,19.30857142857143,175
89327,Brookshire Suites,23.20343839541547,349
89382,Four Points by Sheraton BWI Airport,22.10891089108911,101
100407,Hilton Garden Inn Baltimore / White Marsh,25.115384615384617,26
89361,Sheraton Inner Harbor Hotel,21.58080808080808,198
1147514,Hilton Baltimore,25.835526315789473,152
1007816,Hilton Garden Inn Baltimore Inner Harbor,23.211764705882352,85
77730,BEST WESTERN PLUS Hotel & Conference Center,17.092307692307692,65
1164933,Fairfield Inn & Suites Baltimore White Marsh,29.142857142857142,21
89346,Sheraton Baltimore City Center Hotel,19.32183908045977,174
120957,Pier 5 Hotel,22.576208178438662,269
566439,Residence Inn by Marriott Baltimore Downtown/Inner Harbor,25.923076923076923,104
625154,Hampton Inn Baltimore-Downtown-Convention Center,26.833333333333332,84
1821731,Sleep Inn & Suites Downtown Inner Harbor,29.90909090909091,22
111408,Henderson's Wharf Inn,25.491935483870968,248
1449313,"Monaco Baltimore, a Kimpton Hotel",28.584699453551913,183
89336,Royal Sonesta Harbor Court Baltimore,20.930817610062892,159
223983,Baltimore Marriott Waterfront,21.976027397260275,292
