Hotel ID,Hotel Name,Total Rating,Overall Customers
275870,Residence Inn Baltimore White Marsh,24.90909090909091,44
1479971,Fairfield Inn & Suites Baltimore Downtown/Inner Harbor,27.8135593220339,118
313947,4 East Madison Inn Boutique Hotel,19.272727272727273,11
89357,Rodeway Inn & Suites,17.120689655172413,58
624736,Econo Lodge,14.571428571428571,7
89325,"Days Inn Baltimore West, Security Blvd",19.892857142857142,28
124186,Sleep Inn & Suites Airport,17.970149253731343,67
89362,Motel 6 Baltimore,12.227272727272727,44
120951,Motel 6 Baltimore West,12.875,8
604930,Red Carpet Inn Baltimore,12.733333333333333,15
89332,Leisure Inn Baltimore West,7.136363636363637,22
89333,Doubletree Inn at The Colonnade,25.63681592039801,201
1751278,Hotel Brexton,28.150753768844222,199
674606,Homewood Suites by Hilton Baltimore,25.81447963800905,221
1629271,North Avenue Motel,11.0,2
124839,Admiral Fell Inn,25.99585921325052,483
93846,Ramada Limited Baltimore,17.346153846153847,26
89344,Baltimore Marriott Inner Harbor at Camden Yards,22.728813559322035,236
93889,Tremont Suites Hotel and Grand Historic Venue,22.318987341772154,395
89358,Renaissance Baltimore Harborplace Hotel,24.447037701974864,557
1174784,Holiday Inn Baltimore-Towson,12.0,2
631880,Americas Best Value Inn,17.705882352941178,34
225246,Mt. Washington Conference Center,22.555555555555557,27
610125,Rodeway Inn Mid Town,21.67032967032967,91
1206970,The Richardson House,29.0,1
574054,Park Plaza Motel,2.0,1
93886,Super 8 Baltimore/Essex,20.615384615384617,13
89326,Biltmore Suites Hotel,15.163934426229508,61
1950129,BEST WESTERN Plus Envy Hotel,19.444444444444443,45
89340,BEST WESTERN Baltimore West,16.737704918032787,61
1436140,Quality Inn Downtown Baltimore,21.661971830985916,71
89353,Radisson Plaza Lord Baltimore,18.61320754716981,424
224642,Hampton Inn Baltimore / White Marsh,24.0,33
89331,Days Inn Inner Harbor,24.291666666666668,312
309189,Hampton Inn & Suites Baltimore Inner Harbor,24.424242424242426,198
89343,Hyatt Regency Baltimore,22.562189054726367,402
656449,SpringHill Suites by Marriott Baltimore Inner Harbor,26.382113821138212,123
223985,Courtyard by Marriott Baltimore Downtown / Inner Harbor,23.042944785276074,163
89327,Brookshire Suites,24.426369863013697,584
89367,Days Inn Baltimore,14.432432432432432,37
1147514,Hilton Baltimore,25.158620689655173,435
217536,La Quinta Inn & Suites Baltimore North,20.408163265306122,49
225792,Radisson Hotel at Cross Keys,24.63888888888889,36
1465016,Holiday Inn Express Baltimore-Downtown,24.80188679245283,106
291397,Mount Vernon Hotel,20.99656357388316,291
89346,Sheraton Baltimore City Center Hotel,20.286057692307693,416
89351,Holiday Inn Express Baltimore at the Stadiums,24.080246913580247,162
89365,Wyndham Baltimore Peabody Court,25.153846153846153,65
89382,Four Points by Sheraton BWI Airport,22.994949494949495,198
89361,Sheraton Inner Harbor Hotel,23.246951219512194,328
89337,Holiday Inn Inner Harbor,25.934782608695652,92
1007816,Hilton Garden Inn Baltimore Inner Harbor,24.377777777777776,180
100407,Hilton Garden Inn Baltimore / White Marsh,27.25925925925926,54
77730,BEST WESTERN PLUS Hotel & Conference Center,20.736842105263158,133
120957,Pier 5 Hotel,24.309352517985612,417
1164933,Fairfield Inn & Suites Baltimore White Marsh,27.40909090909091,44
93892,Home2 Suites by Hilton Baltimore Downtown,28.617391304347827,115
566439,Residence Inn by Marriott Baltimore Downtown/Inner Harbor,26.671296296296298,216
1821731,Sleep Inn & Suites Downtown Inner Harbor,27.52020202020202,198
89336,Royal Sonesta Harbor Court Baltimore,24.087349397590362,332
625154,Hampton Inn Baltimore-Downtown-Convention Center,27.058823529411764,170
111408,Henderson's Wharf Inn,27.041450777202073,386
2196840,Inn at The Black Olive,31.810606060606062,132
223983,Baltimore Marriott Waterfront,25.44750430292599,581
1449313,"Monaco Baltimore, a Kimpton Hotel",28.19496855345912,477
2322597,Four Seasons Baltimore,30.548872180451127,133
