Hotel ID,Hotel Name,Total Rating,Overall Customers
313947,4 East Madison Inn Boutique Hotel,21.22222222222222,9
624736,Econo Lodge,19.0,4
275870,Residence Inn Baltimore White Marsh,23.2,35
89325,"Days Inn Baltimore West, Security Blvd",21.863636363636363,22
89362,Motel 6 Baltimore,11.7,40
120951,Motel 6 Baltimore West,9.8,5
604930,Red Carpet Inn Baltimore,12.916666666666666,12
89332,Leisure Inn Baltimore West,7.0,19
1629271,North Avenue Motel,11.0,2
89357,Rodeway Inn & Suites,18.75,40
89333,Doubletree Inn at The Colonnade,25.37869822485207,169
124186,Sleep Inn & Suites Airport,17.325581395348838,43
93846,Ramada Limited Baltimore,16.941176470588236,17
1479971,Fairfield Inn & Suites Baltimore Downtown/Inner Harbor,27.320987654320987,81
1174784,Holiday Inn Baltimore-Towson,12.0,2
674606,Homewood Suites by Hilton Baltimore,25.976878612716764,173
1206970,The Richardson House,29.0,1
574054,Park Plaza Motel,2.0,1
225246,Mt. Washington Conference Center,22.40909090909091,22
631880,Americas Best Value Inn,17.11111111111111,27
1751278,Hotel Brexton,27.99375,160
89326,Biltmore Suites Hotel,14.925925925925926,54
93886,Super 8 Baltimore/Essex,17.0,7
610125,Rodeway Inn Mid Town,22.493333333333332,75
1436140,Quality Inn Downtown Baltimore,22.472727272727273,55
89340,BEST WESTERN Baltimore West,14.777777777777779,45
1950129,BEST WESTERN Plus Envy Hotel,21.03448275862069,29
89344,Baltimore Marriott Inner Harbor at Camden Yards,21.085227272727273,176
124839,Admiral Fell Inn,25.332506203473944,403
93889,Tremont Suites Hotel and Grand Historic Venue,21.466666666666665,330
224642,Hampton Inn Baltimore / White Marsh,21.52,25
89353,Radisson Plaza Lord Baltimore,18.11953352769679,343
309189,Hampton Inn & Suites Baltimore Inner Harbor,23.662420382165607,157
89358,Renaissance Baltimore Harborplace Hotel,23.114077669902912,412
656449,SpringHill Suites by Marriott Baltimore Inner Harbor,26.94736842105263,95
89367,Days Inn Baltimore,14.432432432432432,37
223985,Courtyard by Marriott Baltimore Downtown / Inner Harbor,22.459016393442624,122
89331,Days Inn Inner Harbor,22.38095238095238,231
217536,La Quinta Inn & Suites Baltimore North,17.0,31
89343,Hyatt Regency Baltimore,21.039087947882734,307
225792,Radisson Hotel at Cross Keys,24.321428571428573,28
89327,Brookshire Suites,24.229674796747968,492
1465016,Holiday Inn Express Baltimore-Downtown,24.75,80
89351,Holiday Inn Express Baltimore at the Stadiums,23.832,125
291397,Mount Vernon Hotel,20.321138211382113,246
1147514,Hilton Baltimore,24.728813559322035,295
89365,Wyndham Baltimore Peabody Court,25.529411764705884,34
89382,Four Points by Sheraton BWI Airport,22.417721518987342,158
89361,Sheraton Inner Harbor Hotel,22.272030651340994,261
89346,Sheraton Baltimore City Center Hotel,18.62937062937063,286
100407,Hilton Garden Inn Baltimore / White Marsh,26.045454545454547,44
1007816,Hilton Garden Inn Baltimore Inner Harbor,23.384615384615383,130
77730,BEST WESTERN PLUS Hotel & Conference Center,19.0,102
89337,Holiday Inn Inner Harbor,22.0,2
120957,Pier 5 Hotel,23.720108695652176,368
1164933,Fairfield Inn & Suites Baltimore White Marsh,26.54054054054054,37
93892,Home2 Suites by Hilton Baltimore Downtown,28.862068965517242,58
566439,Residence Inn by Marriott Baltimore Downtown/Inner Harbor,26.08187134502924,171
89336,Royal Sonesta Harbor Court Baltimore,23.2007722007722,259
1821731,Sleep Inn & Suites Downtown Inner Harbor,26.56198347107438,121
625154,Hampton Inn Baltimore-Downtown-Convention Center,26.134453781512605,119
111408,Henderson's Wharf Inn,26.35860058309038,343
2196840,Inn at The Black Olive,31.945454545454545,55
1449313,"Monaco Baltimore, a Kimpton Hotel",27.44736842105263,342
223983,Baltimore Marriott Waterfront,23.82217090069284,433
2322597,Four Seasons Baltimore,32.4054054054054,37
