Hotel ID,Hotel Name,Total Rating,Overall Customers
89998,The Leland,6.696428571428571,56
114654,Shorecrest Motor Inn,15.2,5
605656,Corktown Inn,14.5,2
89995,Milner Hotel,13.19047619047619,21
89999,St. Regis,9.222222222222221,18
530320,Viking Motel,7.8,5
94554,Marriott Detroit Airport,22.714285714285715,14
114661,Courtyard by Marriott Detroit Downtown,17.869565217391305,23
95294,The Atheneum,12.620689655172415,29
256897,Holiday Inn Express Detroit - Downtown,16.689655172413794,29
288605,Hilton Garden Inn Detroit Downtown,13.304347826086957,23
242702,Inn on Ferry Street,16.38,50
224064,Detroit Marriott at the Renaissance Center,14.985074626865671,67
95302,Doubletree by Hilton Hotel Detroit-Dearborn,25.235294117647058,17
90003,The Westin Detroit Metropolitan Airport,16.05,60
