Hotel ID,Hotel Name,Total Rating,Overall Customers
89998,The Leland,7.396825396825397,63
114654,Shorecrest Motor Inn,15.2,5
605656,Corktown Inn,16.333333333333332,3
89995,Milner Hotel,11.758620689655173,29
89999,St. Regis,10.521739130434783,23
530320,Viking Motel,7.0,9
95312,Stay Inn & Suites,7.0,1
94554,Marriott Detroit Airport,23.0,17
114661,Courtyard by Marriott Detroit Downtown,18.516129032258064,31
674740,MotorCity Casino Hotel,21.5,6
95294,The Atheneum,14.8,35
256897,Holiday Inn Express Detroit - Downtown,17.027027027027028,37
288605,Hilton Garden Inn Detroit Downtown,12.692307692307692,26
242702,Inn on Ferry Street,18.09722222222222,72
674735,MGM Grand Detroit,20.88,25
224064,Detroit Marriott at the Renaissance Center,17.70873786407767,103
95302,Doubletree by Hilton Hotel Detroit-Dearborn,24.20689655172414,29
90003,The Westin Detroit Metropolitan Airport,17.450704225352112,71
