Hotel ID,Hotel Name,Total Rating,Overall Customers
89998,The Leland,7.915492957746479,71
114654,Shorecrest Motor Inn,16.181818181818183,11
605656,Corktown Inn,13.222222222222221,9
95308,Detroit Regency Hotel,17.0,1
89995,Milner Hotel,14.08,50
89999,St. Regis,12.891891891891891,37
95312,Stay Inn & Suites,8.545454545454545,11
530320,Viking Motel,6.583333333333333,12
94554,Marriott Detroit Airport,22.70967741935484,31
674740,MotorCity Casino Hotel,22.291666666666668,24
95294,The Atheneum,18.0188679245283,53
114661,Courtyard by Marriott Detroit Downtown,19.925,40
256897,Holiday Inn Express Detroit - Downtown,18.448275862068964,58
288605,Hilton Garden Inn Detroit Downtown,16.652173913043477,46
1230421,Doubletree by Hilton Detroit Downtown - Fort Shelby,23.135135135135137,37
242702,Inn on Ferry Street,19.989247311827956,93
674735,MGM Grand Detroit,22.515151515151516,66
224064,Detroit Marriott at the Renaissance Center,18.872611464968152,157
95302,Doubletree by Hilton Hotel Detroit-Dearborn,24.541666666666668,72
1236680,Greektown Casino Hotel,23.53488372093023,43
90003,The Westin Detroit Metropolitan Airport,19.568807339449542,109
782678,The Westin Book Cadillac Detroit,24.58139534883721,43
