Hotel ID,Hotel Name,Total Rating,Overall Customers
89998,The Leland,7.915492957746479,71
114654,Shorecrest Motor Inn,16.181818181818183,11
605656,Corktown Inn,13.222222222222221,9
89995,Milner Hotel,13.791666666666666,48
89999,St. Regis,12.909090909090908,33
95312,Stay Inn & Suites,8.545454545454545,11
530320,Viking Motel,6.583333333333333,12
94554,Marriott Detroit Airport,23.0,29
95294,The Atheneum,17.3265306122449,49
114661,Courtyard by Marriott Detroit Downtown,19.925,40
674740,MotorCity Casino Hotel,24.142857142857142,21
256897,Holiday Inn Express Detroit - Downtown,18.267857142857142,56
288605,Hilton Garden Inn Detroit Downtown,16.72093023255814,43
1230421,Doubletree by Hilton Detroit Downtown - Fort Shelby,23.375,32
242702,Inn on Ferry Street,19.77777777777778,90
674735,MGM Grand Detroit,23.38095238095238,63
224064,Detroit Marriott at the Renaissance Center,18.883116883116884,154
95302,Doubletree by Hilton Hotel Detroit-Dearborn,24.65671641791045,67
1236680,Greektown Casino Hotel,23.06451612903226,31
90003,The Westin Detroit Metropolitan Airport,19.247619047619047,105
782678,The Westin Book Cadillac Detroit,24.609756097560975,41
