Hotel ID,Hotel Name,Total Rating,Overall Customers
94179,Holiday Inn - Merchandise Mart,4.0,1
3461669,Charlotte Inn,4.0,2
100535,Southern Comfort Inn,1.0,1
100633,Knights Inn Charlotte,2.3333333333333335,3
94108,Woodlawn Inn,15.0,2
121855,Queen City Inn,8.2,5
100638,Brookwood Inn - Charlotte,5.5,2
530678,Knights Inn Charlotte South,2.6,5
100612,Econo Lodge Coliseum Area,1.0,1
94168,Motel 6 Charlotte - South,1.0,1
121870,VanLandingham Estate,18.0,1
100634,Super 8 Charlotte Amusement Park,17.0,1
223210,Knights Inn Charlotte,3.0,1
225334,Studio 6 Charlotte Airport,19.5,2
94109,City Center Inn,6.0,1
240570,Super 8 Charlotte Sunset Road,3.0,2
100582,BEST WESTERN PLUS Charlotte/Matthews,5.5,2
223374,Sonesta ES Suites Charlotte,11.142857142857142,7
559397,Country Hearth Inn Charlotte,5.5,4
262983,Royal Inn Charlotte Airport Hotel,7.0,1
100870,Sleep Inn North Lake,12.666666666666666,3
121868,"Country Inn & Suites By Carlson, Charlotte - I-85 Airport",6.8,10
309952,Days Inn Charlotte / Sunset Road,10.0,1
258775,Sun Suites of Charlotte,12.0,2
628474,Four Points by Sheraton Charlotte,6.833333333333333,6
121918,Microtel Inn by Wyndham Charlotte/University Place,6.5,2
94095,Days Inn Airport North Charlotte,25.0,1
94132,Quality Inn - Charlotte,14.8,5
100629,Days Inn Woodlawn Rd. Near Carowinds,3.5,2
273191,Comfort Suites Airport,12.0,3
100621,Comfort Suites University Area,21.0,1
100631,Days Inn Charlotte North - Speedway - UNCC - Research Park,1.0,1
94146,Ramada Airport South & Conference Center,6.625,8
94127,Ramada Charlotte Northeast,19.0,2
100568,Sleep Inn Billy Graham Parkway,13.0,1
94199,BEST WESTERN PLUS Sterling Hotel & Suites,12.0,2
223918,TownePlace Suites Charlotte University Research Park,24.0,1
223916,SpringHill Suites Charlotte University Research Park,10.5,2
94158,Quality Inn & Suites,8.4,5
100627,Comfort Inn Executive Park,8.4,5
94114,Super 8 Charlotte/Downtown Area,23.0,1
577342,Residence Inn Charlotte SouthPark,3.75,4
223202,Hilton Garden Inn Charlotte North,9.0,2
223215,Residence Inn Charlotte Piper Glen,10.5,4
94103,Courtyard by Marriott Charlotte SouthPark,19.0,2
223917,TownePlace Suites by Marriott Charlotte Arrowood,12.0,4
94102,Courtyard Charlotte Arrowood,5.0,1
100529,Homewood Suites by Hilton Charlotte-North/University Research Park,6.833333333333333,6
100546,Hampton Inn University Place,13.666666666666666,3
100566,Sleep Inn University Place,12.5,4
94206,Doubletree Hotel Charlotte Airport,15.444444444444445,9
223203,Hilton Garden Inn Charlotte Uptown,11.0,12
252496,SpringHill Suites Charlotte Airport,15.75,8
94142,Holiday Inn Charlotte-University Place,9.75,4
258771,Country Inn & Suites University Place,23.5,2
100604,Fairfield Inn Charlotte Arrowood,14.0,2
223198,Hampton Inn and Suites Charlotte - Arrowood Rd.,13.75,4
239919,MainStay Suites,2.0,1
100636,Candlewood Suites - Charlotte University,10.666666666666666,3
100616,Courtyard Charlotte Ballantyne,21.0,2
94194,Hilton Charlotte Executive Park,9.6,5
219666,DoubleTree Suites by Hilton Hotel Charlotte - SouthPark,8.5625,16
239806,Wingate By Wyndham Charlotte Airport I-85/I-485,4.0,3
94191,Residence Inn Charlotte University Research Park,12.0,2
223204,Homewood Suites by Hilton Charlotte Airport / Coliseum,16.0,7
223197,Courtyard by Marriott Charlotte City Center,7.333333333333333,3
94133,La Quinta Inn & Suites Charlotte Airport North,7.5,2
94166,Charlotte Marriott Executive Park,14.0,8
94105,Courtyard Charlotte University Research Park,8.333333333333334,3
223196,Comfort Suites Charlotte Northlake,13.5,2
94122,Embassy Suites Hotel Charlotte,10.882352941176471,17
94205,Charlotte Marriott SouthPark,13.285714285714286,14
94085,The Blake Hotel,8.733333333333333,15
100552,DoubleTree by Hilton Hotel Charlotte - Gateway Village,7.8,5
100599,Holiday Inn Charlotte - Center City,6.75,8
223201,Omni Charlotte Hotel,12.066666666666666,30
94163,Charlotte Marriott City Center,15.733333333333333,15
94171,Hilton Charlotte Center City,14.166666666666666,18
258879,Westin Charlotte,10.222222222222221,36
100515,Residence Inn Charlotte South at I-77/Tyvola Road,15.333333333333334,3
223213,Microtel Inn & Suites by Wyndham Charlotte/Northlake,20.0,1
100518,La Quinta Inn & Suites Charlotte Airport South,14.8,5
121910,Hyatt Place Charlotte City Park,13.5,2
223199,Hampton Inn Charlotte - Uptown,8.666666666666666,6
217635,HYATT house Charlotte Airport,9.857142857142858,7
301309,Dunhill Hotel,9.333333333333334,9
100524,Hyatt Place Charlotte Airport/Tyvola Road,7.666666666666667,3
100632,Wingate by Wyndham Charlotte Airport South/ I-77 Tyvola,21.333333333333332,3
100613,Drury Inn & Suites Charlotte North,16.5,6
223195,The Ballantyne Hotel and Lodge,12.121212121212121,33
94136,Hilton Charlotte University Place,18.333333333333332,9
100549,Hampton Inn Charlotte - South Park,13.5,2
223373,Staybridge Suites Charlotte Ballantyne,18.0,3
121915,Renaissance Charlotte Suites,14.8,5
223214,Residence Inn Charlotte Uptown,18.8,5
