Hotel ID,Hotel Name,Total Rating,Overall Customers
94179,Holiday Inn - Merchandise Mart,4.0,1
3461669,Charlotte Inn,4.0,2
100535,Southern Comfort Inn,1.0,1
100633,Knights Inn Charlotte,2.3333333333333335,3
94108,Woodlawn Inn,15.0,2
121855,Queen City Inn,8.2,5
100638,Brookwood Inn - Charlotte,5.5,2
530678,Knights Inn Charlotte South,7.166666666666667,6
100612,Econo Lodge Coliseum Area,3.0,2
94168,Motel 6 Charlotte - South,1.0,1
121870,VanLandingham Estate,18.0,1
100634,Super 8 Charlotte Amusement Park,16.5,2
223210,Knights Inn Charlotte,3.0,1
225334,Studio 6 Charlotte Airport,19.666666666666668,3
94156,Americas Best Value Inn & Suites Charlotte,2.0,1
94109,City Center Inn,9.5,2
240570,Super 8 Charlotte Sunset Road,3.0,2
100582,BEST WESTERN PLUS Charlotte/Matthews,9.0,3
223374,Sonesta ES Suites Charlotte,11.142857142857142,7
559397,Country Hearth Inn Charlotte,6.6,5
100870,Sleep Inn North Lake,11.0,5
262983,Royal Inn Charlotte Airport Hotel,18.0,2
121868,"Country Inn & Suites By Carlson, Charlotte - I-85 Airport",8.923076923076923,13
309952,Days Inn Charlotte / Sunset Road,10.0,1
258775,Sun Suites of Charlotte,12.0,2
628474,Four Points by Sheraton Charlotte,7.714285714285714,7
121918,Microtel Inn by Wyndham Charlotte/University Place,5.333333333333333,3
94095,Days Inn Airport North Charlotte,19.0,2
273191,Comfort Suites Airport,9.2,5
94132,Quality Inn - Charlotte,13.833333333333334,6
100629,Days Inn Woodlawn Rd. Near Carowinds,3.5,2
100621,Comfort Suites University Area,23.5,2
100631,Days Inn Charlotte North - Speedway - UNCC - Research Park,5.0,3
94146,Ramada Airport South & Conference Center,6.625,8
100568,Sleep Inn Billy Graham Parkway,16.5,2
94127,Ramada Charlotte Northeast,19.0,2
94199,BEST WESTERN PLUS Sterling Hotel & Suites,12.0,2
223918,TownePlace Suites Charlotte University Research Park,24.0,1
223916,SpringHill Suites Charlotte University Research Park,10.5,2
94158,Quality Inn & Suites,8.4,5
577342,Residence Inn Charlotte SouthPark,9.166666666666666,6
100627,Comfort Inn Executive Park,7.833333333333333,6
94114,Super 8 Charlotte/Downtown Area,23.0,1
223202,Hilton Garden Inn Charlotte North,9.0,2
223215,Residence Inn Charlotte Piper Glen,14.4,5
94103,Courtyard by Marriott Charlotte SouthPark,19.0,2
223917,TownePlace Suites by Marriott Charlotte Arrowood,10.2,5
94102,Courtyard Charlotte Arrowood,5.0,1
100529,Homewood Suites by Hilton Charlotte-North/University Research Park,8.714285714285714,7
100546,Hampton Inn University Place,11.5,4
94206,Doubletree Hotel Charlotte Airport,13.0,12
100566,Sleep Inn University Place,12.2,5
223203,Hilton Garden Inn Charlotte Uptown,11.0,12
252496,SpringHill Suites Charlotte Airport,17.846153846153847,13
94142,Holiday Inn Charlotte-University Place,9.75,4
258771,Country Inn & Suites University Place,16.5,4
100604,Fairfield Inn Charlotte Arrowood,14.0,2
223198,Hampton Inn and Suites Charlotte - Arrowood Rd.,16.8,5
239919,MainStay Suites,2.0,1
100636,Candlewood Suites - Charlotte University,10.666666666666666,3
100616,Courtyard Charlotte Ballantyne,21.0,2
94194,Hilton Charlotte Executive Park,9.6,5
219666,DoubleTree Suites by Hilton Hotel Charlotte - SouthPark,10.444444444444445,18
239806,Wingate By Wyndham Charlotte Airport I-85/I-485,4.0,3
223204,Homewood Suites by Hilton Charlotte Airport / Coliseum,14.2,10
94191,Residence Inn Charlotte University Research Park,12.75,4
223197,Courtyard by Marriott Charlotte City Center,13.4,5
94133,La Quinta Inn & Suites Charlotte Airport North,7.5,2
94166,Charlotte Marriott Executive Park,13.0,9
94105,Courtyard Charlotte University Research Park,8.25,4
223196,Comfort Suites Charlotte Northlake,15.333333333333334,3
94122,Embassy Suites Hotel Charlotte,11.277777777777779,18
94205,Charlotte Marriott SouthPark,14.0,16
94085,The Blake Hotel,11.0,19
100552,DoubleTree by Hilton Hotel Charlotte - Gateway Village,9.166666666666666,6
100599,Holiday Inn Charlotte - Center City,12.636363636363637,11
223201,Omni Charlotte Hotel,13.513513513513514,37
94163,Charlotte Marriott City Center,16.555555555555557,18
94171,Hilton Charlotte Center City,14.166666666666666,18
258879,Westin Charlotte,11.102564102564102,39
100515,Residence Inn Charlotte South at I-77/Tyvola Road,19.0,4
223213,Microtel Inn & Suites by Wyndham Charlotte/Northlake,20.0,1
100518,La Quinta Inn & Suites Charlotte Airport South,14.8,5
121910,Hyatt Place Charlotte City Park,13.5,2
223199,Hampton Inn Charlotte - Uptown,10.375,8
217635,HYATT house Charlotte Airport,11.5,8
301309,Dunhill Hotel,9.0,10
100524,Hyatt Place Charlotte Airport/Tyvola Road,7.666666666666667,3
100632,Wingate by Wyndham Charlotte Airport South/ I-77 Tyvola,21.333333333333332,3
100613,Drury Inn & Suites Charlotte North,17.22222222222222,9
223195,The Ballantyne Hotel and Lodge,13.0,36
94136,Hilton Charlotte University Place,18.333333333333332,12
100549,Hampton Inn Charlotte - South Park,15.666666666666666,3
223373,Staybridge Suites Charlotte Ballantyne,18.0,3
121915,Renaissance Charlotte Suites,19.9,10
223214,Residence Inn Charlotte Uptown,18.8,5
