Hotel ID,Hotel Name,Total Rating,Overall Customers
225335,Suburban Extended Stay Hotel of Charlotte - WT Harris,15.666666666666666,3
94179,Holiday Inn - Merchandise Mart,13.333333333333334,3
3461669,Charlotte Inn,4.0,2
100535,Southern Comfort Inn,1.0,1
100607,Extended Stay America - Charlotte - Tyvola Rd.,10.666666666666666,3
94097,Value Lodge,3.5,2
121921,InTown Suites Charlotte Northeast,5.666666666666667,3
121855,Queen City Inn,10.6,10
100633,Knights Inn Charlotte,3.25,4
94184,Motel 6 Charlotte Coliseum,20.125,8
94173,Airport Parkway Inn,14.0,12
94108,Woodlawn Inn,17.0,6
100612,Econo Lodge Coliseum Area,7.166666666666667,6
100638,Brookwood Inn - Charlotte,12.5,6
656554,Charlotte Express Inn,12.181818181818182,11
121870,VanLandingham Estate,18.5,10
530678,Knights Inn Charlotte South,10.5,8
94168,Motel 6 Charlotte - South,12.25,4
225334,Studio 6 Charlotte Airport,17.5,10
94187,Americas Best Value Inn & Suites-Charlotte,7.0,3
1905160,Arlington Suites,10.333333333333334,3
100634,Super 8 Charlotte Amusement Park,11.142857142857142,7
223210,Knights Inn Charlotte,15.8,10
100582,BEST WESTERN PLUS Charlotte/Matthews,15.545454545454545,11
94109,City Center Inn,9.857142857142858,14
94152,Budget Inn Charlotte,13.428571428571429,7
1593882,Red Roof Inn Charlotte UNCC,15.818181818181818,11
223374,Sonesta ES Suites Charlotte,18.636363636363637,22
94156,Americas Best Value Inn & Suites Charlotte,11.142857142857142,7
559397,Country Hearth Inn Charlotte,8.76923076923077,13
94091,Golden Green Hotel,16.5,2
94186,Red Roof Inn Charlotte Airport West,16.333333333333332,6
240570,Super 8 Charlotte Sunset Road,10.5,4
100870,Sleep Inn North Lake,15.23076923076923,13
94093,Baymont Inn and Suites Charlotte-Airport,13.571428571428571,21
121868,"Country Inn & Suites By Carlson, Charlotte - I-85 Airport",14.21875,32
262983,Royal Inn Charlotte Airport Hotel,17.25,4
1533531,Econo Lodge Inn & Suites,26.0,2
94149,Budget Inn,12.0,2
94130,Crowne Plaza Charlotte,21.032258064516128,31
628474,Four Points by Sheraton Charlotte,18.02857142857143,35
100601,Fairfield Inn Charlotte/Northlake,22.88888888888889,9
258775,Sun Suites of Charlotte,20.941176470588236,17
309952,Days Inn Charlotte / Sunset Road,6.333333333333333,3
94146,Ramada Airport South & Conference Center,14.05,40
94202,Super 8 Charlotte University,13.5,4
94095,Days Inn Airport North Charlotte,18.11764705882353,17
121918,Microtel Inn by Wyndham Charlotte/University Place,12.636363636363637,11
94132,Quality Inn - Charlotte,18.38095238095238,21
100629,Days Inn Woodlawn Rd. Near Carowinds,18.133333333333333,15
273191,Comfort Suites Airport,16.692307692307693,13
223211,North Charlotte Inn,35.0,1
100621,Comfort Suites University Area,20.692307692307693,13
100631,Days Inn Charlotte North - Speedway - UNCC - Research Park,15.3,10
94199,BEST WESTERN PLUS Sterling Hotel & Suites,18.666666666666668,21
100627,Comfort Inn Executive Park,16.870967741935484,31
94127,Ramada Charlotte Northeast,11.384615384615385,13
99984,Extended Stay America - Charlotte - Pineville - Park Rd.,35.0,1
577342,Residence Inn Charlotte SouthPark,22.29032258064516,31
100568,Sleep Inn Billy Graham Parkway,21.181818181818183,11
223916,SpringHill Suites Charlotte University Research Park,17.0,18
94192,Rodeway Inn,19.75,4
94158,Quality Inn & Suites,13.5625,16
223918,TownePlace Suites Charlotte University Research Park,27.4,10
100563,Extended Stay America - Charlotte - Pineville - Pineville Matthews Rd.,21.25,4
94103,Courtyard by Marriott Charlotte SouthPark,21.333333333333332,15
94126,Econo Lodge Inn & Suites Charlotte Airport,20.333333333333332,18
94114,Super 8 Charlotte/Downtown Area,10.666666666666666,3
94102,Courtyard Charlotte Arrowood,19.789473684210527,19
223202,Hilton Garden Inn Charlotte North,21.11111111111111,9
223215,Residence Inn Charlotte Piper Glen,22.928571428571427,14
223917,TownePlace Suites by Marriott Charlotte Arrowood,15.733333333333333,15
121917,Microtel Inn by Wyndham Charlotte Airport,19.35483870967742,31
100529,Homewood Suites by Hilton Charlotte-North/University Research Park,16.2,15
100546,Hampton Inn University Place,23.130434782608695,23
94206,Doubletree Hotel Charlotte Airport,18.34,50
1176230,Hilton Garden Inn Charlotte/Ayrsley,22.444444444444443,9
252496,SpringHill Suites Charlotte Airport,18.23913043478261,46
223203,Hilton Garden Inn Charlotte Uptown,17.379310344827587,29
100566,Sleep Inn University Place,16.5,12
258771,Country Inn & Suites University Place,19.055555555555557,18
94142,Holiday Inn Charlotte-University Place,16.733333333333334,15
100604,Fairfield Inn Charlotte Arrowood,22.75,8
223198,Hampton Inn and Suites Charlotte - Arrowood Rd.,18.458333333333332,24
121909,Suburban Extended Stay Charlotte-Pineville,28.333333333333332,3
219666,DoubleTree Suites by Hilton Hotel Charlotte - SouthPark,20.12162162162162,74
114390,Morehead Inn,25.916666666666668,12
239919,MainStay Suites,22.0,14
1164710,Aloft Charlotte Uptown at the EpiCentre,22.064935064935064,77
100636,Candlewood Suites - Charlotte University,15.222222222222221,9
100511,Courtyard by Marriott Charlotte Airport,20.76923076923077,13
94194,Hilton Charlotte Executive Park,18.944444444444443,18
100616,Courtyard Charlotte Ballantyne,21.8,5
94133,La Quinta Inn & Suites Charlotte Airport North,24.18421052631579,38
239806,Wingate By Wyndham Charlotte Airport I-85/I-485,22.22222222222222,27
94166,Charlotte Marriott Executive Park,23.283333333333335,60
223204,Homewood Suites by Hilton Charlotte Airport / Coliseum,22.25,28
223197,Courtyard by Marriott Charlotte City Center,20.51851851851852,27
94191,Residence Inn Charlotte University Research Park,20.90909090909091,11
94085,The Blake Hotel,17.37037037037037,135
1382115,SpringHill Suites Charlotte Ballantyne,29.0,7
94122,Embassy Suites Hotel Charlotte,18.164556962025316,79
94196,Sheraton Charlotte Airport Hotel,23.142857142857142,42
94105,Courtyard Charlotte University Research Park,18.384615384615383,13
631590,Holiday Inn Express Charlotte-Arrowood,26.8,25
100599,Holiday Inn Charlotte - Center City,22.221052631578946,95
223201,Omni Charlotte Hotel,19.789473684210527,152
223196,Comfort Suites Charlotte Northlake,22.941176470588236,17
94205,Charlotte Marriott SouthPark,18.29787234042553,47
100552,DoubleTree by Hilton Hotel Charlotte - Gateway Village,22.818181818181817,55
94171,Hilton Charlotte Center City,21.81188118811881,101
94163,Charlotte Marriott City Center,21.57894736842105,76
258879,Westin Charlotte,19.00588235294118,170
100515,Residence Inn Charlotte South at I-77/Tyvola Road,23.03846153846154,26
