Hotel ID,Hotel Name,Total Rating,Overall Customers
80112,San Carlos Hotel,1.0,1
93419,"The Carlyle, A Rosewood Hotel",5.0,3
93380,The Aladdin,1.0,1
99292,Riverside Hotel,3.0,1
122007,Manhattan Broadway Hotel,1.0,1
93357,Park Savoy,4.0,2
93581,The Inn at Irving Place,1.5,2
112066,W New York,4.0,1
112062,The Time,3.5,4
99766,The Roosevelt Hotel,4.0,1
93351,Cosmopolitan Hotel - Tribeca,4.0,1
121987,The Milburn Hotel,5.0,1
93586,The Mansfield,5.0,1
214197,Hotel Pennsylvania New York,1.0,2
99774,La Quinta Inn Manhattan,3.0,1
99307,Wellington Hotel,1.5,2
93622,Travel Inn Hotel New York,4.0,1
112041,Larchmont Hotel,3.0,1
93486,Millennium Hotel Broadway,2.5,2
93464,Le Parker Meridien,3.0,6
93450,Grand Hyatt New York,3.0,2
611947,Hilton New York,5.0,1
93569,The Belvedere,4.5,2
99368,Courtyard by Marriott New York Manhattan / Times Square South,3.0,1
93462,InterContinental New York Barclay,5.0,1
93603,"The Pierre, A Taj Hotel, New York",2.0,1
99281,The Lucerne Hotel,5.0,1
217626,The Benjamin,4.0,1
217616,The Muse Hotel New York,4.0,1
224221,Library Hotel,5.0,1
